OBJECTID,Join_Count,TARGET_FID,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,BUFF_DIST,ORIG_FID,OBJECTID_1,FID_1,cod_icao,nm_municip,TipoAero,nome,largura_m,num_pista,uf,altitude,extensao,cod_uso,pavimento,GEOCODIGO,Shape_Leng,Shape_Area
22,1,22,114,Nordeste,NA,Corrente,-12.948985000000000,-38.339199999999998,NA,NA,NA,NA,NA,10000.000000000000000,22,22,2626,SBSV,Salvador,Internacional,Deputado Luís Eduardo Magalhães,45.000000000000000,2,BA,19.000000000000000,3005.000000000000000,Public,asfalto ou concreto Asfáltico,2927408.000000000000000,62831.853071795863798,314159265.358979284763336
23,1,23,115,Nordeste,NA,Stela Maris,-12.947385000000001,-38.337372000000002,NA,NA,NA,NA,NA,10000.000000000000000,23,23,2626,SBSV,Salvador,Internacional,Deputado Luís Eduardo Magalhães,45.000000000000000,2,BA,19.000000000000000,3005.000000000000000,Public,asfalto ou concreto Asfáltico,2927408.000000000000000,62831.853071795863798,314159265.358979284763336
24,1,24,116,Nordeste,NA,Plator,-12.946393000000000,-38.333083999999999,NA,NA,NA,NA,NA,10000.000000000000000,24,24,2626,SBSV,Salvador,Internacional,Deputado Luís Eduardo Magalhães,45.000000000000000,2,BA,19.000000000000000,3005.000000000000000,Public,asfalto ou concreto Asfáltico,2927408.000000000000000,62831.853071795863798,314159265.358979284763336
25,1,25,117,Nordeste,NA,Aleluia,-12.926800999999999,-38.312618999999998,NA,NA,NA,NA,NA,10000.000000000000000,25,25,2626,SBSV,Salvador,Internacional,Deputado Luís Eduardo Magalhães,45.000000000000000,2,BA,19.000000000000000,3005.000000000000000,Public,asfalto ou concreto Asfáltico,2927408.000000000000000,62831.853071795863798,314159265.358979284763336
26,1,26,118,Nordeste,NA,Ipitanga,-12.920477000000000,-38.309717999999997,NA,NA,NA,NA,NA,10000.000000000000000,26,26,2626,SBSV,Salvador,Internacional,Deputado Luís Eduardo Magalhães,45.000000000000000,2,BA,19.000000000000000,3005.000000000000000,Public,asfalto ou concreto Asfáltico,2927408.000000000000000,62831.853071795863798,314159265.358979284763336
27,1,27,119,Nordeste,NA,Vilas,-12.894546000000000,-38.290790999999999,NA,NA,NA,NA,NA,10000.000000000000000,27,27,2626,SBSV,Salvador,Internacional,Deputado Luís Eduardo Magalhães,45.000000000000000,2,BA,19.000000000000000,3005.000000000000000,Public,asfalto ou concreto Asfáltico,2927408.000000000000000,62831.853071795863798,314159265.358979284763336
28,1,28,120,Nordeste,NA,Busca Vida,-12.863464000000000,-38.255961999999997,NA,NA,NA,NA,NA,10000.000000000000000,28,28,2626,SBSV,Salvador,Internacional,Deputado Luís Eduardo Magalhães,45.000000000000000,2,BA,19.000000000000000,3005.000000000000000,Public,asfalto ou concreto Asfáltico,2927408.000000000000000,62831.853071795863798,314159265.358979284763336
29,0,29,121,Nordeste,NA,Itacimirim,-12.639232000000000,-38.048194000000002,NA,NA,NA,NA,NA,10000.000000000000000,29,29,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
30,0,30,122,Nordeste,NA,Praia do Forte,-12.583304999999999,-38.005077999999997,NA,NA,NA,NA,NA,10000.000000000000000,30,30,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
31,0,31,123,Nordeste,NA,Imbassai,-12.342055000000000,-37.846200000000003,NA,NA,NA,NA,NA,10000.000000000000000,31,31,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
32,0,32,124,Nordeste,NA,Costa do Sauipe,-12.022171000000000,-37.645508000000000,NA,NA,NA,NA,NA,10000.000000000000000,32,32,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
33,0,33,125,Nordeste,NA,Marlin,-11.939802999999999,-37.602476000000003,NA,NA,NA,NA,NA,10000.000000000000000,33,33,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
