id,region,join_count,numerical_direction,numerical_frequency,numerical_experience,numerical_quality,normalized_clusters,normalized_direction,normalized_frequency,normalized_experience,normalized_quality,weighted_surf,surf_subindex
0,Sul,4,1,1,1,1,0.5,0,0,1,0,1,0.1875
1,Sul,3,1,1,1,1,0.333333,0,0,1,0,0.833333,0.1041665
2,Sul,4,1,1,1,1,0.5,0,0,1,0,1,0.1875
3,Sul,5,1,1,1,1,0.666667,0,0,1,0,1.166667,0.2708335
4,Sul,3,1,1,1,1,0.333333,0,0,1,0,0.833333,0.1041665
5,Sul,3,1,1,1,1,0.333333,0,0,1,0,0.833333,0.1041665
6,Sul,5,1,1,1,1,0.666667,0,0,1,0,1.166667,0.2708335
7,Sul,4,1,1,1,1,0.5,0,0,1,0,1,0.1875
8,Sul,3,1,1,1,1,0.333333,0,0,1,0,0.833333,0.1041665
195,Sul,1,2,3,1,3,0,1,0.5,1,0.5,1.5,0.4375
196,Sul,1,2,2,1,3,0,1,0.25,1,0.5,1.5,0.4375
197,Sul,1,2,2,0,5,0,1,0.25,0,1,1.5,0.4375
198,Sul,1,2,2,1,3,0,1,0.25,1,0.5,1.5,0.4375
199,Sul,1,2,1,1,3,0,1,0,1,0.5,1.5,0.4375
200,Sul,1,2,3,0,3.5,0,1,0.5,0,0.625,1.125,0.25
201,Sul,2,2,3,1,3,0.166667,1,0.5,1,0.5,1.666667,0.5208335
202,Sul,3,2,3,1,3,0.333333,1,0.5,1,0.5,1.833333,0.6041665
203,Sul,3,2,3,1,3.5,0.333333,1,0.5,1,0.625,1.958333,0.6666665
204,Sul,3,2,3,1,3,0.333333,1,0.5,1,0.5,1.833333,0.6041665
205,Sul,1,2,5,1,3.5,0,1,1,1,0.625,1.625,0.5
206,Sul,3,2,3,1,3,0.333333,1,0.5,1,0.5,1.833333,0.6041665
207,Sul,3,2,3,1,3,0.333333,1,0.5,1,0.5,1.833333,0.6041665
208,Sul,3,2,3,1,3,0.333333,1,0.5,1,0.5,1.833333,0.6041665
209,Sul,1,2,3,1,3,0,1,0.5,1,0.5,1.5,0.4375
210,Sul,2,2,4,0,3,0.166667,1,0.75,0,0.5,1.166667,0.2708335
211,Sul,1,2,3,1,3,0,1,0.5,1,0.5,1.5,0.4375
212,Sul,7,2,2,1,3,1,1,0.25,1,0.5,2.5,0.9375
213,Sul,7,2,3,1,3.5,1,1,0.5,1,0.625,2.625,1
214,Sul,7,1,2,0,5,1,0,0.25,0,1,2,0.6875
215,Sul,7,2,3,0,3.5,1,1,0.5,0,0.625,2.125,0.75
216,Sul,7,2,3,0,3.5,1,1,0.5,0,0.625,2.125,0.75
217,Sul,7,2,3,1,3.5,1,1,0.5,1,0.625,2.625,1
218,Sul,7,2,2,0,3.5,1,1,0.25,0,0.625,2.125,0.75
219,Sul,1,2,2,0,3,0,1,0.25,0,0.5,1,0.1875
220,Sul,1,2,2,0,3.5,0,1,0.25,0,0.625,1.125,0.25
221,Sul,1,2,3,1,3.5,0,1,0.5,1,0.625,1.625,0.5
222,Sul,1,2,4,0,3.5,0,1,0.75,0,0.625,1.125,0.25
223,Sul,1,2,3,1,3.5,0,1,0.5,1,0.625,1.625,0.5
224,Sul,3,1,2,1,3,0.333333,0,0.25,1,0.5,1.333333,0.3541665
225,Sul,5,2,3,0,3,0.666667,1,0.5,0,0.5,1.666667,0.5208335
226,Sul,6,2,4,1,3.5,0.833333,1,0.75,1,0.625,2.458333,0.9166665
227,Sul,5,1,1,0,5,0.666667,0,0,0,1,1.666667,0.5208335
228,Sul,5,1,1,1,3,0.666667,0,0,1,0.5,1.666667,0.5208335
229,Sul,2,2,4,1,3,0.166667,1,0.75,1,0.5,1.666667,0.5208335
230,Sul,3,2,3,1,3,0.333333,1,0.5,1,0.5,1.833333,0.6041665
231,Sul,3,2,2,1,3.5,0.333333,1,0.25,1,0.625,1.958333,0.6666665
232,Sul,3,2,3,1,3.5,0.333333,1,0.5,1,0.625,1.958333,0.6666665
233,Sul,2,1,3,0,3.5,0.166667,0,0.5,0,0.625,0.791667,0.0833335
234,Sul,2,2,4,1,3.5,0.166667,1,0.75,1,0.625,1.791667,0.5833335
235,Sul,2,2,3,1,3.5,0.166667,1,0.5,1,0.625,1.791667,0.5833335
236,Sul,4,2,4,0,4,0.5,1,0.75,0,0.75,1.75,0.5625
237,Sul,4,2,4,0,4,0.5,1,0.75,0,0.75,1.75,0.5625
238,Sul,2,2,2,1,3,0.166667,1,0.25,1,0.5,1.666667,0.5208335
239,Sul,4,2,4,0,4,0.5,1,0.75,0,0.75,1.75,0.5625
240,Sul,6,2,4,1,3.5,0.833333,1,0.75,1,0.625,2.458333,0.9166665
241,Sul,7,2,2,1,3.5,1,1,0.25,1,0.625,2.625,1
242,Sul,7,1,2,0,3.5,1,0,0.25,0,0.625,1.625,0.5
243,Sul,6,2,2,0,2,0.833333,1,0.25,0,0.25,1.583333,0.4791665
244,Sul,5,2,3,1,3.5,0.666667,1,0.5,1,0.625,2.291667,0.8333335
245,Sul,4,2,4,1,3.5,0.5,1,0.75,1,0.625,2.125,0.75
246,Sul,2,1,4,0,4,0.166667,0,0.75,0,0.75,0.916667,0.1458335
247,Sul,2,2,2,1,3,0.166667,1,0.25,1,0.5,1.666667,0.5208335
248,Sul,2,2,3,1,3.5,0.166667,1,0.5,1,0.625,1.791667,0.5833335
249,Sul,2,2,1,1,3.5,0.166667,1,0,1,0.625,1.791667,0.5833335
250,Sul,3,1,3,0,4,0.333333,0,0.5,0,0.75,1.083333,0.2291665
251,Sul,3,1,1,0,3.5,0.333333,0,0,0,0.625,0.958333,0.1666665
252,Sul,1,1,3,0,5,0,0,0.5,0,1,1,0.1875
253,Sul,2,1,3,0,3.5,0.166667,0,0.5,0,0.625,0.791667,0.0833335
254,Sul,4,2,3,1,3,0.5,1,0.5,1,0.5,2,0.6875
255,Sul,4,2,4,1,3.5,0.5,1,0.75,1,0.625,2.125,0.75
256,Sul,6,2,4,0,3.5,0.833333,1,0.75,0,0.625,1.958333,0.6666665
257,Sul,5,2,2,1,3,0.666667,1,0.25,1,0.5,2.166667,0.7708335
258,Sul,5,1,3,0,3.5,0.666667,0,0.5,0,0.625,1.291667,0.3333335
259,Sul,6,2,4,0,3,0.833333,1,0.75,0,0.5,1.833333,0.6041665
260,Sul,4,1,2,0,4,0.5,0,0.25,0,0.75,1.25,0.3125
261,Sul,3,2,3,0,5,0.333333,1,0.5,0,1,1.833333,0.6041665
262,Sul,2,1,4,0,4,0.166667,0,0.75,0,0.75,0.916667,0.1458335
263,Sul,4,2,3,1,3.5,0.5,1,0.5,1,0.625,2.125,0.75
264,Sul,3,2,4,1,3.5,0.333333,1,0.75,1,0.625,1.958333,0.6666665
265,Sul,3,2,3,0,3,0.333333,1,0.5,0,0.5,1.333333,0.3541665
266,Sul,2,2,4,1,3.5,0.166667,1,0.75,1,0.625,1.791667,0.5833335
