OBJECTID,Join_Count,TARGET_FID,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,BUFF_DIST,ORIG_FID,CD_MUN,NM_MUN,SIGLA,AREA_KM2,F1970,F1980,F1991,F2000,F2010,Shape_Leng,Shape_Area,pop_change,Shape_Le_1,Shape_Ar_1
21,2,21,113,Nordeste,NA,Seper,-12.952040999999999,-38.343243999999999,NA,NA,NA,NA,NA,10000.000000000000000,21,2919207,Lauro de Freitas,BA,58.042999999999999,10007.000000000000000,35431.000000000000000,69270.000000000000000,113543.000000000000000,163449.000000000000000,0.000000000000000,0.000000000000000,49906.000000000000000,62831.853071795863798,314159265.358979284763336
22,2,22,114,Nordeste,NA,Corrente,-12.948985000000000,-38.339199999999998,NA,NA,NA,NA,NA,10000.000000000000000,22,2919207,Lauro de Freitas,BA,58.042999999999999,10007.000000000000000,35431.000000000000000,69270.000000000000000,113543.000000000000000,163449.000000000000000,0.000000000000000,0.000000000000000,49906.000000000000000,62831.853071795863798,314159265.358979284763336
23,3,23,115,Nordeste,NA,Stela Maris,-12.947385000000001,-38.337372000000002,NA,NA,NA,NA,NA,10000.000000000000000,23,2905701,Camaçari,BA,785.421000000000049,33273.000000000000000,89164.000000000000000,113639.000000000000000,161727.000000000000000,242970.000000000000000,0.000000000000000,0.000000000000000,81243.000000000000000,62831.853071795863798,314159265.358979284763336
24,3,24,116,Nordeste,NA,Plator,-12.946393000000000,-38.333083999999999,NA,NA,NA,NA,NA,10000.000000000000000,24,2905701,Camaçari,BA,785.421000000000049,33273.000000000000000,89164.000000000000000,113639.000000000000000,161727.000000000000000,242970.000000000000000,0.000000000000000,0.000000000000000,81243.000000000000000,62831.853071795863798,314159265.358979284763336
25,3,25,117,Nordeste,NA,Aleluia,-12.926800999999999,-38.312618999999998,NA,NA,NA,NA,NA,10000.000000000000000,25,2905701,Camaçari,BA,785.421000000000049,33273.000000000000000,89164.000000000000000,113639.000000000000000,161727.000000000000000,242970.000000000000000,0.000000000000000,0.000000000000000,81243.000000000000000,62831.853071795863798,314159265.358979284763336
26,3,26,118,Nordeste,NA,Ipitanga,-12.920477000000000,-38.309717999999997,NA,NA,NA,NA,NA,10000.000000000000000,26,2905701,Camaçari,BA,785.421000000000049,33273.000000000000000,89164.000000000000000,113639.000000000000000,161727.000000000000000,242970.000000000000000,0.000000000000000,0.000000000000000,81243.000000000000000,62831.853071795863798,314159265.358979284763336
27,3,27,119,Nordeste,NA,Vilas,-12.894546000000000,-38.290790999999999,NA,NA,NA,NA,NA,10000.000000000000000,27,2905701,Camaçari,BA,785.421000000000049,33273.000000000000000,89164.000000000000000,113639.000000000000000,161727.000000000000000,242970.000000000000000,0.000000000000000,0.000000000000000,81243.000000000000000,62831.853071795863798,314159265.358979284763336
28,3,28,120,Nordeste,NA,Busca Vida,-12.863464000000000,-38.255961999999997,NA,NA,NA,NA,NA,10000.000000000000000,28,2905701,Camaçari,BA,785.421000000000049,33273.000000000000000,89164.000000000000000,113639.000000000000000,161727.000000000000000,242970.000000000000000,0.000000000000000,0.000000000000000,81243.000000000000000,62831.853071795863798,314159265.358979284763336
29,2,29,121,Nordeste,NA,Itacimirim,-12.639232000000000,-38.048194000000002,NA,NA,NA,NA,NA,10000.000000000000000,29,2905701,Camaçari,BA,785.421000000000049,33273.000000000000000,89164.000000000000000,113639.000000000000000,161727.000000000000000,242970.000000000000000,0.000000000000000,0.000000000000000,81243.000000000000000,62831.853071795863798,314159265.358979284763336
30,2,30,122,Nordeste,NA,Praia do Forte,-12.583304999999999,-38.005077999999997,NA,NA,NA,NA,NA,10000.000000000000000,30,2905701,Camaçari,BA,785.421000000000049,33273.000000000000000,89164.000000000000000,113639.000000000000000,161727.000000000000000,242970.000000000000000,0.000000000000000,0.000000000000000,81243.000000000000000,62831.853071795863798,314159265.358979284763336
31,3,31,123,Nordeste,NA,Imbassai,-12.342055000000000,-37.846200000000003,NA,NA,NA,NA,NA,10000.000000000000000,31,2910503,Entre Rios,BA,1187.766000000000076,19188.000000000000000,22545.000000000000000,27718.000000000000000,37513.000000000000000,39872.000000000000000,0.000000000000000,0.000000000000000,2359.000000000000000,62831.853071795863798,314159265.358979284763336
32,2,32,124,Nordeste,NA,Costa do Sauipe,-12.022171000000000,-37.645508000000000,NA,NA,NA,NA,NA,10000.000000000000000,32,2908606,Conde,BA,931.105999999999995,17216.000000000000000,15228.000000000000000,16149.000000000000000,20426.000000000000000,23620.000000000000000,0.000000000000000,0.000000000000000,3194.000000000000000,62831.853071795863798,314159265.358979284763336
33,1,33,125,Nordeste,NA,Marlin,-11.939802999999999,-37.602476000000003,NA,NA,NA,NA,NA,10000.000000000000000,33,2908606,Conde,BA,931.105999999999995,17216.000000000000000,15228.000000000000000,16149.000000000000000,20426.000000000000000,23620.000000000000000,0.000000000000000,0.000000000000000,3194.000000000000000,62831.853071795863798,314159265.358979284763336
34,2,34,126,Nordeste,NA,Conde,-11.848141000000000,-37.558169999999997,NA,NA,NA,NA,NA,10000.000000000000000,34,2908606,Conde,BA,931.105999999999995,17216.000000000000000,15228.000000000000000,16149.000000000000000,20426.000000000000000,23620.000000000000000,0.000000000000000,0.000000000000000,3194.000000000000000,62831.853071795863798,314159265.358979284763336
35,4,35,127,Nordeste,NA,Mangue Seco,-11.483613999999999,-37.364454000000002,NA,NA,NA,NA,NA,10000.000000000000000,35,2802106,Estância,SE,647.344000000000051,28045.000000000000000,36825.000000000000000,53869.000000000000000,59002.000000000000000,64409.000000000000000,0.000000000000000,0.000000000000000,5407.000000000000000,62831.853071795863798,314159265.358979284763336
36,3,36,128,Nordeste,NA,Mosqueiro,-11.138116000000000,-37.145493000000002,NA,NA,NA,NA,NA,10000.000000000000000,36,2800308,Aracaju,SE,182.163000000000011,183670.000000000000000,293119.000000000000000,402341.000000000000000,461534.000000000000000,571149.000000000000000,0.000000000000000,0.000000000000000,109615.000000000000000,62831.853071795863798,314159265.358979284763336
37,3,37,129,Nordeste,NA,Aruana,-11.067069000000000,-37.101289000000001,NA,NA,NA,NA,NA,10000.000000000000000,37,2800308,Aracaju,SE,182.163000000000011,183670.000000000000000,293119.000000000000000,402341.000000000000000,461534.000000000000000,571149.000000000000000,0.000000000000000,0.000000000000000,109615.000000000000000,62831.853071795863798,314159265.358979284763336
38,2,38,130,Nordeste,NA,Hawaiizinho,-11.043927999999999,-37.082977999999997,NA,NA,NA,NA,NA,10000.000000000000000,38,2800308,Aracaju,SE,182.163000000000011,183670.000000000000000,293119.000000000000000,402341.000000000000000,461534.000000000000000,571149.000000000000000,0.000000000000000,0.000000000000000,109615.000000000000000,62831.853071795863798,314159265.358979284763336
39,3,39,131,Nordeste,NA,Praia do Meio,-10.999541000000001,-37.050151000000000,NA,NA,NA,NA,NA,10000.000000000000000,39,2800308,Aracaju,SE,182.163000000000011,183670.000000000000000,293119.000000000000000,402341.000000000000000,461534.000000000000000,571149.000000000000000,0.000000000000000,0.000000000000000,109615.000000000000000,62831.853071795863798,314159265.358979284763336
40,5,40,132,Nordeste,NA,Pirambu,-10.746346000000001,-36.855099000000003,NA,NA,NA,NA,NA,10000.000000000000000,40,2800605,Barra dos Coqueiros,SE,92.268000000000001,5568.000000000000000,7952.000000000000000,12727.000000000000000,17807.000000000000000,24976.000000000000000,0.000000000000000,0.000000000000000,7169.000000000000000,62831.853071795863798,314159265.358979284763336
41,2,41,133,Nordeste,NA,Ponta do Mangue,-10.639483000000000,-36.678539000000001,NA,NA,NA,NA,NA,10000.000000000000000,41,2804904,Pacatuba,SE,381.427999999999997,9469.000000000000000,9823.000000000000000,11500.000000000000000,11536.000000000000000,13137.000000000000000,0.000000000000000,0.000000000000000,1601.000000000000000,62831.853071795863798,314159265.358979284763336
42,2,42,134,Nordeste,NA,Pontal de Peba,-10.367584000000001,-36.303941000000002,NA,NA,NA,NA,NA,10000.000000000000000,42,2702702,Feliz Deserto,AL,110.061999999999998,1723.000000000000000,2690.000000000000000,3438.000000000000000,3836.000000000000000,4345.000000000000000,0.000000000000000,0.000000000000000,509.000000000000000,62831.853071795863798,314159265.358979284763336
43,1,43,135,Nordeste,NA,Mihai,-10.196728000000000,-36.181641999999997,NA,NA,NA,NA,NA,10000.000000000000000,43,2702306,Coruripe,AL,897.799999999999955,27225.000000000000000,41650.000000000000000,49240.000000000000000,48846.000000000000000,52130.000000000000000,0.000000000000000,0.000000000000000,3284.000000000000000,62831.853071795863798,314159265.358979284763336
44,1,44,136,Nordeste,NA,Pontal do Coruripe,-10.160774999999999,-36.150663999999999,NA,NA,NA,NA,NA,10000.000000000000000,44,2702306,Coruripe,AL,897.799999999999955,27225.000000000000000,41650.000000000000000,49240.000000000000000,48846.000000000000000,52130.000000000000000,0.000000000000000,0.000000000000000,3284.000000000000000,62831.853071795863798,314159265.358979284763336
45,2,45,137,Nordeste,NA,Forjos,-10.107661999999999,-36.097672000000003,NA,NA,NA,NA,NA,10000.000000000000000,45,2702306,Coruripe,AL,897.799999999999955,27225.000000000000000,41650.000000000000000,49240.000000000000000,48846.000000000000000,52130.000000000000000,0.000000000000000,0.000000000000000,3284.000000000000000,62831.853071795863798,314159265.358979284763336
46,2,46,138,Nordeste,NA,Poxim,-10.063563000000000,-36.040908999999999,NA,NA,NA,NA,NA,10000.000000000000000,46,2702306,Coruripe,AL,897.799999999999955,27225.000000000000000,41650.000000000000000,49240.000000000000000,48846.000000000000000,52130.000000000000000,0.000000000000000,0.000000000000000,3284.000000000000000,62831.853071795863798,314159265.358979284763336
47,3,47,139,Nordeste,NA,Jacarecica,-9.916383000000000,-35.945963999999996,NA,NA,NA,NA,NA,10000.000000000000000,47,2700607,Barra de São Miguel,AL,74.247000000000000,1418.000000000000000,2328.000000000000000,4950.000000000000000,6379.000000000000000,7574.000000000000000,0.000000000000000,0.000000000000000,1195.000000000000000,62831.853071795863798,314159265.358979284763336
48,3,48,140,Nordeste,NA,Praia do Meio,-9.824446999999999,-35.877803000000000,NA,NA,NA,NA,NA,10000.000000000000000,48,2700607,Barra de São Miguel,AL,74.247000000000000,1418.000000000000000,2328.000000000000000,4950.000000000000000,6379.000000000000000,7574.000000000000000,0.000000000000000,0.000000000000000,1195.000000000000000,62831.853071795863798,314159265.358979284763336
49,4,49,141,Nordeste,NA,Praia do Pontal,-9.682589999999999,-35.758536999999997,NA,NA,NA,NA,NA,10000.000000000000000,49,2702207,Coqueiro Seco,AL,39.607999999999997,2857.000000000000000,3799.000000000000000,4784.000000000000000,5134.000000000000000,5526.000000000000000,0.000000000000000,0.000000000000000,392.000000000000000,62831.853071795863798,314159265.358979284763336
50,3,50,142,Nordeste,NA,Salgema,-9.679629000000000,-35.718974000000003,NA,NA,NA,NA,NA,10000.000000000000000,50,2702207,Coqueiro Seco,AL,39.607999999999997,2857.000000000000000,3799.000000000000000,4784.000000000000000,5134.000000000000000,5526.000000000000000,0.000000000000000,0.000000000000000,392.000000000000000,62831.853071795863798,314159265.358979284763336
51,3,51,143,Nordeste,NA,Pier do Emissario,-9.673301000000000,-35.715234000000002,NA,NA,NA,NA,NA,10000.000000000000000,51,2702207,Coqueiro Seco,AL,39.607999999999997,2857.000000000000000,3799.000000000000000,4784.000000000000000,5134.000000000000000,5526.000000000000000,0.000000000000000,0.000000000000000,392.000000000000000,62831.853071795863798,314159265.358979284763336
52,3,52,144,Nordeste,NA,Praia do Sobral,-9.666869000000000,-35.710735000000000,NA,NA,NA,NA,NA,10000.000000000000000,52,2702207,Coqueiro Seco,AL,39.607999999999997,2857.000000000000000,3799.000000000000000,4784.000000000000000,5134.000000000000000,5526.000000000000000,0.000000000000000,0.000000000000000,392.000000000000000,62831.853071795863798,314159265.358979284763336
53,2,53,145,Nordeste,NA,"Pico da Barra, Brazil",-9.665630000000000,-35.697186000000002,NA,NA,NA,NA,NA,10000.000000000000000,53,2702207,Coqueiro Seco,AL,39.607999999999997,2857.000000000000000,3799.000000000000000,4784.000000000000000,5134.000000000000000,5526.000000000000000,0.000000000000000,0.000000000000000,392.000000000000000,62831.853071795863798,314159265.358979284763336
54,1,54,146,Nordeste,NA,Pedra Virada,-9.585521999999999,-35.660038000000000,NA,NA,NA,NA,NA,10000.000000000000000,54,2704302,Maceió,AL,509.319999999999993,263670.000000000000000,399300.000000000000000,629041.000000000000000,797759.000000000000000,932748.000000000000000,0.000000000000000,0.000000000000000,134989.000000000000000,62831.853071795863798,314159265.358979284763336
55,2,55,147,Nordeste,NA,Praia de Jatiuca,-9.531449000000000,-35.590927999999998,NA,NA,NA,NA,NA,10000.000000000000000,55,2704302,Maceió,AL,509.319999999999993,263670.000000000000000,399300.000000000000000,629041.000000000000000,797759.000000000000000,932748.000000000000000,0.000000000000000,0.000000000000000,134989.000000000000000,62831.853071795863798,314159265.358979284763336
56,3,56,148,Nordeste,NA,Garca Torta,-9.487114000000000,-35.557476999999999,NA,NA,NA,NA,NA,10000.000000000000000,56,2700508,Barra de Santo Antônio,AL,131.364000000000004,6028.000000000000000,9696.000000000000000,14334.000000000000000,11351.000000000000000,14230.000000000000000,0.000000000000000,0.000000000000000,2879.000000000000000,62831.853071795863798,314159265.358979284763336
57,5,57,149,Nordeste,NA,Mirante da Sirena,-9.430906000000000,-35.503683000000002,NA,NA,NA,NA,NA,10000.000000000000000,57,2700508,Barra de Santo Antônio,AL,131.364000000000004,6028.000000000000000,9696.000000000000000,14334.000000000000000,11351.000000000000000,14230.000000000000000,0.000000000000000,0.000000000000000,2879.000000000000000,62831.853071795863798,314159265.358979284763336
58,3,58,150,Nordeste,NA,Japaratinga,-9.261582000000001,-35.353366000000001,NA,NA,NA,NA,NA,10000.000000000000000,58,2706505,Passo de Camaragibe,AL,251.289999999999992,7598.000000000000000,11326.000000000000000,14091.000000000000000,13755.000000000000000,14763.000000000000000,0.000000000000000,0.000000000000000,1008.000000000000000,62831.853071795863798,314159265.358979284763336
59,2,59,151,Nordeste,NA,Impossivel,-8.615505000000001,-35.020375000000001,NA,NA,NA,NA,NA,10000.000000000000000,59,2607208,Ipojuca,PE,521.801000000000045,35851.000000000000000,39452.000000000000000,45424.000000000000000,59281.000000000000000,80637.000000000000000,0.000000000000000,0.000000000000000,21356.000000000000000,62831.853071795863798,314159265.358979284763336
60,2,60,152,Nordeste,NA,Serrambi,-8.576358000000001,-35.028714999999998,NA,NA,NA,NA,NA,10000.000000000000000,60,2607208,Ipojuca,PE,521.801000000000045,35851.000000000000000,39452.000000000000000,45424.000000000000000,59281.000000000000000,80637.000000000000000,0.000000000000000,0.000000000000000,21356.000000000000000,62831.853071795863798,314159265.358979284763336
61,2,61,153,Nordeste,NA,Porto de Galinhas,-8.488678000000000,-34.999501000000002,NA,NA,NA,NA,NA,10000.000000000000000,61,2607208,Ipojuca,PE,521.801000000000045,35851.000000000000000,39452.000000000000000,45424.000000000000000,59281.000000000000000,80637.000000000000000,0.000000000000000,0.000000000000000,21356.000000000000000,62831.853071795863798,314159265.358979284763336
62,1,62,154,Nordeste,NA,Cupe,-8.479708000000000,-34.996577000000002,NA,NA,NA,NA,NA,10000.000000000000000,62,2607208,Ipojuca,PE,521.801000000000045,35851.000000000000000,39452.000000000000000,45424.000000000000000,59281.000000000000000,80637.000000000000000,0.000000000000000,0.000000000000000,21356.000000000000000,62831.853071795863798,314159265.358979284763336
63,2,63,155,Nordeste,NA,Gaibu,-8.341567000000000,-34.948825999999997,NA,NA,NA,NA,NA,10000.000000000000000,63,2602902,Cabo de Santo Agostinho,PE,445.343000000000018,75829.000000000000000,104155.000000000000000,127036.000000000000000,152977.000000000000000,185025.000000000000000,0.000000000000000,0.000000000000000,32048.000000000000000,62831.853071795863798,314159265.358979284763336
64,4,64,156,Nordeste,NA,Bessa,-7.091138000000000,-34.832765000000002,NA,NA,NA,NA,NA,10000.000000000000000,64,2501807,Bayeux,PB,27.704999999999998,35464.000000000000000,58921.000000000000000,77491.000000000000000,87561.000000000000000,99716.000000000000000,0.000000000000000,0.000000000000000,12155.000000000000000,62831.853071795863798,314159265.358979284763336
65,2,65,157,Nordeste,NA,Saji,-6.466880000000000,-34.970449000000002,NA,NA,NA,NA,NA,10000.000000000000000,65,2401404,Baía Formosa,RN,247.484000000000009,3814.000000000000000,5155.000000000000000,7223.000000000000000,7821.000000000000000,8573.000000000000000,0.000000000000000,0.000000000000000,752.000000000000000,62831.853071795863798,314159265.358979284763336
66,2,66,158,Nordeste,NA,Farol,-6.408908000000000,-34.979016999999999,NA,NA,NA,NA,NA,10000.000000000000000,66,2401404,Baía Formosa,RN,247.484000000000009,3814.000000000000000,5155.000000000000000,7223.000000000000000,7821.000000000000000,8573.000000000000000,0.000000000000000,0.000000000000000,752.000000000000000,62831.853071795863798,314159265.358979284763336
67,2,67,159,Nordeste,NA,Xilauzinho,-6.395101000000000,-34.983204999999998,NA,NA,NA,NA,NA,10000.000000000000000,67,2401404,Baía Formosa,RN,247.484000000000009,3814.000000000000000,5155.000000000000000,7223.000000000000000,7821.000000000000000,8573.000000000000000,0.000000000000000,0.000000000000000,752.000000000000000,62831.853071795863798,314159265.358979284763336
68,3,68,160,Nordeste,NA,Mar Aberto,-6.379758000000000,-34.989437000000002,NA,NA,NA,NA,NA,10000.000000000000000,68,2401404,Baía Formosa,RN,247.484000000000009,3814.000000000000000,5155.000000000000000,7223.000000000000000,7821.000000000000000,8573.000000000000000,0.000000000000000,0.000000000000000,752.000000000000000,62831.853071795863798,314159265.358979284763336
69,3,69,161,Nordeste,NA,Pontal,-6.368680000000000,-34.993423999999997,NA,NA,NA,NA,NA,10000.000000000000000,69,2401404,Baía Formosa,RN,247.484000000000009,3814.000000000000000,5155.000000000000000,7223.000000000000000,7821.000000000000000,8573.000000000000000,0.000000000000000,0.000000000000000,752.000000000000000,62831.853071795863798,314159265.358979284763336
70,4,70,162,Nordeste,NA,Mar da Frente,-6.365217000000000,-35.006211999999998,NA,NA,NA,NA,NA,10000.000000000000000,70,2401404,Baía Formosa,RN,247.484000000000009,3814.000000000000000,5155.000000000000000,7223.000000000000000,7821.000000000000000,8573.000000000000000,0.000000000000000,0.000000000000000,752.000000000000000,62831.853071795863798,314159265.358979284763336
71,4,71,163,Nordeste,NA,Lajinha,-6.278960000000000,-35.033028000000002,NA,NA,NA,NA,NA,10000.000000000000000,71,2401404,Baía Formosa,RN,247.484000000000009,3814.000000000000000,5155.000000000000000,7223.000000000000000,7821.000000000000000,8573.000000000000000,0.000000000000000,0.000000000000000,752.000000000000000,62831.853071795863798,314159265.358979284763336
72,5,72,164,Nordeste,NA,Afogados,-6.244350000000000,-35.036464000000002,NA,NA,NA,NA,NA,10000.000000000000000,72,2401404,Baía Formosa,RN,247.484000000000009,3814.000000000000000,5155.000000000000000,7223.000000000000000,7821.000000000000000,8573.000000000000000,0.000000000000000,0.000000000000000,752.000000000000000,62831.853071795863798,314159265.358979284763336
73,5,73,165,Nordeste,NA,Sororoca,-6.238074000000000,-35.035608000000003,NA,NA,NA,NA,NA,10000.000000000000000,73,2401404,Baía Formosa,RN,247.484000000000009,3814.000000000000000,5155.000000000000000,7223.000000000000000,7821.000000000000000,8573.000000000000000,0.000000000000000,0.000000000000000,752.000000000000000,62831.853071795863798,314159265.358979284763336
74,6,74,166,Nordeste,NA,Abacateiro,-6.233891000000000,-35.036746999999998,NA,NA,NA,NA,NA,10000.000000000000000,74,2401206,Arês,RN,115.406999999999996,7962.000000000000000,9958.000000000000000,11140.000000000000000,11323.000000000000000,12924.000000000000000,0.000000000000000,0.000000000000000,1601.000000000000000,62831.853071795863798,314159265.358979284763336
75,6,75,167,Nordeste,NA,Tibau do Sul,-6.180279000000000,-35.089708999999999,NA,NA,NA,NA,NA,10000.000000000000000,75,2401206,Arês,RN,115.406999999999996,7962.000000000000000,9958.000000000000000,11140.000000000000000,11323.000000000000000,12924.000000000000000,0.000000000000000,0.000000000000000,1601.000000000000000,62831.853071795863798,314159265.358979284763336
