OBJECTID,id,COUNT,AREA,MEAN
1,93,125.000000000000000,157986936.547256797552109,0.438556789636612
2,94,118.000000000000000,149139668.100610435009003,0.457251875203545
3,95,116.000000000000000,146611877.115854322910309,0.462627877063792
4,96,110.000000000000000,139028504.161585986614227,0.474271136793223
5,97,108.000000000000000,136500713.176829874515533,0.480432533003666
6,98,131.000000000000000,165570309.501525133848190,0.335889899264310
7,99,127.000000000000000,160514727.532012909650803,0.203124401929576
8,100,123.000000000000000,155459145.562500685453415,0.241472503518671
9,101,115.000000000000000,145347981.623476266860962,0.254787724108800
10,102,68.000000000000000,85944893.481707707047462,0.813859691076419
11,103,70.000000000000000,88472684.466463804244995,0.809342458844185
12,104,76.000000000000000,96056057.420732140541077,0.798178597500450
13,105,81.000000000000000,102375534.882622405886650,0.799326451840224
14,106,110.000000000000000,139028504.161585986614227,0.790398695523089
15,107,137.000000000000000,173153682.455793470144272,0.769598741818519
16,108,144.000000000000000,182000950.902439832687378,0.755317345468534
17,109,145.000000000000000,183264846.394817888736725,0.751870286259158
18,110,114.000000000000000,144084086.131098210811615,0.734202626765820
19,111,112.000000000000000,141556295.146342098712921,0.726894502394966
20,112,137.000000000000000,173153682.455793470144272,0.735632699336449
21,113,113.000000000000000,142820190.638720154762268,0.725437210460680
22,114,114.000000000000000,144084086.131098210811615,0.721398836949415
23,115,115.000000000000000,145347981.623476266860962,0.717363947629929
24,116,110.000000000000000,139028504.161585986614227,0.718476154858416
25,117,119.000000000000000,150403563.592988461256027,0.692805715218312
26,118,125.000000000000000,157986936.547256797552109,0.685390928030014
27,119,138.000000000000000,174417577.948171496391296,0.651550990515861
28,120,130.000000000000000,164306414.009147077798843,0.578404777325117
29,121,122.000000000000000,154195250.070122629404068,0.466134857691702
30,122,116.000000000000000,146611877.115854322910309,0.441769513590582
31,123,131.000000000000000,165570309.501525133848190,0.272219414559712
32,124,130.000000000000000,164306414.009147077798843,0.218844294433410
