OBJECTID,id,region,zone,name,lat,long,BUFF_DIST,ORIG_FID,Shape_Leng,Shape_Area,SUM_Length
88,87,Sudeste,NA,Jacaraipe - Solemar,-20.109774999999999,-40.171481000000000,10000.000000000000000,88,62831.853071795863798,314159265.358979284763336,794.921223842571976
89,88,Sudeste,NA,Xa,-20.107229000000000,-40.171174999999998,10000.000000000000000,89,62831.853071795863798,314159265.358979284763336,788.582979718077013
90,89,Sudeste,NA,Nova Almeida,-20.058461999999999,-40.183000999999997,10000.000000000000000,90,62831.853071795863798,314159265.358979284763336,545.248430345693009
91,90,Sudeste,NA,Praia Grande,-20.047100000000000,-40.182743000000002,10000.000000000000000,91,62831.853071795863798,314159265.358979284763336,473.563130201122021
92,91,Sudeste,NA,Regencia,-19.562811000000000,-39.764263999999997,10000.000000000000000,92,62831.853071795863798,314159265.358979284763336,76.522321066153495
93,92,Sudeste,NA,Guriri,-18.910750000000000,-39.738563999999997,10000.000000000000000,93,62831.853071795863798,314159265.358979284763336,80.370250857617407
94,93,Nordeste,NA,Milionarios,-14.847631000000000,-39.022942000000000,10000.000000000000000,94,62831.853071795863798,314159265.358979284763336,497.052499467589996
95,94,Nordeste,NA,Sul,-14.831120000000000,-39.022562999999998,10000.000000000000000,95,62831.853071795863798,314159265.358979284763336,485.094627605554024
96,95,Nordeste,NA,Pedra da Cachorra,-14.821026000000000,-39.023632999999997,10000.000000000000000,96,62831.853071795863798,314159265.358979284763336,481.671653165976011
97,96,Nordeste,NA,Jardim Atlantico,-14.815026000000000,-39.023400000000002,10000.000000000000000,97,62831.853071795863798,314159265.358979284763336,487.252611193675989
98,97,Nordeste,NA,Baduska,-14.809442000000001,-39.023423000000001,10000.000000000000000,98,62831.853071795863798,314159265.358979284763336,485.423965679592982
99,98,Nordeste,NA,Norte,-14.660090000000000,-39.063006999999999,10000.000000000000000,99,62831.853071795863798,314159265.358979284763336,247.734186141383987
100,99,Nordeste,NA,Havaizinho,-14.468062000000000,-39.023161000000002,10000.000000000000000,100,62831.853071795863798,314159265.358979284763336,134.204373715522991
101,100,Nordeste,NA,Sao Jose,-14.316062000000001,-38.990701000000001,10000.000000000000000,101,62831.853071795863798,314159265.358979284763336,198.199702684403007
102,101,Nordeste,NA,Corals,-14.275408000000001,-38.982568999999998,10000.000000000000000,102,62831.853071795863798,314159265.358979284763336,170.604209639246989
103,102,Nordeste,NA,Tony,-13.016731999999999,-38.488781000000003,10000.000000000000000,103,62831.853071795863798,314159265.358979284763336,1935.132950791700068
104,103,Nordeste,NA,Meridien,-13.016598000000000,-38.484878999999999,10000.000000000000000,104,62831.853071795863798,314159265.358979284763336,1968.222497187000045
105,104,Nordeste,NA,Amaralina,-13.015369000000000,-38.471834000000001,10000.000000000000000,105,62831.853071795863798,314159265.358979284763336,2093.494990159410008
106,105,Nordeste,NA,Tubao,-13.010683999999999,-38.461410999999998,10000.000000000000000,106,62831.853071795863798,314159265.358979284763336,2279.975371978070143
107,106,Nordeste,NA,Psiu,-12.995919000000001,-38.439390000000003,10000.000000000000000,107,62831.853071795863798,314159265.358979284763336,2740.510968764090194
108,107,Nordeste,NA,Alex,-12.973279000000000,-38.406477000000002,10000.000000000000000,108,62831.853071795863798,314159265.358979284763336,2868.349433097219844
109,108,Nordeste,NA,Terceira Ponte,-12.963839999999999,-38.396822000000000,10000.000000000000000,109,62831.853071795863798,314159265.358979284763336,2808.117078016779942
110,109,Nordeste,NA,SESC,-12.960485000000000,-38.390998000000003,10000.000000000000000,110,62831.853071795863798,314159265.358979284763336,2709.441561688200181
111,110,Nordeste,NA,Farol,-12.958147000000000,-38.352812999999998,10000.000000000000000,111,62831.853071795863798,314159265.358979284763336,1856.524730850690048
112,111,Nordeste,NA,Pedro do Sal,-12.954224000000000,-38.347234000000000,10000.000000000000000,112,62831.853071795863798,314159265.358979284763336,1800.988125217739935
113,112,Nordeste,NA,Itapoa,-12.952339000000000,-38.369608999999997,10000.000000000000000,113,62831.853071795863798,314159265.358979284763336,2318.150558631300100
114,113,Nordeste,NA,Seper,-12.952040999999999,-38.343243999999999,10000.000000000000000,114,62831.853071795863798,314159265.358979284763336,1745.006751479600098
115,114,Nordeste,NA,Corrente,-12.948985000000000,-38.339199999999998,10000.000000000000000,115,62831.853071795863798,314159265.358979284763336,1722.626273175990036
116,115,Nordeste,NA,Stela Maris,-12.947385000000001,-38.337372000000002,10000.000000000000000,116,62831.853071795863798,314159265.358979284763336,1719.383906978350069
117,116,Nordeste,NA,Plator,-12.946393000000000,-38.333083999999999,10000.000000000000000,117,62831.853071795863798,314159265.358979284763336,1669.369342953749992
118,117,Nordeste,NA,Aleluia,-12.926800999999999,-38.312618999999998,10000.000000000000000,118,62831.853071795863798,314159265.358979284763336,1580.660381872279913
119,118,Nordeste,NA,Ipitanga,-12.920477000000000,-38.309717999999997,10000.000000000000000,119,62831.853071795863798,314159265.358979284763336,1601.725972608519896
120,119,Nordeste,NA,Vilas,-12.894546000000000,-38.290790999999999,10000.000000000000000,120,62831.853071795863798,314159265.358979284763336,1569.146400186519941
121,120,Nordeste,NA,Busca Vida,-12.863464000000000,-38.255961999999997,10000.000000000000000,121,62831.853071795863798,314159265.358979284763336,1087.028069208349962
122,121,Nordeste,NA,Itacimirim,-12.639232000000000,-38.048194000000002,10000.000000000000000,122,62831.853071795863798,314159265.358979284763336,594.852871713590957
123,122,Nordeste,NA,Praia do Forte,-12.583304999999999,-38.005077999999997,10000.000000000000000,123,62831.853071795863798,314159265.358979284763336,517.888547589200016
124,123,Nordeste,NA,Imbassai,-12.342055000000000,-37.846200000000003,10000.000000000000000,124,62831.853071795863798,314159265.358979284763336,196.979609883353987
125,124,Nordeste,NA,Costa do Sauipe,-12.022171000000000,-37.645508000000000,10000.000000000000000,125,62831.853071795863798,314159265.358979284763336,88.650298460425603
126,125,Nordeste,NA,Marlin,-11.939802999999999,-37.602476000000003,10000.000000000000000,126,62831.853071795863798,314159265.358979284763336,144.102557925599001
127,126,Nordeste,NA,Conde,-11.848141000000000,-37.558169999999997,10000.000000000000000,127,62831.853071795863798,314159265.358979284763336,164.518477957855993
128,127,Nordeste,NA,Mangue Seco,-11.483613999999999,-37.364454000000002,10000.000000000000000,128,62831.853071795863798,314159265.358979284763336,102.030675735559996
129,128,Nordeste,NA,Mosqueiro,-11.138116000000000,-37.145493000000002,10000.000000000000000,129,62831.853071795863798,314159265.358979284763336,236.551904164527002
130,129,Nordeste,NA,Aruana,-11.067069000000000,-37.101289000000001,10000.000000000000000,130,62831.853071795863798,314159265.358979284763336,702.574525029118035
131,130,Nordeste,NA,Hawaiizinho,-11.043927999999999,-37.082977999999997,10000.000000000000000,131,62831.853071795863798,314159265.358979284763336,1010.265617240179949
132,131,Nordeste,NA,Praia do Meio,-10.999541000000001,-37.050151000000000,10000.000000000000000,132,62831.853071795863798,314159265.358979284763336,1566.346377091030035
133,132,Nordeste,NA,Pirambu,-10.746346000000001,-36.855099000000003,10000.000000000000000,133,62831.853071795863798,314159265.358979284763336,153.870412721690997
134,133,Nordeste,NA,Ponta do Mangue,-10.639483000000000,-36.678539000000001,10000.000000000000000,134,62831.853071795863798,314159265.358979284763336,62.948949914892999
135,134,Nordeste,NA,Pontal de Peba,-10.367584000000001,-36.303941000000002,10000.000000000000000,135,62831.853071795863798,314159265.358979284763336,115.905936918365001
136,135,Nordeste,NA,Mihai,-10.196728000000000,-36.181641999999997,10000.000000000000000,136,62831.853071795863798,314159265.358979284763336,284.118266684295008
137,136,Nordeste,NA,Pontal do Coruripe,-10.160774999999999,-36.150663999999999,10000.000000000000000,137,62831.853071795863798,314159265.358979284763336,328.643295642891019
138,137,Nordeste,NA,Forjos,-10.107661999999999,-36.097672000000003,10000.000000000000000,138,62831.853071795863798,314159265.358979284763336,312.358058894403996
139,138,Nordeste,NA,Poxim,-10.063563000000000,-36.040908999999999,10000.000000000000000,139,62831.853071795863798,314159265.358979284763336,189.742319037274001
140,139,Nordeste,NA,Jacarecica,-9.916383000000000,-35.945963999999996,10000.000000000000000,140,62831.853071795863798,314159265.358979284763336,536.435975227415952
141,140,Nordeste,NA,Praia do Meio,-9.824446999999999,-35.877803000000000,10000.000000000000000,141,62831.853071795863798,314159265.358979284763336,554.167468104501040
142,141,Nordeste,NA,Praia do Pontal,-9.682589999999999,-35.758536999999997,10000.000000000000000,142,62831.853071795863798,314159265.358979284763336,1375.443996914040099
143,142,Nordeste,NA,Salgema,-9.679629000000000,-35.718974000000003,10000.000000000000000,143,62831.853071795863798,314159265.358979284763336,1245.483935339329946
144,143,Nordeste,NA,Pier do Emissario,-9.673301000000000,-35.715234000000002,10000.000000000000000,144,62831.853071795863798,314159265.358979284763336,1294.806544686749930
145,144,Nordeste,NA,Praia do Sobral,-9.666869000000000,-35.710735000000000,10000.000000000000000,145,62831.853071795863798,314159265.358979284763336,1339.854544615300028
146,145,Nordeste,NA,"Pico da Barra, Brazil",-9.665630000000000,-35.697186000000002,10000.000000000000000,146,62831.853071795863798,314159265.358979284763336,1289.374042341770064
147,146,Nordeste,NA,Pedra Virada,-9.585521999999999,-35.660038000000000,10000.000000000000000,147,62831.853071795863798,314159265.358979284763336,1297.134810363130100
148,147,Nordeste,NA,Praia de Jatiuca,-9.531449000000000,-35.590927999999998,10000.000000000000000,148,62831.853071795863798,314159265.358979284763336,621.758775221347037
149,148,Nordeste,NA,Garca Torta,-9.487114000000000,-35.557476999999999,10000.000000000000000,149,62831.853071795863798,314159265.358979284763336,659.662469110667985
150,149,Nordeste,NA,Mirante da Sirena,-9.430906000000000,-35.503683000000002,10000.000000000000000,150,62831.853071795863798,314159265.358979284763336,429.071490801735990
151,150,Nordeste,NA,Japaratinga,-9.261582000000001,-35.353366000000001,10000.000000000000000,151,62831.853071795863798,314159265.358979284763336,241.531249321243990
152,151,Nordeste,NA,Impossivel,-8.615505000000001,-35.020375000000001,10000.000000000000000,152,62831.853071795863798,314159265.358979284763336,303.002959956342977
153,152,Nordeste,NA,Serrambi,-8.576358000000001,-35.028714999999998,10000.000000000000000,153,62831.853071795863798,314159265.358979284763336,482.705140092525994
154,153,Nordeste,NA,Porto de Galinhas,-8.488678000000000,-34.999501000000002,10000.000000000000000,154,62831.853071795863798,314159265.358979284763336,490.836853371692996
155,154,Nordeste,NA,Cupe,-8.479708000000000,-34.996577000000002,10000.000000000000000,155,62831.853071795863798,314159265.358979284763336,537.431795214483031
156,155,Nordeste,NA,Gaibu,-8.341567000000000,-34.948825999999997,10000.000000000000000,156,62831.853071795863798,314159265.358979284763336,723.871153529403045
157,156,Nordeste,NA,Bessa,-7.091138000000000,-34.832765000000002,10000.000000000000000,157,62831.853071795863798,314159265.358979284763336,1839.876737791199957
158,157,Nordeste,NA,Saji,-6.466880000000000,-34.970449000000002,10000.000000000000000,158,62831.853071795863798,314159265.358979284763336,187.228299672264995
159,158,Nordeste,NA,Farol,-6.408908000000000,-34.979016999999999,10000.000000000000000,159,62831.853071795863798,314159265.358979284763336,174.250186961720004
160,159,Nordeste,NA,Xilauzinho,-6.395101000000000,-34.983204999999998,10000.000000000000000,160,62831.853071795863798,314159265.358979284763336,149.873305333243991
161,160,Nordeste,NA,Mar Aberto,-6.379758000000000,-34.989437000000002,10000.000000000000000,161,62831.853071795863798,314159265.358979284763336,160.848537674191988
162,161,Nordeste,NA,Pontal,-6.368680000000000,-34.993423999999997,10000.000000000000000,162,62831.853071795863798,314159265.358979284763336,161.082925026846993
163,162,Nordeste,NA,Mar da Frente,-6.365217000000000,-35.006211999999998,10000.000000000000000,163,62831.853071795863798,314159265.358979284763336,203.762629740046009
164,163,Nordeste,NA,Lajinha,-6.278960000000000,-35.033028000000002,10000.000000000000000,164,62831.853071795863798,314159265.358979284763336,254.342052896159998
165,164,Nordeste,NA,Afogados,-6.244350000000000,-35.036464000000002,10000.000000000000000,165,62831.853071795863798,314159265.358979284763336,271.623432104184019
166,165,Nordeste,NA,Sororoca,-6.238074000000000,-35.035608000000003,10000.000000000000000,166,62831.853071795863798,314159265.358979284763336,264.376615599562001
167,166,Nordeste,NA,Abacateiro,-6.233891000000000,-35.036746999999998,10000.000000000000000,167,62831.853071795863798,314159265.358979284763336,261.439381730316995
168,167,Nordeste,NA,Tibau do Sul,-6.180279000000000,-35.089708999999999,10000.000000000000000,168,62831.853071795863798,314159265.358979284763336,425.147928248208984
169,168,Nordeste,NA,Tabatinga,-6.049479000000000,-35.108238000000000,10000.000000000000000,169,62831.853071795863798,314159265.358979284763336,464.746756717602011
170,169,Nordeste,NA,Xoxoline,-6.005800000000000,-35.105258999999997,10000.000000000000000,170,62831.853071795863798,314159265.358979284763336,450.273452577126022
171,170,Nordeste,NA,Pirangi Reef,-5.980259000000000,-35.107796000000000,10000.000000000000000,171,62831.853071795863798,314159265.358979284763336,459.082293223086026
172,171,Nordeste,NA,Cotovelo,-5.949906000000000,-35.151975000000000,10000.000000000000000,172,62831.853071795863798,314159265.358979284763336,1003.081257701609957
173,172,Nordeste,NA,Miami,-5.794834000000000,-35.181663999999998,10000.000000000000000,173,62831.853071795863798,314159265.358979284763336,2113.392216586500126
174,173,Nordeste,NA,Areia Preta,-5.792249000000000,-35.184387000000001,10000.000000000000000,174,62831.853071795863798,314159265.358979284763336,2176.526443279300111
175,174,Nordeste,NA,Praia dos Artistas,-5.781239000000000,-35.192050000000002,10000.000000000000000,175,62831.853071795863798,314159265.358979284763336,2316.146083458339945
176,175,Nordeste,NA,Genipabu,-5.694407000000000,-35.201922000000003,10000.000000000000000,176,62831.853071795863798,314159265.358979284763336,1203.157648999429966
177,176,Nordeste,NA,Touros Area,-5.197434000000000,-35.457929999999998,10000.000000000000000,177,62831.853071795863798,314159265.358979284763336,277.248907220911008
178,177,Nordeste,NA,Urca da Concei&ccedil;&atilde;o,-5.069617000000000,-35.800230999999997,10000.000000000000000,178,62831.853071795863798,314159265.358979284763336,177.696629482551003
179,178,Nordeste,NA,Cocoa das Lavadeiras,-5.066515000000000,-35.862005000000003,10000.000000000000000,179,62831.853071795863798,314159265.358979284763336,201.022722952333993
