OBJECTID,Name,Surf_Spot,Shape_Leng,Shape_Area,SUM_Area_S
1,Cardoso, ,62831.853071795863798,314159265.358979284763336,0.750526667127774
2,Ravena, ,62831.853071795863798,314159265.358979284763336,1.119663637097660
3,Praia da Vila Imbituba, ,62831.853071795863798,314159265.358979284763336,0.157176281884842
4,Praia do Porto Imbituba, ,62831.853071795863798,314159265.358979284763336,0.168497672077882
5,Ponta da Pinheira, ,62831.853071795863798,314159265.358979284763336,0.036993333040064
6,Mocambique, ,62831.853071795863798,314159265.358979284763336,0.191721089243731
7,Ponta das Canas, ,62831.853071795863798,314159265.358979284763336,0.375942758382794
8,Itagua&ccedil;u, ,62831.853071795863798,314159265.358979284763336,0.101500585792812
9,Ilha Comprida, ,62831.853071795863798,314159265.358979284763336,0.195228168538089
10,Iguape, ,62831.853071795863798,314159265.358979284763336,0.347573261061605
11,Peruibe, ,62831.853071795863798,314159265.358979284763336,0.250787198167449
12,Praia dos Pescadores, ,62831.853071795863798,314159265.358979284763336,0.202524734570152
13,Itanhaem, ,62831.853071795863798,314159265.358979284763336,0.151865914809321
14,Praia Grande, ,62831.853071795863798,314159265.358979284763336,0.496561848996295
15,Praia do Forte dos Andradas, ,62831.853071795863798,314159265.358979284763336,1.347258228183840
16,Praia do Forte dos Andradas, ,62831.853071795863798,314159265.358979284763336,1.405958861389730
17,Praia da Ponta Grossa, ,62831.853071795863798,314159265.358979284763336,1.612472396847060
18,Itaipu, ,62831.853071795863798,314159265.358979284763336,0.965856025058886
19,Guaiuba, ,62831.853071795863798,314159265.358979284763336,1.801429733247230
20,Santos, ,62831.853071795863798,314159265.358979284763336,2.008796974909710
21,Morro do Maluf, ,62831.853071795863798,314159265.358979284763336,1.656441992338260
22,Praia da Enseada, ,62831.853071795863798,314159265.358979284763336,0.751981182660308
23,Embare, ,62831.853071795863798,314159265.358979284763336,2.411387196416710
24,Gonzaga, ,62831.853071795863798,314159265.358979284763336,2.509215142532700
25,Pereque, ,62831.853071795863798,314159265.358979284763336,0.174187453558475
26,Praia Preta, ,62831.853071795863798,314159265.358979284763336,0.069525481080042
27,Praia da Bertioga, ,62831.853071795863798,314159265.358979284763336,0.137737295005841
28,Maresias, ,62831.853071795863798,314159265.358979284763336,0.042602737519262
29,Canto de Moreira, ,62831.853071795863798,314159265.358979284763336,0.051790904246167
30,Itaguere, ,62831.853071795863798,314159265.358979284763336,0.541022750107358
31,Boicucanga, ,62831.853071795863798,314159265.358979284763336,0.060695765431845
32,Praia de Baleia, ,62831.853071795863798,314159265.358979284763336,0.068936158921025
33,Barra do Sahy, ,62831.853071795863798,314159265.358979284763336,0.068936158921025
34,Praia Preta, ,62831.853071795863798,314159265.358979284763336,0.058311742047871
35,Bananas Point, ,62831.853071795863798,314159265.358979284763336,0.068620232411983
36,Praia do Juquei, ,62831.853071795863798,314159265.358979284763336,0.047557526433752
37,Praia da Boracéia, ,62831.853071795863798,314159265.358979284763336,0.019358170054545
38,Praia Dura, ,62831.853071795863798,314159265.358979284763336,0.021976667039842
39,Pereque-Acu, ,62831.853071795863798,314159265.358979284763336,0.071900209637480
40,Itamambuca, ,62831.853071795863798,314159265.358979284763336,0.055264380002669
41,Praia da Fazenda, ,62831.853071795863798,314159265.358979284763336,0.002307500668172
42,Aventureiro, ,62831.853071795863798,314159265.358979284763336,0.058879275633449
43,Praia do Leste, ,62831.853071795863798,314159265.358979284763336,0.097205452509604
44,Praia do Sul, ,62831.853071795863798,314159265.358979284763336,0.077553882114988
45,Praia do Meio, ,62831.853071795863798,314159265.358979284763336,0.563833712113287
46,Restinga a Marambaia, ,62831.853071795863798,314159265.358979284763336,0.162460670807595
47,Grumari, ,62831.853071795863798,314159265.358979284763336,1.004936377748360
48,Reserva, ,62831.853071795863798,314159265.358979284763336,3.454438216449580
49,Barra da Tijuca, ,62831.853071795863798,314159265.358979284763336,4.296243782798230
50,Barra da Tijuca, ,62831.853071795863798,314159265.358979284763336,4.522640072819190
51,Sao Conrado, ,62831.853071795863798,314159265.358979284763336,5.874191253701960
52,Bambui, ,62831.853071795863798,314159265.358979284763336,0.087441382774806
53,Itaipuacu, ,62831.853071795863798,314159265.358979284763336,0.339174591371933
54,Barra de Marica, ,62831.853071795863798,314159265.358979284763336,0.144232530951988
55,Camboinhas, ,62831.853071795863798,314159265.358979284763336,1.221554862548820
56,Pirantininga, ,62831.853071795863798,314159265.358979284763336,2.618273489824530
57,Jacone, ,62831.853071795863798,314159265.358979284763336,0.157244683641267
58,Figueira, ,62831.853071795863798,314159265.358979284763336,0.001435973234271
59,Praia do Fora, ,62831.853071795863798,314159265.358979284763336,13.793581795257200
60,Laje do Pao de Acucar, ,62831.853071795863798,314159265.358979284763336,13.678837224210699
61,Canal, ,62831.853071795863798,314159265.358979284763336,0.033624519117586
62,Praia Seca, ,62831.853071795863798,314159265.358979284763336,0.134892522665683
63,Caravelas, ,62831.853071795863798,314159265.358979284763336,0.254965972635875
64,Tucuns, ,62831.853071795863798,314159265.358979284763336,0.239880836040145
65,Praia Brava, ,62831.853071795863798,314159265.358979284763336,0.186244976749530
66,Marataizes, ,62831.853071795863798,314159265.358979284763336,0.157075011752473
67,Ponta do Ubu, ,62831.853071795863798,314159265.358979284763336,0.616356870858476
68,Ponta dos Castelhanos, ,62831.853071795863798,314159265.358979284763336,0.750564466582420
69,Maimba, ,62831.853071795863798,314159265.358979284763336,2.810673277481190
70,Praia do Morro, ,62831.853071795863798,314159265.358979284763336,3.441325730890960
