OBJECTID,Join_Count,TARGET_FID,id,region,zone,name,lat,long,BUFF_DIST,ORIG_FID,CD_MUN,NM_MUN,SIGLA,AREA_KM2,F1970,F1980,F1991,F2000,F2010,Shape_Leng,Shape_Area,pop_change,Shape_Le_1,Shape_Ar_1
49,1,49,48,Sudeste,NA,Grumari,-23.050469000000000,-43.533907999999997,10000.000000000000000,49,3304557,Rio de Janeiro,RJ,1200.328999999999951,4251918.000000000000000,5090723.000000000000000,5480768.000000000000000,5857904.000000000000000,6320446.000000000000000,0.000000000000000,0.000000000000000,462542.000000000000000,62831.853071795863798,314159265.358979284763336
50,1,50,49,Sudeste,NA,Reserva,-23.022717000000000,-43.440916000000001,10000.000000000000000,50,3304557,Rio de Janeiro,RJ,1200.328999999999951,4251918.000000000000000,5090723.000000000000000,5480768.000000000000000,5857904.000000000000000,6320446.000000000000000,0.000000000000000,0.000000000000000,462542.000000000000000,62831.853071795863798,314159265.358979284763336
51,1,51,50,Sudeste,NA,Barra da Tijuca,-23.020340120000000,-43.372478489999999,10000.000000000000000,51,3304557,Rio de Janeiro,RJ,1200.328999999999951,4251918.000000000000000,5090723.000000000000000,5480768.000000000000000,5857904.000000000000000,6320446.000000000000000,0.000000000000000,0.000000000000000,462542.000000000000000,62831.853071795863798,314159265.358979284763336
52,1,52,51,Sudeste,NA,Barra da Tijuca,-23.014886109999999,-43.372222219999998,10000.000000000000000,52,3304557,Rio de Janeiro,RJ,1200.328999999999951,4251918.000000000000000,5090723.000000000000000,5480768.000000000000000,5857904.000000000000000,6320446.000000000000000,0.000000000000000,0.000000000000000,462542.000000000000000,62831.853071795863798,314159265.358979284763336
53,1,53,52,Sudeste,NA,Sao Conrado,-23.000617999999999,-43.264187000000000,10000.000000000000000,53,3304557,Rio de Janeiro,RJ,1200.328999999999951,4251918.000000000000000,5090723.000000000000000,5480768.000000000000000,5857904.000000000000000,6320446.000000000000000,0.000000000000000,0.000000000000000,462542.000000000000000,62831.853071795863798,314159265.358979284763336
54,3,54,53,Sudeste,NA,Bambui,-22.975255000000001,-42.916570000000000,10000.000000000000000,54,3302700,Maricá,RJ,361.572000000000003,23664.000000000000000,32618.000000000000000,46545.000000000000000,76737.000000000000000,127461.000000000000000,0.000000000000000,0.000000000000000,50724.000000000000000,62831.853071795863798,314159265.358979284763336
55,3,55,54,Sudeste,NA,Itaipuacu,-22.971149000000000,-43.011260000000000,10000.000000000000000,55,3302700,Maricá,RJ,361.572000000000003,23664.000000000000000,32618.000000000000000,46545.000000000000000,76737.000000000000000,127461.000000000000000,0.000000000000000,0.000000000000000,50724.000000000000000,62831.853071795863798,314159265.358979284763336
56,1,56,55,Sudeste,NA,Barra de Marica,-22.962100000000000,-42.809486999999997,10000.000000000000000,56,3302700,Maricá,RJ,361.572000000000003,23664.000000000000000,32618.000000000000000,46545.000000000000000,76737.000000000000000,127461.000000000000000,0.000000000000000,0.000000000000000,50724.000000000000000,62831.853071795863798,314159265.358979284763336
57,3,57,56,Sudeste,NA,Camboinhas,-22.961998000000001,-43.059922999999998,10000.000000000000000,57,3302700,Maricá,RJ,361.572000000000003,23664.000000000000000,32618.000000000000000,46545.000000000000000,76737.000000000000000,127461.000000000000000,0.000000000000000,0.000000000000000,50724.000000000000000,62831.853071795863798,314159265.358979284763336
58,3,58,57,Sudeste,NA,Pirantininga,-22.955044999999998,-43.088653999999998,10000.000000000000000,58,3302700,Maricá,RJ,361.572000000000003,23664.000000000000000,32618.000000000000000,46545.000000000000000,76737.000000000000000,127461.000000000000000,0.000000000000000,0.000000000000000,50724.000000000000000,62831.853071795863798,314159265.358979284763336
59,2,59,58,Sudeste,NA,Jacone,-22.946556000000001,-42.679789000000000,10000.000000000000000,59,3302700,Maricá,RJ,361.572000000000003,23664.000000000000000,32618.000000000000000,46545.000000000000000,76737.000000000000000,127461.000000000000000,0.000000000000000,0.000000000000000,50724.000000000000000,62831.853071795863798,314159265.358979284763336
60,4,60,59,Sudeste,NA,Figueira,-22.944991999999999,-42.188828000000001,10000.000000000000000,60,3300258,Arraial do Cabo,RJ,152.105999999999995,0.000000000000000,0.000000000000000,19866.000000000000000,23877.000000000000000,27715.000000000000000,0.000000000000000,0.000000000000000,3838.000000000000000,62831.853071795863798,314159265.358979284763336
61,2,61,60,Sudeste,NA,Praia do Fora,-22.944794000000002,-43.155304000000001,10000.000000000000000,61,3303302,Niterói,RJ,133.757000000000005,324246.000000000000000,397135.000000000000000,436155.000000000000000,459451.000000000000000,487562.000000000000000,0.000000000000000,0.000000000000000,28111.000000000000000,62831.853071795863798,314159265.358979284763336
62,2,62,61,Sudeste,NA,Laje do Pao de Acucar,-22.938409000000000,-43.151797000000002,10000.000000000000000,62,3303302,Niterói,RJ,133.757000000000005,324246.000000000000000,397135.000000000000000,436155.000000000000000,459451.000000000000000,487562.000000000000000,0.000000000000000,0.000000000000000,28111.000000000000000,62831.853071795863798,314159265.358979284763336
63,1,63,62,Sudeste,NA,Canal,-22.937418999999998,-42.487813000000003,10000.000000000000000,63,3305505,Saquarema,RJ,352.129999999999995,24378.000000000000000,28200.000000000000000,37888.000000000000000,52461.000000000000000,74234.000000000000000,0.000000000000000,0.000000000000000,21773.000000000000000,62831.853071795863798,314159265.358979284763336
64,3,64,63,Sudeste,NA,Praia Seca,-22.936126000000002,-42.361598000000001,10000.000000000000000,64,3300209,Araruama,RJ,638.275999999999954,40031.000000000000000,49827.000000000000000,59024.000000000000000,82803.000000000000000,112008.000000000000000,0.000000000000000,0.000000000000000,29205.000000000000000,62831.853071795863798,314159265.358979284763336
65,3,65,64,Sudeste,NA,Caravelas,-22.814850000000000,-41.953901999999999,10000.000000000000000,65,3300233,Armação dos Búzios,RJ,70.977000000000004,0.000000000000000,0.000000000000000,0.000000000000000,18204.000000000000000,27560.000000000000000,0.000000000000000,0.000000000000000,9356.000000000000000,62831.853071795863798,314159265.358979284763336
66,2,66,65,Sudeste,NA,Tucuns,-22.799863999999999,-41.929282000000001,10000.000000000000000,66,3300233,Armação dos Búzios,RJ,70.977000000000004,0.000000000000000,0.000000000000000,0.000000000000000,18204.000000000000000,27560.000000000000000,0.000000000000000,0.000000000000000,9356.000000000000000,62831.853071795863798,314159265.358979284763336
67,1,67,66,Sudeste,NA,Praia Brava,-22.754252000000001,-41.872608999999997,10000.000000000000000,67,3300233,Armação dos Búzios,RJ,70.977000000000004,0.000000000000000,0.000000000000000,0.000000000000000,18204.000000000000000,27560.000000000000000,0.000000000000000,0.000000000000000,9356.000000000000000,62831.853071795863798,314159265.358979284763336
68,2,68,67,Sudeste,NA,Marataizes,-21.044882999999999,-40.827455999999998,10000.000000000000000,68,3202801,Itapemirim,ES,550.710000000000036,28558.000000000000000,35113.000000000000000,44492.000000000000000,28121.000000000000000,30988.000000000000000,0.000000000000000,0.000000000000000,2867.000000000000000,62831.853071795863798,314159265.358979284763336
69,2,69,68,Sudeste,NA,Ponta do Ubu,-20.793246000000000,-40.579551000000002,10000.000000000000000,69,3200409,Anchieta,ES,409.690999999999974,11361.000000000000000,11413.000000000000000,14934.000000000000000,19217.000000000000000,23902.000000000000000,0.000000000000000,0.000000000000000,4685.000000000000000,62831.853071795863798,314159265.358979284763336
70,2,70,69,Sudeste,NA,Ponta dos Castelhanos,-20.755085000000001,-40.560755000000000,10000.000000000000000,70,3200409,Anchieta,ES,409.690999999999974,11361.000000000000000,11413.000000000000000,14934.000000000000000,19217.000000000000000,23902.000000000000000,0.000000000000000,0.000000000000000,4685.000000000000000,62831.853071795863798,314159265.358979284763336
71,2,71,70,Sudeste,NA,Maimba,-20.707021999999998,-40.514367999999997,10000.000000000000000,71,3200409,Anchieta,ES,409.690999999999974,11361.000000000000000,11413.000000000000000,14934.000000000000000,19217.000000000000000,23902.000000000000000,0.000000000000000,0.000000000000000,4685.000000000000000,62831.853071795863798,314159265.358979284763336
72,1,72,71,Sudeste,NA,Praia do Morro,-20.659787999999999,-40.493842999999998,10000.000000000000000,72,3202405,Guarapari,ES,589.825000000000045,24105.000000000000000,38500.000000000000000,61719.000000000000000,88400.000000000000000,105286.000000000000000,0.000000000000000,0.000000000000000,16886.000000000000000,62831.853071795863798,314159265.358979284763336
73,1,73,72,Sudeste,NA,Ponta de Bororo,-20.614518000000000,-40.415382000000001,10000.000000000000000,73,3202405,Guarapari,ES,589.825000000000045,24105.000000000000000,38500.000000000000000,61719.000000000000000,88400.000000000000000,105286.000000000000000,0.000000000000000,0.000000000000000,16886.000000000000000,62831.853071795863798,314159265.358979284763336
74,2,74,73,Sudeste,NA,Tropical,-20.559543999999999,-40.391810000000000,10000.000000000000000,74,3202405,Guarapari,ES,589.825000000000045,24105.000000000000000,38500.000000000000000,61719.000000000000000,88400.000000000000000,105286.000000000000000,0.000000000000000,0.000000000000000,16886.000000000000000,62831.853071795863798,314159265.358979284763336
75,2,75,74,Sudeste,NA,Dunas de Ule,-20.542100000000001,-40.379860999999998,10000.000000000000000,75,3202405,Guarapari,ES,589.825000000000045,24105.000000000000000,38500.000000000000000,61719.000000000000000,88400.000000000000000,105286.000000000000000,0.000000000000000,0.000000000000000,16886.000000000000000,62831.853071795863798,314159265.358979284763336
76,2,76,75,Sudeste,NA,Guarapari - Ule,-20.541319000000001,-40.378385999999999,10000.000000000000000,76,3202405,Guarapari,ES,589.825000000000045,24105.000000000000000,38500.000000000000000,61719.000000000000000,88400.000000000000000,105286.000000000000000,0.000000000000000,0.000000000000000,16886.000000000000000,62831.853071795863798,314159265.358979284763336
77,2,77,76,Sudeste,NA,Ponta da Fruta,-20.516836999999999,-40.358133000000002,10000.000000000000000,77,3202405,Guarapari,ES,589.825000000000045,24105.000000000000000,38500.000000000000000,61719.000000000000000,88400.000000000000000,105286.000000000000000,0.000000000000000,0.000000000000000,16886.000000000000000,62831.853071795863798,314159265.358979284763336
78,4,78,77,Sudeste,NA,Coral Dois,-20.448948000000001,-40.330300000000001,10000.000000000000000,78,3201308,Cariacica,ES,279.718000000000018,101422.000000000000000,189099.000000000000000,274532.000000000000000,324285.000000000000000,348738.000000000000000,0.000000000000000,0.000000000000000,24453.000000000000000,62831.853071795863798,314159265.358979284763336
79,3,79,78,Sudeste,NA,Ponta da Belina,-20.445827000000001,-40.329245000000000,10000.000000000000000,79,3201308,Cariacica,ES,279.718000000000018,101422.000000000000000,189099.000000000000000,274532.000000000000000,324285.000000000000000,348738.000000000000000,0.000000000000000,0.000000000000000,24453.000000000000000,62831.853071795863798,314159265.358979284763336
80,3,80,79,Sudeste,NA,Coral Um,-20.437659000000000,-40.326006999999997,10000.000000000000000,80,3201308,Cariacica,ES,279.718000000000018,101422.000000000000000,189099.000000000000000,274532.000000000000000,324285.000000000000000,348738.000000000000000,0.000000000000000,0.000000000000000,24453.000000000000000,62831.853071795863798,314159265.358979284763336
