OBJECTID,Name,Lat,Lon,Zone,Surf_Spot,Surfline_n,Quality__0,Frequency_,Direction,Type,Experience,Latitude,Longitude,BUFF_DIST,ORIG_FID,Shape_Leng,Shape_Area,SUM_Area_S,ramsar_per
1,Cardoso,-28.585450000000002,-48.798270000000002, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,0,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
2,Ravena,-28.454780000000000,-48.751339999999999, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,1,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
3,Praia da Vila Imbituba,-28.252472220000001,-48.661850000000001, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,2,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
4,Praia do Porto Imbituba,-28.220199000000001,-48.663214000000004, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,3,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
5,Ponta da Pinheira,-27.878140999999999,-48.576442000000000, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,4,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
6,Mocambique,-27.518350000000002,-48.392183330000002, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,5,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
7,Ponta das Canas,-27.394818999999998,-48.435709000000003, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,6,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
8,Itagua&ccedil;u,-26.184728000000000,-48.526327999999999, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,7,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
9,Ilha Comprida,-24.783999999999999,-47.594999999999999, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,8,62831.853071795863798,314159265.358979284763336,24.656471576991301,0.078483986613660
10,Iguape,-24.753211000000000,-47.542059000000002, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,9,62831.853071795863798,314159265.358979284763336,34.044555379171101,0.108367185479217
11,Peruibe,-24.324427000000000,-46.978886000000003, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,10,62831.853071795863798,314159265.358979284763336,39.175067079668203,0.124698111433716
12,Praia dos Pescadores,-24.194862000000001,-46.798881999999999, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,11,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
13,Itanhaem,-24.151427000000002,-46.707858000000002, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,12,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
14,Praia Grande,-24.028497000000002,-46.438310000000001, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,13,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
15,Praia do Forte dos Andradas,-24.028369000000001,-46.288159000000000, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,14,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
16,Praia do Forte dos Andradas,-24.025659999999998,-46.285460000000000, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,15,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
17,Praia da Ponta Grossa,-24.024816000000001,-46.314497000000003, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,16,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
18,Itaipu,-24.019545000000001,-46.386795999999997, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,17,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
19,Guaiuba,-24.017081999999998,-46.295202000000003, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,18,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
20,Santos,-24.015000000000001,-46.353999999999999, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,19,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
21,Morro do Maluf,-23.997560000000000,-46.251593999999997, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,20,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
22,Praia da Enseada,-23.990651000000000,-46.209406000000001, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,21,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
23,Embare,-23.980865999999999,-46.317684000000000, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,22,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
24,Gonzaga,-23.974027000000000,-46.330098000000000, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,23,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
