OID_,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,BUFF_DIST,ORIG_FID,Shape_Length,Shape_Area,sum_Area_SQUAREKILOMETERS,Polygon_Count,protected_percent_area
31,39,Sudeste,NA,Praia Dura,-23.496058000000001,-45.171014000000000,NA,NA,NA,NA,NA,10000.000000000000000,31,62831.853071795863798,314159265.358979284763336,192.168552312763495,2,0.611691500147795
32,40,Sudeste,NA,Pereque-Acu,-23.424565000000001,-45.062697000000000,NA,NA,NA,NA,NA,10000.000000000000000,32,62831.853071795863798,314159265.358979284763336,186.921492343413092,2,0.594989589531362
33,41,Sudeste,NA,Itamambuca,-23.406683000000001,-45.008741000000001,NA,NA,NA,NA,NA,10000.000000000000000,33,62831.853071795863798,314159265.358979284763336,216.840370957820312,2,0.690224337996347
34,42,Sudeste,NA,Praia da Fazenda,-23.361352000000000,-44.859766000000000,NA,NA,NA,NA,NA,10000.000000000000000,34,62831.853071795863798,314159265.358979284763336,301.757586533166432,4,0.960524230244675
35,43,Sudeste,NA,Aventureiro,-23.184405999999999,-44.315804000000000,NA,NA,NA,NA,NA,10000.000000000000000,35,62831.853071795863798,314159265.358979284763336,179.542528607499605,4,0.571501618462034
36,44,Sudeste,NA,Praia do Leste,-23.179746000000002,-44.274093999999998,NA,NA,NA,NA,NA,10000.000000000000000,36,62831.853071795863798,314159265.358979284763336,261.505100002135009,4,0.832396586181605
37,45,Sudeste,NA,Praia do Sul,-23.178656000000000,-44.296756999999999,NA,NA,NA,NA,NA,10000.000000000000000,37,62831.853071795863798,314159265.358979284763336,219.740384107478150,5,0.699455366552338
38,46,Sudeste,NA,Praia do Meio,-23.066913000000000,-43.549809000000003,NA,NA,NA,NA,NA,10000.000000000000000,38,62831.853071795863798,314159265.358979284763336,111.040670023750607,10,0.353453430370321
39,47,Sudeste,NA,Restinga a Marambaia,-23.061833000000000,-43.591673000000000,NA,NA,NA,NA,NA,10000.000000000000000,39,62831.853071795863798,314159265.358979284763336,126.352555316989765,10,0.402192675019822
40,48,Sudeste,NA,Grumari,-23.050469000000000,-43.533907999999997,NA,NA,NA,NA,NA,10000.000000000000000,40,62831.853071795863798,314159265.358979284763336,119.006928495943541,10,0.378810818646265
41,49,Sudeste,NA,Reserva,-23.022717000000000,-43.440916000000001,NA,NA,NA,NA,NA,10000.000000000000000,41,62831.853071795863798,314159265.358979284763336,72.049066779346106,14,0.229339302461820
42,50,Sudeste,NA,Barra da Tijuca,-23.020340120000000,-43.372478489999999,NA,NA,NA,NA,NA,10000.000000000000000,42,62831.853071795863798,314159265.358979284763336,26.491733274125583,10,0.084325806032983
43,51,Sudeste,NA,Barra da Tijuca,-23.014886109999999,-43.372222219999998,NA,NA,NA,NA,NA,10000.000000000000000,43,62831.853071795863798,314159265.358979284763336,29.296194076659887,10,0.093252682021599
44,52,Sudeste,NA,Sao Conrado,-23.000617999999999,-43.264187000000000,NA,NA,NA,NA,NA,10000.000000000000000,44,62831.853071795863798,314159265.358979284763336,45.268376442725781,21,0.144093717532091
45,53,Sudeste,NA,Bambui,-22.975255000000001,-42.916570000000000,NA,NA,NA,NA,NA,10000.000000000000000,45,62831.853071795863798,314159265.358979284763336,30.494119609238520,6,0.097065797420916
46,54,Sudeste,NA,Itaipuacu,-22.971149000000000,-43.011260000000000,NA,NA,NA,NA,NA,10000.000000000000000,46,62831.853071795863798,314159265.358979284763336,80.462958419417106,7,0.256121551364958
47,55,Sudeste,NA,Barra de Marica,-22.962100000000000,-42.809486999999997,NA,NA,NA,NA,NA,10000.000000000000000,47,62831.853071795863798,314159265.358979284763336,18.860075793592692,3,0.060033485792762
48,56,Sudeste,NA,Camboinhas,-22.961998000000001,-43.059922999999998,NA,NA,NA,NA,NA,10000.000000000000000,48,62831.853071795863798,314159265.358979284763336,78.560073709805494,8,0.250064481211584
49,57,Sudeste,NA,Pirantininga,-22.955044999999998,-43.088653999999998,NA,NA,NA,NA,NA,10000.000000000000000,49,62831.853071795863798,314159265.358979284763336,75.409823448006406,12,0.240036923188747
50,58,Sudeste,NA,Jacone,-22.946556000000001,-42.679789000000000,NA,NA,NA,NA,NA,10000.000000000000000,50,62831.853071795863798,314159265.358979284763336,43.055986132059132,3,0.137051460452266
51,59,Sudeste,NA,Figueira,-22.944991999999999,-42.188828000000001,NA,NA,NA,NA,NA,10000.000000000000000,51,62831.853071795863798,314159265.358979284763336,175.293278306224977,3,0.557975834664381
52,60,Sudeste,NA,Praia do Fora,-22.944794000000002,-43.155304000000001,NA,NA,NA,NA,NA,10000.000000000000000,52,62831.853071795863798,314159265.358979284763336,46.506022689178224,21,0.148033267890531
53,61,Sudeste,NA,Laje do Pao de Acucar,-22.938409000000000,-43.151797000000002,NA,NA,NA,NA,NA,10000.000000000000000,53,62831.853071795863798,314159265.358979284763336,45.699669355171253,19,0.145466565510815
54,62,Sudeste,NA,Canal,-22.937418999999998,-42.487813000000003,NA,NA,NA,NA,NA,10000.000000000000000,54,62831.853071795863798,314159265.358979284763336,44.076457965794106,2,0.140299723184766
55,63,Sudeste,NA,Praia Seca,-22.936126000000002,-42.361598000000001,NA,NA,NA,NA,NA,10000.000000000000000,55,62831.853071795863798,314159265.358979284763336,105.784722393147291,3,0.336723229449466
56,64,Sudeste,NA,Caravelas,-22.814850000000000,-41.953901999999999,NA,NA,NA,NA,NA,10000.000000000000000,56,62831.853071795863798,314159265.358979284763336,120.352476115421538,3,0.383093829742374
57,65,Sudeste,NA,Tucuns,-22.799863999999999,-41.929282000000001,NA,NA,NA,NA,NA,10000.000000000000000,57,62831.853071795863798,314159265.358979284763336,100.002247130882651,3,0.318317039023547
58,66,Sudeste,NA,Praia Brava,-22.754252000000001,-41.872608999999997,NA,NA,NA,NA,NA,10000.000000000000000,58,62831.853071795863798,314159265.358979284763336,23.305120771942825,3,0.074182503404166
59,67,Sudeste,NA,Marataizes,-21.044882999999999,-40.827455999999998,NA,NA,NA,NA,NA,10000.000000000000000,59,62831.853071795863798,314159265.358979284763336,12.877121434703191,2,0.040989150582552
60,68,Sudeste,NA,Ponta do Ubu,-20.793246000000000,-40.579551000000002,NA,NA,NA,NA,NA,10000.000000000000000,60,62831.853071795863798,314159265.358979284763336,31.252960691987560,3,0.099481263607731
61,69,Sudeste,NA,Ponta dos Castelhanos,-20.755085000000001,-40.560755000000000,NA,NA,NA,NA,NA,10000.000000000000000,61,62831.853071795863798,314159265.358979284763336,22.801022012774919,4,0.072577907217605
62,70,Sudeste,NA,Maimba,-20.707021999999998,-40.514367999999997,NA,NA,NA,NA,NA,10000.000000000000000,62,62831.853071795863798,314159265.358979284763336,12.955340117502304,3,0.041238128382745
63,71,Sudeste,NA,Praia do Morro,-20.659787999999999,-40.493842999999998,NA,NA,NA,NA,NA,10000.000000000000000,63,62831.853071795863798,314159265.358979284763336,35.769972597294448,4,0.113859359062421
64,72,Sudeste,NA,Ponta de Bororo,-20.614518000000000,-40.415382000000001,NA,NA,NA,NA,NA,10000.000000000000000,64,62831.853071795863798,314159265.358979284763336,106.642253798457233,3,0.339452836689698
65,73,Sudeste,NA,Tropical,-20.559543999999999,-40.391810000000000,NA,NA,NA,NA,NA,10000.000000000000000,65,62831.853071795863798,314159265.358979284763336,130.484828563300482,3,0.415346109286955
66,74,Sudeste,NA,Dunas de Ule,-20.542100000000001,-40.379860999999998,NA,NA,NA,NA,NA,10000.000000000000000,66,62831.853071795863798,314159265.358979284763336,120.905923071487607,3,0.384855506118315
67,75,Sudeste,NA,Guarapari - Ule,-20.541319000000001,-40.378385999999999,NA,NA,NA,NA,NA,10000.000000000000000,67,62831.853071795863798,314159265.358979284763336,120.157755475715788,3,0.382474014695750
68,76,Sudeste,NA,Ponta da Fruta,-20.516836999999999,-40.358133000000002,NA,NA,NA,NA,NA,10000.000000000000000,68,62831.853071795863798,314159265.358979284763336,92.122661421495422,3,0.293235538720241
69,77,Sudeste,NA,Coral Dois,-20.448948000000001,-40.330300000000001,NA,NA,NA,NA,NA,10000.000000000000000,69,62831.853071795863798,314159265.358979284763336,29.212854334387142,3,0.092987403382824
70,78,Sudeste,NA,Ponta da Belina,-20.445827000000001,-40.329245000000000,NA,NA,NA,NA,NA,10000.000000000000000,70,62831.853071795863798,314159265.358979284763336,27.727332557184859,2,0.088258840704576
71,79,Sudeste,NA,Coral Um,-20.437659000000000,-40.326006999999997,NA,NA,NA,NA,NA,10000.000000000000000,71,62831.853071795863798,314159265.358979284763336,24.365415746229058,2,0.077557527130029
72,80,Sudeste,NA,"Barrao, Brazil",-20.427381000000000,-40.320982000000001,NA,NA,NA,NA,NA,10000.000000000000000,72,62831.853071795863798,314159265.358979284763336,18.846724077447462,2,0.059990985960296
73,81,Sudeste,NA,Barrinha,-20.422540999999999,-40.321933999999999,NA,NA,NA,NA,NA,10000.000000000000000,73,62831.853071795863798,314159265.358979284763336,17.303105681348661,2,0.055077496000562
74,82,Sudeste,NA,Praia de Camburi,-20.279677000000000,-40.248994000000003,NA,NA,NA,NA,NA,10000.000000000000000,74,62831.853071795863798,314159265.358979284763336,45.634472375611622,15,0.145259037079383
75,83,Sudeste,NA,Velzyland,-20.244838999999999,-40.216205000000002,NA,NA,NA,NA,NA,10000.000000000000000,75,62831.853071795863798,314159265.358979284763336,31.359440671613214,7,0.099820199909685
76,84,Sudeste,NA,Ponta da Cacao,-20.219573000000000,-40.196268000000003,NA,NA,NA,NA,NA,10000.000000000000000,76,62831.853071795863798,314159265.358979284763336,19.517904970926097,6,0.062127421098415
77,85,Sudeste,NA,"Manguinhos, Brazil",-20.199344000000000,-40.190266999999999,NA,NA,NA,NA,NA,10000.000000000000000,77,62831.853071795863798,314159265.358979284763336,17.853299038060790,3,0.056828815848103
78,86,Sudeste,NA,Praia da Baleia,-20.171105000000001,-40.184866000000000,NA,NA,NA,NA,NA,10000.000000000000000,78,62831.853071795863798,314159265.358979284763336,28.903627519934489,4,0.092003103861690
79,87,Sudeste,NA,Jacaraipe - Solemar,-20.109774999999999,-40.171481000000000,NA,NA,NA,NA,NA,10000.000000000000000,79,62831.853071795863798,314159265.358979284763336,89.775486926417145,2,0.285764250256422
80,88,Sudeste,NA,Xa,-20.107229000000000,-40.171174999999998,NA,NA,NA,NA,NA,10000.000000000000000,80,62831.853071795863798,314159265.358979284763336,91.844160468290767,2,0.292349042653075
81,89,Sudeste,NA,Nova Almeida,-20.058461999999999,-40.183000999999997,NA,NA,NA,NA,NA,10000.000000000000000,81,62831.853071795863798,314159265.358979284763336,95.009780969846190,2,0.302425525668587
82,90,Sudeste,NA,Praia Grande,-20.047100000000000,-40.182743000000002,NA,NA,NA,NA,NA,10000.000000000000000,82,62831.853071795863798,314159265.358979284763336,97.363922830935408,2,0.309918991947225
83,91,Sudeste,NA,Regencia,-19.562811000000000,-39.764263999999997,NA,NA,NA,NA,NA,10000.000000000000000,83,62831.853071795863798,314159265.358979284763336,0.000000000000000,0,0.000000000000000
84,92,Sudeste,NA,Guriri,-18.910750000000000,-39.738563999999997,NA,NA,NA,NA,NA,10000.000000000000000,84,62831.853071795863798,314159265.358979284763336,0.000000000000000,0,0.000000000000000
85,329,Sudeste,Sao Paolo South,"Guarau, Peruibe SP",-24.369537000000001,-47.011699999999998,3,4,Right and left,Beach-break,All surfers,10000.000000000000000,85,62831.853071795863798,314159265.358979284763336,276.421251486486824,8,0.879876170994447
86,330,Sudeste,Sao Paolo South,Pier de Mongaguá,-24.095718000000002,-46.618552000000001,3.5,4,Right and left,Beach-break,All surfers,10000.000000000000000,86,62831.853071795863798,314159265.358979284763336,178.910375893154793,2,0.569489413876494
87,332,Sudeste,Sao Paolo South,Tombo,-24.014990000000001,-46.272697000000001,3.5,4,Right and left,Beach-break,All surfers,10000.000000000000000,87,62831.853071795863798,314159265.358979284763336,118.979360204806000,1,0.378723066050121
