OID_,Join_Count,TARGET_FID,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,BUFF_DIST,ORIG_FID,ogc_fid,idi_tuaria,idseq,cdi_tuaria,nome,tipo,cdbigrama,cdtrigrama,cdterminal,situacao,gestao,modalidade,companhia,cnpj,legislacao,pro_didade,endereco,com_emento,numero,bairro,cep,idcidade,cidade,idestado,estado,idr_rafica,reg_rafica,loc_izacao,latitude,longitude,observacao,fonte,cdc_troide,Shape_Length,Shape_Area
13,8,13,21,Sudeste,NA,Morro do Maluf,-23.997560000000000,-46.251593999999997,NA,NA,NA,NA,NA,10000.000000000000000,13,57,121.000000000000000,0.000000000000000,BRSP004,Sucoc0trico Cutrale,Terminal for private use,BR,BRS,BRSP004,In operation,Privada,Terminal de uso privado,SUCOCITRICO CUTRALE LTDA,61649810001806,CA 042/2014-ANTAQ,0.000000000000000,VIA SANTOS DUMONT,MARGEM ESQUERDA DO PORTO DE SANTOS,4364.000000000000000,CONCEI EOZINHA,11460006,3518701, , , ,0.000000000000000, , ,-23.9797,-46.2864,"Atualizado pela GAP em 05/11/2020, por Maria Luiza Tanizaki
Atu",Antaq, ,62831.853071795863798,314159265.358979284763336
14,7,14,22,Sudeste,NA,Praia da Enseada,-23.990651000000000,-46.209406000000001,NA,NA,NA,NA,NA,10000.000000000000000,14,57,121.000000000000000,0.000000000000000,BRSP004,Sucoc0trico Cutrale,Terminal for private use,BR,BRS,BRSP004,In operation,Privada,Terminal de uso privado,SUCOCITRICO CUTRALE LTDA,61649810001806,CA 042/2014-ANTAQ,0.000000000000000,VIA SANTOS DUMONT,MARGEM ESQUERDA DO PORTO DE SANTOS,4364.000000000000000,CONCEI EOZINHA,11460006,3518701, , , ,0.000000000000000, , ,-23.9797,-46.2864,"Atualizado pela GAP em 05/11/2020, por Maria Luiza Tanizaki
Atu",Antaq, ,62831.853071795863798,314159265.358979284763336
15,9,15,23,Sudeste,NA,Embare,-23.980865999999999,-46.317684000000000,NA,NA,NA,NA,NA,10000.000000000000000,15,57,121.000000000000000,0.000000000000000,BRSP004,Sucoc0trico Cutrale,Terminal for private use,BR,BRS,BRSP004,In operation,Privada,Terminal de uso privado,SUCOCITRICO CUTRALE LTDA,61649810001806,CA 042/2014-ANTAQ,0.000000000000000,VIA SANTOS DUMONT,MARGEM ESQUERDA DO PORTO DE SANTOS,4364.000000000000000,CONCEI EOZINHA,11460006,3518701, , , ,0.000000000000000, , ,-23.9797,-46.2864,"Atualizado pela GAP em 05/11/2020, por Maria Luiza Tanizaki
Atu",Antaq, ,62831.853071795863798,314159265.358979284763336
16,11,16,24,Sudeste,NA,Gonzaga,-23.974027000000000,-46.330098000000000,NA,NA,NA,NA,NA,10000.000000000000000,16,57,121.000000000000000,0.000000000000000,BRSP004,Sucoc0trico Cutrale,Terminal for private use,BR,BRS,BRSP004,In operation,Privada,Terminal de uso privado,SUCOCITRICO CUTRALE LTDA,61649810001806,CA 042/2014-ANTAQ,0.000000000000000,VIA SANTOS DUMONT,MARGEM ESQUERDA DO PORTO DE SANTOS,4364.000000000000000,CONCEI EOZINHA,11460006,3518701, , , ,0.000000000000000, , ,-23.9797,-46.2864,"Atualizado pela GAP em 05/11/2020, por Maria Luiza Tanizaki
Atu",Antaq, ,62831.853071795863798,314159265.358979284763336
17,0,17,25,Sudeste,NA,Pereque,-23.927582999999998,-46.178826000000001,NA,NA,NA,NA,NA,10000.000000000000000,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
18,0,18,26,Sudeste,NA,Praia Preta,-23.874700000000001,-46.138959000000000,NA,NA,NA,NA,NA,10000.000000000000000,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
19,0,19,27,Sudeste,NA,Praia da Bertioga,-23.846986000000001,-46.126967999999998,NA,NA,NA,NA,NA,10000.000000000000000,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
20,0,20,28,Sudeste,NA,Maresias,-23.793693260000001,-45.559764340000001,NA,NA,NA,NA,NA,10000.000000000000000,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
21,0,21,29,Sudeste,NA,Canto de Moreira,-23.793056000000000,-45.587394000000003,NA,NA,NA,NA,NA,10000.000000000000000,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
22,0,22,30,Sudeste,NA,Itaguere,-23.786995000000001,-45.971372000000002,NA,NA,NA,NA,NA,10000.000000000000000,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
