OBJECTID,id,COUNT,AREA,MEAN
1,93,196.000000000000000,312542290.652487516403198,1570.153935646524133
2,94,201.000000000000000,320515308.271173417568207,1579.136225610230213
3,95,200.000000000000000,318920704.747436225414276,1573.246082153320231
4,96,196.000000000000000,312542290.652487516403198,1577.131609235491169
5,97,201.000000000000000,320515308.271173417568207,1580.436160263137481
6,98,176.000000000000000,280650220.177743911743164,1503.199315851384881
7,99,83.000000000000000,132352092.470186039805412,1387.530698477503847
8,100,128.000000000000000,204109251.038359194993973,1732.399218559265137
9,101,142.000000000000000,226433700.370679736137390,1778.700609663842442
10,102,195.000000000000000,310947687.128750324249268,1555.225903007311672
11,103,193.000000000000000,307758480.081275999546051,1542.961450448307914
12,104,195.000000000000000,310947687.128750324249268,1500.269072077824603
13,105,196.000000000000000,312542290.652487516403198,1483.075504536531298
14,106,193.000000000000000,307758480.081275999546051,1486.885307667786492
15,107,195.000000000000000,310947687.128750324249268,1525.767112066806931
16,108,198.000000000000000,315731497.699961900711060,1558.388760036892336
17,109,196.000000000000000,312542290.652487516403198,1571.365330598792298
18,110,196.000000000000000,312542290.652487516403198,1577.334990832270478
19,111,190.000000000000000,302974669.510064423084259,1598.037629780016459
20,112,187.000000000000000,298190858.938852906227112,1597.304235121782995
21,113,192.000000000000000,306163876.557538807392120,1619.944151560465571
22,114,191.000000000000000,304569273.033801615238190,1637.839724236133861
23,115,188.000000000000000,299785462.462590038776398,1649.215469685006610
24,116,192.000000000000000,306163876.557538807392120,1650.481209754943848
25,117,185.000000000000000,295001651.891378521919250,1761.505841889252451
26,118,187.000000000000000,298190858.938852906227112,1786.950259937959572
27,119,177.000000000000000,282244823.701481103897095,1851.835574047713635
28,120,191.000000000000000,304569273.033801615238190,1862.903202715968519
29,121,179.000000000000000,285434030.748955428600311,1895.972759907471982
30,122,169.000000000000000,269487995.511583626270294,1691.485724274223458
31,123,178.000000000000000,283839427.225218236446381,2144.732183220681236
32,124,108.000000000000000,172217180.563615560531616,2016.103506582754562
33,125,163.000000000000000,259920374.369160532951355,1701.805777146041009
34,126,196.000000000000000,312542290.652487516403198,1722.862936214524780
35,127,200.000000000000000,318920704.747436225414276,2392.336707153320276
36,128,168.000000000000000,267893391.987846434116364,2408.576373872302611
37,129,196.000000000000000,312542290.652487516403198,2396.928996183434265
38,130,191.000000000000000,304569273.033801615238190,2344.317487626799903
39,131,181.000000000000000,288623237.796429812908173,2013.619156811118728
40,132,196.000000000000000,312542290.652487516403198,1825.184916593590515
41,133,195.000000000000000,310947687.128750324249268,1866.722879106570417
42,134,194.000000000000000,309353083.605013132095337,1433.245910015302798
43,135,197.000000000000000,314136894.176224708557129,1394.609010028354987
44,136,200.000000000000000,318920704.747436225414276,1394.396242065429760
45,137,193.000000000000000,307758480.081275999546051,1655.998526301408674
46,138,196.000000000000000,312542290.652487516403198,2063.224278664102258
47,139,187.000000000000000,298190858.938852906227112,2319.605692001587613
48,140,185.000000000000000,295001651.891378521919250,2274.330992662584322
49,141,197.000000000000000,314136894.176224708557129,2163.820567174611369
50,142,196.000000000000000,312542290.652487516403198,2197.533821573062596
51,143,195.000000000000000,310947687.128750324249268,2198.564662835536637
52,144,198.000000000000000,315731497.699961900711060,2198.695314349550245
53,145,199.000000000000000,317326101.223699033260345,2210.947182200062798
54,146,198.000000000000000,315731497.699961900711060,2214.160881273674022
55,147,198.000000000000000,315731497.699961900711060,2113.076310591264246
56,148,198.000000000000000,315731497.699961900711060,2015.471159347380080
57,149,196.000000000000000,312542290.652487516403198,1893.345923598931677
58,150,198.000000000000000,315731497.699961900711060,2437.942804509943016
59,151,197.000000000000000,314136894.176224708557129,2430.281749434882840
60,152,194.000000000000000,309353083.605013132095337,2369.898933331990975
61,153,170.000000000000000,271082599.035320818424225,2660.599337948069660
62,154,170.000000000000000,271082599.035320818424225,2680.753825827205674
63,155,201.000000000000000,320515308.271173417568207,2524.277914626088204
64,156,183.000000000000000,291812444.843904137611389,2239.271318946379779
65,157,183.000000000000000,291812444.843904137611389,3108.310562884221326
66,158,178.000000000000000,283839427.225218236446381,3248.969773881890887
67,159,177.000000000000000,282244823.701481103897095,3231.123902746513068
68,160,175.000000000000000,279055616.654006719589233,3172.170521065848334
69,161,177.000000000000000,282244823.701481103897095,3100.365764725679583
70,162,166.000000000000000,264704184.940372079610825,3004.387279096856219
71,163,194.000000000000000,309353083.605013132095337,2362.951390846488266
72,164,199.000000000000000,317326101.223699033260345,2306.626058147181084
73,165,198.000000000000000,315731497.699961900711060,2320.503941391453736
74,166,199.000000000000000,317326101.223699033260345,2317.510247772063394
75,167,194.000000000000000,309353083.605013132095337,1730.006051289666630
76,168,159.000000000000000,253541960.274211823940277,1810.997105628439385
77,169,163.000000000000000,259920374.369160532951355,1869.113356888659837
78,170,158.000000000000000,251947356.750474631786346,1918.939487891861063
79,171,101.000000000000000,161054955.897455304861069,2050.960497563428362
80,172,58.000000000000000,92487004.376756504178047,2444.689528892780345
81,173,56.000000000000000,89297797.329282149672508,2444.785522460937500
82,174,44.000000000000000,70162555.044435977935791,2445.291670365767004
83,175,93.000000000000000,148298127.707557857036591,2253.443755775369482
84,176,99.000000000000000,157865748.849980950355530,2908.170905835700978
85,177,152.000000000000000,242379735.608051538467407,2669.312742534436893
86,178,155.000000000000000,247163546.179263085126877,2690.019304435483718
87,179,200.000000000000000,318920704.747436225414276,2540.483795471191570
88,180,129.000000000000000,205703854.562096387147903,2760.597550266472808
89,181,136.000000000000000,216866079.228256642818451,2732.849623736213289
90,182,162.000000000000000,258325770.845423370599747,2641.002109857252890
91,183,106.000000000000000,169027973.516141206026077,2779.755919258549511
92,184,118.000000000000000,188163215.800987392663956,2875.415030786546595
93,185,116.000000000000000,184974008.753513008356094,2884.649978111530345
94,186,137.000000000000000,218460682.751993834972382,2928.789916101163271
95,187,137.000000000000000,218460682.751993834972382,2920.179507513115823
96,188,149.000000000000000,237595925.036839991807938,2956.422663131816080
97,189,159.000000000000000,253541960.274211823940277,1753.230705980984567
98,190,122.000000000000000,194541629.895936101675034,1414.612557833311939
99,191,125.000000000000000,199325440.467147648334503,1468.584873046874918
100,192,139.000000000000000,221649889.799468189477921,1385.751754650966632
101,193,158.000000000000000,251947356.750474631786346,1347.263205226463697
102,194,194.000000000000000,309353083.605013132095337,1341.726419665149706
103,445,201.000000000000000,320515308.271173417568207,1684.733733675373060
104,446,105.000000000000000,167433369.992404013872147,1656.887476748511972
105,447,115.000000000000000,183379405.229775846004486,1691.033889903192858
106,448,114.000000000000000,181784801.706038653850555,1698.760160747327291
107,449,142.000000000000000,226433700.370679736137390,1742.070709228515625
108,450,140.000000000000000,223244493.323205381631851,1767.123686000279122
109,451,137.000000000000000,218460682.751993834972382,1760.860112768020144
110,452,146.000000000000000,232812114.465628445148468,1760.636267257063309
111,453,138.000000000000000,220055286.275730997323990,1720.708512900532241
112,454,201.000000000000000,320515308.271173417568207,1804.967116626340840
113,455,197.000000000000000,314136894.176224708557129,1836.835479271593385
114,456,194.000000000000000,309353083.605013132095337,1942.530333214199345
115,457,198.000000000000000,315731497.699961900711060,2007.612646854285003
116,458,200.000000000000000,318920704.747436225414276,1702.886271362304797
117,459,199.000000000000000,317326101.223699033260345,1686.481632711899238
118,460,196.000000000000000,312542290.652487516403198,1706.808210100446331
119,461,199.000000000000000,317326101.223699033260345,1529.683484868188543
120,462,194.000000000000000,309353083.605013132095337,1583.659460952601421
121,463,187.000000000000000,298190858.938852906227112,1714.565813849954111
122,464,183.000000000000000,291812444.843904137611389,1941.344270299692653
123,465,172.000000000000000,274271806.082795143127441,1972.329054721566081
124,466,161.000000000000000,256731167.321686178445816,1699.124040117915456
125,467,178.000000000000000,283839427.225218236446381,1906.219471449262528
126,468,196.000000000000000,312542290.652487516403198,2205.438853361168640
