OBJECTID,id,COUNT,AREA,MEAN
1,93,333095.000000000000000,314149709.474706470966339,0.270838649634489
2,94,333101.000000000000000,314155368.215476691722870,0.254523402811760
3,95,333113.000000000000000,314166685.697017073631287,0.246216749271268
4,96,333093.000000000000000,314147823.227783083915710,0.234054753477257
5,97,333104.000000000000000,314158197.585861802101135,0.225311013977617
6,98,333111.000000000000000,314164799.450093686580658,0.332681898826517
7,99,333095.000000000000000,314149709.474706470966339,0.369843438058212
8,100,333110.000000000000000,314163856.326631963253021,0.342367386148720
9,101,333089.000000000000000,314144050.733936309814453,0.288517483315270
10,102,333111.000000000000000,314164799.450093686580658,0.016312880691421
11,103,333096.000000000000000,314150652.598168194293976,0.017865720392920
12,104,333113.000000000000000,314166685.697017073631287,0.025072572970734
13,105,333100.000000000000000,314154425.092014968395233,0.030345241669168
14,106,333093.000000000000000,314147823.227783083915710,0.041676048430919
15,107,333095.000000000000000,314149709.474706470966339,0.057479097554752
16,108,333092.000000000000000,314146880.104321420192719,0.068821827002750
17,109,333105.000000000000000,314159140.709323465824127,0.072226475135468
18,110,333105.000000000000000,314159140.709323465824127,0.055204815298479
19,111,333097.000000000000000,314151595.721629917621613,0.057589831190314
20,112,333101.000000000000000,314155368.215476691722870,0.078126454138535
21,113,333105.000000000000000,314159140.709323465824127,0.058125816184086
22,114,333087.000000000000000,314142164.487012922763824,0.059164722730098
23,115,333104.000000000000000,314158197.585861802101135,0.059449901532254
24,116,333094.000000000000000,314148766.351244807243347,0.055470828054543
25,117,333108.000000000000000,314161970.079708576202393,0.069536006340286
26,118,333118.000000000000000,314171401.314325571060181,0.077600129683776
27,119,333100.000000000000000,314154425.092014968395233,0.089273491444011
28,120,333109.000000000000000,314162913.203170299530029,0.113437343332062
29,121,333101.000000000000000,314155368.215476691722870,0.152866547983945
30,122,333104.000000000000000,314158197.585861802101135,0.183690378980739
31,123,333096.000000000000000,314150652.598168194293976,0.152811802003026
32,124,333088.000000000000000,314143107.610474586486816,0.198584157940244
33,125,333104.000000000000000,314158197.585861802101135,0.144621499591719
34,126,333092.000000000000000,314146880.104321420192719,0.095126871855223
35,127,333105.000000000000000,314159140.709323465824127,0.140496239924348
36,128,333097.000000000000000,314151595.721629917621613,0.091919170692021
37,129,333110.000000000000000,314163856.326631963253021,0.094536339347363
38,130,333097.000000000000000,314151595.721629917621613,0.090042840373825
39,131,333114.000000000000000,314167628.820478796958923,0.057157609707187
40,132,333095.000000000000000,314149709.474706470966339,0.090343595670905
41,133,333089.000000000000000,314144050.733936309814453,0.028698035660139
42,134,333088.000000000000000,314143107.610474586486816,0.026278340858872
43,135,333086.000000000000000,314141221.363551199436188,0.028028797367647
44,136,333095.000000000000000,314149709.474706470966339,0.033344841561717
45,137,333112.000000000000000,314165742.573555409908295,0.087691226974711
46,138,333097.000000000000000,314151595.721629917621613,0.075368436221281
47,139,333095.000000000000000,314149709.474706470966339,0.075032648343566
48,140,333102.000000000000000,314156311.338938415050507,0.077783982083566
49,141,333105.000000000000000,314159140.709323465824127,0.101484516894072
50,142,333092.000000000000000,314146880.104321420192719,0.057785836945949
51,143,333086.000000000000000,314141221.363551199436188,0.061650744852681
52,144,333097.000000000000000,314151595.721629917621613,0.061966934556601
53,145,333097.000000000000000,314151595.721629917621613,0.048961713855123
54,146,333094.000000000000000,314148766.351244807243347,0.156241181168079
55,147,333104.000000000000000,314158197.585861802101135,0.202660430376099
56,148,333088.000000000000000,314143107.610474586486816,0.192537707752906
57,149,333106.000000000000000,314160083.832785189151764,0.116590514731047
58,150,333103.000000000000000,314157254.462400078773499,0.148959931312537
59,151,333094.000000000000000,314148766.351244807243347,0.110083039622449
60,152,333086.000000000000000,314141221.363551199436188,0.117654299490222
61,153,333085.000000000000000,314140278.240089476108551,0.103520122491256
62,154,333100.000000000000000,314154425.092014968395233,0.099135394776343
63,155,333112.000000000000000,314165742.573555409908295,0.184460481759889
64,156,333102.000000000000000,314156311.338938415050507,0.153979862024245
65,157,333102.000000000000000,314156311.338938415050507,0.112557114637558
66,158,333086.000000000000000,314141221.363551199436188,0.132659433299508
67,159,333102.000000000000000,314156311.338938415050507,0.140944815702097
68,160,333103.000000000000000,314157254.462400078773499,0.149254134607013
69,161,333103.000000000000000,314157254.462400078773499,0.157419777065953
