OBJECTID,Join_Count,TARGET_FID,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,BUFF_DIST,ORIG_FID,CD_MUN,NM_MUN,SIGLA,CNAE,Units,People,Shape_Leng,Shape_Area,F2010,SLR_employ,Shape_Le_1,Shape_Ar_1
1,2,1,0,Sul,NA,Cardoso,-28.585450000000002,-48.798270000000002,NA,NA,NA,NA,NA,10000.000000000000000,1,4208807,Jaguaruna,SC,"Sports, recreation and leisure activities",6.000000000000000,18.000000000000000,131659.269345947948750,422680551.955484628677368,17290.000000000000000,0.000520532099479,62831.853071795863798,314159265.358979284763336
2,2,2,1,Sul,NA,Ravena,-28.454780000000000,-48.751339999999999,NA,NA,NA,NA,NA,10000.000000000000000,2,4209409,Laguna,SC,"Sports, recreation and leisure activities",14.000000000000000,0.000000000000000,139945.681340133887716,430216876.739683747291565,51562.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
3,2,3,2,Sul,NA,Praia da Vila Imbituba,-28.252472220000001,-48.661850000000001,NA,NA,NA,NA,NA,10000.000000000000000,3,4207205,Imaruí,SC,"Sports, recreation and leisure activities",1.000000000000000,0.000000000000000,145571.381158472300740,696657379.177068114280701,11672.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
4,2,4,3,Sul,NA,Praia do Porto Imbituba,-28.220199000000001,-48.663214000000004,NA,NA,NA,NA,NA,10000.000000000000000,4,4207205,Imaruí,SC,"Sports, recreation and leisure activities",1.000000000000000,0.000000000000000,145571.381158472300740,696657379.177068114280701,11672.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
5,4,5,4,Sul,NA,Ponta da Pinheira,-27.878140999999999,-48.576442000000000,NA,NA,NA,NA,NA,10000.000000000000000,5,4205407,Florianópolis,SC,"Sports, recreation and leisure activities",487.000000000000000,2357.000000000000000,221966.202489499555668,856671372.116887092590332,421240.000000000000000,0.002143623040751,62831.853071795863798,314159265.358979284763336
6,1,6,5,Sul,NA,Mocambique,-27.518350000000002,-48.392183330000002,NA,NA,NA,NA,NA,10000.000000000000000,6,4205407,Florianópolis,SC,"Sports, recreation and leisure activities",487.000000000000000,2357.000000000000000,221966.202489499555668,856671372.116887092590332,421240.000000000000000,0.005595385053651,62831.853071795863798,314159265.358979284763336
7,1,7,6,Sul,NA,Ponta das Canas,-27.394818999999998,-48.435709000000003,NA,NA,NA,NA,NA,10000.000000000000000,7,4205407,Florianópolis,SC,"Sports, recreation and leisure activities",487.000000000000000,2357.000000000000000,221966.202489499555668,856671372.116887092590332,421240.000000000000000,0.005595385053651,62831.853071795863798,314159265.358979284763336
8,2,8,7,Sul,NA,Itagua&ccedil;u,-26.184728000000000,-48.526327999999999,NA,NA,NA,NA,NA,10000.000000000000000,8,4208450,Itapoá,SC,"Sports, recreation and leisure activities",10.000000000000000,0.000000000000000,100074.046140589096467,303432678.232376039028168,14763.000000000000000,0.000846660395108,62831.853071795863798,314159265.358979284763336
9,2,9,8,Sul,NA,Caioba,-25.838000000000001,-48.534999999999997,NA,NA,NA,NA,NA,10000.000000000000000,9,4109609,Guaratuba,PR,"Sports, recreation and leisure activities",20.000000000000000,44.000000000000000,231113.165979941288242,1633134364.686573028564453,32095.000000000000000,0.002197630310468,62831.853071795863798,314159265.358979284763336
10,2,10,9,Sudeste,NA,Ilha Comprida,-24.783999999999999,-47.594999999999999,NA,NA,NA,NA,NA,10000.000000000000000,10,3520301,Iguape,SP,"Sports, recreation and leisure activities",8.000000000000000,0.000000000000000,296110.762280972092412,2386008746.393126487731934,28841.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
11,2,11,10,Sudeste,NA,Iguape,-24.753211000000000,-47.542059000000002,NA,NA,NA,NA,NA,10000.000000000000000,11,3520301,Iguape,SP,"Sports, recreation and leisure activities",8.000000000000000,0.000000000000000,296110.762280972092412,2386008746.393126487731934,28841.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
12,2,12,11,Sudeste,NA,Peruibe,-24.324427000000000,-46.978886000000003,NA,NA,NA,NA,NA,10000.000000000000000,12,3523305,Itariri,SP,"Sports, recreation and leisure activities",1.000000000000000,0.000000000000000,104328.731159216156811,328649399.644323229789734,15471.000000000000000,0.000552088735717,62831.853071795863798,314159265.358979284763336
13,1,13,12,Sudeste,NA,Praia dos Pescadores,-24.194862000000001,-46.798881999999999,NA,NA,NA,NA,NA,10000.000000000000000,13,3522109,Itanhaém,SP,"Sports, recreation and leisure activities",24.000000000000000,97.000000000000000,174121.336961891793180,720348369.871413707733154,87057.000000000000000,0.001114212527425,62831.853071795863798,314159265.358979284763336
