OBJECTID,Join_Count,TARGET_FID,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,BUFF_DIST,ORIG_FID,osm_id,code,fclass,name_1,type_1,Shape_Leng,Shape_Area,Shape_Le_1,Shape_Ar_1
28,0,28,27,Sudeste,NA,Praia da Bertioga,-23.846986000000001,-46.126967999999998,NA,NA,NA,NA,NA,10000.000000000000000,28,,,,,,,,62831.853071795863798,314159265.358979284763336
29,0,29,28,Sudeste,NA,Maresias,-23.793693260000001,-45.559764340000001,NA,NA,NA,NA,NA,10000.000000000000000,29,,,,,,,,62831.853071795863798,314159265.358979284763336
30,0,30,29,Sudeste,NA,Canto de Moreira,-23.793056000000000,-45.587394000000003,NA,NA,NA,NA,NA,10000.000000000000000,30,,,,,,,,62831.853071795863798,314159265.358979284763336
31,0,31,30,Sudeste,NA,Itaguere,-23.786995000000001,-45.971372000000002,NA,NA,NA,NA,NA,10000.000000000000000,31,,,,,,,,62831.853071795863798,314159265.358979284763336
32,0,32,31,Sudeste,NA,Boicucanga,-23.784431000000001,-45.631354999999999,NA,NA,NA,NA,NA,10000.000000000000000,32,,,,,,,,62831.853071795863798,314159265.358979284763336
33,0,33,32,Sudeste,NA,Praia de Baleia,-23.775839000000001,-45.683985999999997,NA,NA,NA,NA,NA,10000.000000000000000,33,,,,,,,,62831.853071795863798,314159265.358979284763336
34,0,34,33,Sudeste,NA,Barra do Sahy,-23.774384999999999,-45.697569999999999,NA,NA,NA,NA,NA,10000.000000000000000,34,,,,,,,,62831.853071795863798,314159265.358979284763336
35,0,35,34,Sudeste,NA,Praia Preta,-23.773009999999999,-45.715814999999999,NA,NA,NA,NA,NA,10000.000000000000000,35,,,,,,,,62831.853071795863798,314159265.358979284763336
36,0,36,35,Sudeste,NA,Bananas Point,-23.771605000000001,-45.706209999999999,NA,NA,NA,NA,NA,10000.000000000000000,36,,,,,,,,62831.853071795863798,314159265.358979284763336
37,0,37,36,Sudeste,NA,Praia do Juquei,-23.768115000000002,-45.745452999999998,NA,NA,NA,NA,NA,10000.000000000000000,37,,,,,,,,62831.853071795863798,314159265.358979284763336
38,0,38,37,Sudeste,NA,Barra do Una,-23.763818000000001,-45.762779999999999,NA,NA,NA,NA,NA,10000.000000000000000,38,,,,,,,,62831.853071795863798,314159265.358979284763336
39,0,39,38,Sudeste,NA,Praia da Boracéia,-23.758372999999999,-45.828777000000002,NA,NA,NA,NA,NA,10000.000000000000000,39,,,,,,,,62831.853071795863798,314159265.358979284763336
40,0,40,39,Sudeste,NA,Praia Dura,-23.496058000000001,-45.171014000000000,NA,NA,NA,NA,NA,10000.000000000000000,40,,,,,,,,62831.853071795863798,314159265.358979284763336
41,0,41,40,Sudeste,NA,Pereque-Acu,-23.424565000000001,-45.062697000000000,NA,NA,NA,NA,NA,10000.000000000000000,41,,,,,,,,62831.853071795863798,314159265.358979284763336
42,0,42,41,Sudeste,NA,Itamambuca,-23.406683000000001,-45.008741000000001,NA,NA,NA,NA,NA,10000.000000000000000,42,,,,,,,,62831.853071795863798,314159265.358979284763336
43,0,43,42,Sudeste,NA,Praia da Fazenda,-23.361352000000000,-44.859766000000000,NA,NA,NA,NA,NA,10000.000000000000000,43,,,,,,,,62831.853071795863798,314159265.358979284763336
44,0,44,43,Sudeste,NA,Aventureiro,-23.184405999999999,-44.315804000000000,NA,NA,NA,NA,NA,10000.000000000000000,44,,,,,,,,62831.853071795863798,314159265.358979284763336
45,0,45,44,Sudeste,NA,Praia do Leste,-23.179746000000002,-44.274093999999998,NA,NA,NA,NA,NA,10000.000000000000000,45,,,,,,,,62831.853071795863798,314159265.358979284763336
46,0,46,45,Sudeste,NA,Praia do Sul,-23.178656000000000,-44.296756999999999,NA,NA,NA,NA,NA,10000.000000000000000,46,,,,,,,,62831.853071795863798,314159265.358979284763336
47,1,47,46,Sudeste,NA,Praia do Meio,-23.066913000000000,-43.549809000000003,NA,NA,NA,NA,NA,10000.000000000000000,47,255708454,1500,building,KS Beach Hotel Residence,hotel,126.754812419936343,981.511984471789901,62831.853071795863798,314159265.358979284763336
48,0,48,47,Sudeste,NA,Restinga a Marambaia,-23.061833000000000,-43.591673000000000,NA,NA,NA,NA,NA,10000.000000000000000,48,,,,,,,,62831.853071795863798,314159265.358979284763336
49,1,49,48,Sudeste,NA,Grumari,-23.050469000000000,-43.533907999999997,NA,NA,NA,NA,NA,10000.000000000000000,49,255708454,1500,building,KS Beach Hotel Residence,hotel,126.754812419936343,981.511984471789901,62831.853071795863798,314159265.358979284763336
50,8,50,49,Sudeste,NA,Reserva,-23.022717000000000,-43.440916000000001,NA,NA,NA,NA,NA,10000.000000000000000,50,60860745,1500,building,Hotel Meliá Barra,hotel,151.995672885193187,874.005303122204737,62831.853071795863798,314159265.358979284763336
51,8,51,50,Sudeste,NA,Barra da Tijuca,-23.020340120000000,-43.372478489999999,NA,NA,NA,NA,NA,10000.000000000000000,51,60860745,1500,building,Hotel Meliá Barra,hotel,151.995672885193187,874.005303122204737,62831.853071795863798,314159265.358979284763336
