OBJECTID,Join_Count,TARGET_FID,Name,Lat,Lon,Zone,Surf_Spot,Surfline_n,Quality__0,Frequency_,Direction,Type,Experience,Latitude,Longitude,BUFF_DIST,ORIG_FID,OBJECTID_1,FID_1,cod_icao,nm_municip,TipoAero,nome,largura_m,num_pista,uf,altitude,extensao,cod_uso,pavimento,GEOCODIGO,Shape_Leng,Shape_Area
1,0,1,Cardoso,-28.585450000000002,-48.798270000000002, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,0,1,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
2,1,2,Ravena,-28.454780000000000,-48.751339999999999, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,1,2,2344,SSLA,Laguna,Nacional,Laguna,23.000000000000000,1,SC,6.000000000000000,1500.000000000000000,Public,saibro,4209409.000000000000000,62831.853071795863798,314159265.358979284763336
3,0,3,Praia da Vila Imbituba,-28.252472220000001,-48.661850000000001, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,2,3,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
4,0,4,Praia do Porto Imbituba,-28.220199000000001,-48.663214000000004, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,3,4,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
5,0,5,Ponta da Pinheira,-27.878140999999999,-48.576442000000000, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,4,5,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
6,0,6,Mocambique,-27.518350000000002,-48.392183330000002, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,5,6,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
7,0,7,Ponta das Canas,-27.394818999999998,-48.435709000000003, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,6,7,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
8,1,8,Itagua&ccedil;u,-26.184728000000000,-48.526327999999999, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,7,8,389,SSSS,São Francisco do Sul,Nacional,São Francisco do Sul,35.000000000000000,1,SC,15.000000000000000,700.000000000000000,Public,grama,4216206.000000000000000,62831.853071795863798,314159265.358979284763336
9,0,9,Ilha Comprida,-24.783999999999999,-47.594999999999999, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,8,9,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
10,0,10,Iguape,-24.753211000000000,-47.542059000000002, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,9,10,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
11,0,11,Peruibe,-24.324427000000000,-46.978886000000003, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,10,11,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
12,1,12,Praia dos Pescadores,-24.194862000000001,-46.798881999999999, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,11,12,334,SDIM,Itanhaém,Nacional,Itanhaém,30.000000000000000,1,SP,4.000000000000000,800.000000000000000,Public,asfalto ou concreto Asfáltico,3522109.000000000000000,62831.853071795863798,314159265.358979284763336
13,1,13,Itanhaem,-24.151427000000002,-46.707858000000002, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,12,13,334,SDIM,Itanhaém,Nacional,Itanhaém,30.000000000000000,1,SP,4.000000000000000,800.000000000000000,Public,asfalto ou concreto Asfáltico,3522109.000000000000000,62831.853071795863798,314159265.358979284763336
14,0,14,Praia Grande,-24.028497000000002,-46.438310000000001, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,13,14,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
15,0,15,Praia do Forte dos Andradas,-24.028369000000001,-46.288159000000000, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,14,15,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
16,0,16,Praia do Forte dos Andradas,-24.025659999999998,-46.285460000000000, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,15,16,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
17,0,17,Praia da Ponta Grossa,-24.024816000000001,-46.314497000000003, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,16,17,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
18,0,18,Itaipu,-24.019545000000001,-46.386795999999997, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,17,18,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
19,0,19,Guaiuba,-24.017081999999998,-46.295202000000003, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,18,19,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
20,0,20,Santos,-24.015000000000001,-46.353999999999999, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,19,20,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
