OBJECTID,Join_Count,TARGET_FID,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,BUFF_DIST,ORIG_FID,OBJECTID_1,FID_1,cod_icao,nm_municip,TipoAero,nome,largura_m,num_pista,uf,altitude,extensao,cod_uso,pavimento,GEOCODIGO,Shape_Leng,Shape_Area
11,0,11,10,Sudeste,NA,Iguape,-24.753211000000000,-47.542059000000002,NA,NA,NA,NA,NA,10000.000000000000000,11,11,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
12,0,12,11,Sudeste,NA,Peruibe,-24.324427000000000,-46.978886000000003,NA,NA,NA,NA,NA,10000.000000000000000,12,12,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
13,1,13,12,Sudeste,NA,Praia dos Pescadores,-24.194862000000001,-46.798881999999999,NA,NA,NA,NA,NA,10000.000000000000000,13,13,334,SDIM,Itanhaém,Nacional,Itanhaém,30.000000000000000,1,SP,4.000000000000000,800.000000000000000,Public,asfalto ou concreto Asfáltico,3522109.000000000000000,62831.853071795863798,314159265.358979284763336
14,1,14,13,Sudeste,NA,Itanhaem,-24.151427000000002,-46.707858000000002,NA,NA,NA,NA,NA,10000.000000000000000,14,14,334,SDIM,Itanhaém,Nacional,Itanhaém,30.000000000000000,1,SP,4.000000000000000,800.000000000000000,Public,asfalto ou concreto Asfáltico,3522109.000000000000000,62831.853071795863798,314159265.358979284763336
15,0,15,14,Sudeste,NA,Praia Grande,-24.028497000000002,-46.438310000000001,NA,NA,NA,NA,NA,10000.000000000000000,15,15,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
16,0,16,15,Sudeste,NA,Praia do Forte dos Andradas,-24.028369000000001,-46.288159000000000,NA,NA,NA,NA,NA,10000.000000000000000,16,16,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
17,0,17,16,Sudeste,NA,Praia do Forte dos Andradas,-24.025659999999998,-46.285460000000000,NA,NA,NA,NA,NA,10000.000000000000000,17,17,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
18,0,18,17,Sudeste,NA,Praia da Ponta Grossa,-24.024816000000001,-46.314497000000003,NA,NA,NA,NA,NA,10000.000000000000000,18,18,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
19,0,19,18,Sudeste,NA,Itaipu,-24.019545000000001,-46.386795999999997,NA,NA,NA,NA,NA,10000.000000000000000,19,19,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
20,0,20,19,Sudeste,NA,Guaiuba,-24.017081999999998,-46.295202000000003,NA,NA,NA,NA,NA,10000.000000000000000,20,20,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
21,0,21,20,Sudeste,NA,Santos,-24.015000000000001,-46.353999999999999,NA,NA,NA,NA,NA,10000.000000000000000,21,21,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
22,0,22,21,Sudeste,NA,Morro do Maluf,-23.997560000000000,-46.251593999999997,NA,NA,NA,NA,NA,10000.000000000000000,22,22,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
23,0,23,22,Sudeste,NA,Praia da Enseada,-23.990651000000000,-46.209406000000001,NA,NA,NA,NA,NA,10000.000000000000000,23,23,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
24,0,24,23,Sudeste,NA,Embare,-23.980865999999999,-46.317684000000000,NA,NA,NA,NA,NA,10000.000000000000000,24,24,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
25,0,25,24,Sudeste,NA,Gonzaga,-23.974027000000000,-46.330098000000000,NA,NA,NA,NA,NA,10000.000000000000000,25,25,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
26,0,26,25,Sudeste,NA,Pereque,-23.927582999999998,-46.178826000000001,NA,NA,NA,NA,NA,10000.000000000000000,26,26,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
27,0,27,26,Sudeste,NA,Praia Preta,-23.874700000000001,-46.138959000000000,NA,NA,NA,NA,NA,10000.000000000000000,27,27,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
28,0,28,27,Sudeste,NA,Praia da Bertioga,-23.846986000000001,-46.126967999999998,NA,NA,NA,NA,NA,10000.000000000000000,28,28,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
29,0,29,28,Sudeste,NA,Maresias,-23.793693260000001,-45.559764340000001,NA,NA,NA,NA,NA,10000.000000000000000,29,29,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
30,0,30,29,Sudeste,NA,Canto de Moreira,-23.793056000000000,-45.587394000000003,NA,NA,NA,NA,NA,10000.000000000000000,30,30,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
31,0,31,30,Sudeste,NA,Itaguere,-23.786995000000001,-45.971372000000002,NA,NA,NA,NA,NA,10000.000000000000000,31,31,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
32,0,32,31,Sudeste,NA,Boicucanga,-23.784431000000001,-45.631354999999999,NA,NA,NA,NA,NA,10000.000000000000000,32,32,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
33,0,33,32,Sudeste,NA,Praia de Baleia,-23.775839000000001,-45.683985999999997,NA,NA,NA,NA,NA,10000.000000000000000,33,33,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
