FID,Name,Lat,Lon,Zone,Surf_Spot,Wannasurf_,Wannasurf1,Quality,Frequency,Direction,Type,Experience,Surfline_n,Quality__0,Frequency_,Wannasur_1,Wannasur_2,Surfline_l,Surfline_1,Manually_a,Manually_1,SUM_10km,SUM_1km,sqtd_10km,sqtd_1km,SUM_10km_n,SUM_1km_n,seq_10km_n,seq_1km_n,NM_REGIAO,ID,hab_10km,CP_n_10km,hab_1km,CP_n_1km,added_n_10,fin_pri_10,added_n_1,fin_pri_1
11,Peruibe,-24.324427000000000,-46.978886000000003, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,65744.576347399997758,0.000000000000000,42687.554225899999437,0.000000000000000,0.059025054838000,0.000000000000000,0.054779105335300,0.000000000000000,Sudeste,11,0.371751910708000,0.528407399240000,0.000000000000000,0.000000000000000,0.587432454078000,0.370989429898000,0.000000000000000,0.000000000000000
12,Praia dos Pescadores,-24.194862000000001,-46.798881999999999, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,142189.395483000000240,4630.607244490000085,97552.071763999992982,3117.302049639999950,0.127656718349000,0.280008833361000,0.125184384811000,0.281690135123000,Sudeste,12,0.321469463194000,0.456936032038000,0.443050860149000,0.559654450836000,0.584592750387000,0.369196032127000,0.839663284197000,0.454165903126000
13,Itanhaem,-24.151427000000002,-46.707858000000002, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,13066.650075899999138,0.000000000000000,9118.108652110000548,0.000000000000000,0.011731153809600,0.000000000000000,0.011700877301800,0.000000000000000,Sudeste,13,0.333368384850000,0.473849134742000,0.296024897962000,0.373933709658000,0.485580288552000,0.306665307933000,0.373933709658000,0.202257195417000
14,Praia Grande,-24.028497000000002,-46.438310000000001, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,561329.067032000049949,0.000000000000000,383895.745616999978665,0.000000000000000,0.503957600832000,0.000000000000000,0.492636925874000,0.000000000000000,Sudeste,14,0.214664791943000,0.305124092578000,0.000000000000000,0.000000000000000,0.809081693410000,0.510970672620000,0.000000000000000,0.000000000000000
15,Praia do Forte dos Andradas,-24.028369000000001,-46.288159000000000, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,38820.363588300002448,0.000000000000000,24607.203184099998907,0.000000000000000,0.034852671002500,0.000000000000000,0.031577367213300,0.000000000000000,Sudeste,15,0.302805626871000,0.430407293578000,0.190242081196000,0.240310621317000,0.465259964581000,0.293832129662000,0.240310621317000,0.129981734840000
16,Praia do Forte dos Andradas,-24.025659999999998,-46.285460000000000, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,45288.768522300000768,0.000000000000000,28464.864828099998704,0.000000000000000,0.040659963058400,0.000000000000000,0.036527738753100,0.000000000000000,Sudeste,16,0.299729856136000,0.426035399398000,0.227661717418000,0.287578481160000,0.466695362456000,0.294738646548000,0.287578481160000,0.155548471719000
17,Praia da Ponta Grossa,-24.024816000000001,-46.314497000000003, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,33877.353202799997234,0.000000000000000,21645.766220099998463,0.000000000000000,0.030414868292700,0.000000000000000,0.027777082321400,0.000000000000000,Sudeste,17,0.256239286146000,0.364217992902000,0.414012496628000,0.522973674764000,0.394632861195000,0.249228007709000,0.522973674764000,0.282871498350000
18,Itaipu,-24.019545000000001,-46.386795999999997, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,431793.382886999985203,0.000000000000000,295987.827870999986771,0.000000000000000,0.387661302568000,0.000000000000000,0.379828469795000,0.000000000000000,Sudeste,18,0.259003115652000,0.368146494463000,0.165611204667000,0.209197309241000,0.755807797031000,0.477325864082000,0.209197309241000,0.113152839562000
19,Guaiuba,-24.017081999999998,-46.295202000000003, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,57739.856397600000491,0.000000000000000,36238.637136500001361,0.000000000000000,0.051838469111100,0.000000000000000,0.046503486950900,0.000000000000000,Sudeste,19,0.290407500859000,0.412784622832000,0.399017029628000,0.504031651165000,0.464623091943000,0.293429916581000,0.504031651165000,0.272625937520000
20,Santos,-24.015000000000001,-46.353999999999999, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,156231.152723000006517,0.000000000000000,107137.774323999998160,0.000000000000000,0.140263317055000,0.000000000000000,0.137485305296000,0.000000000000000,Sudeste,20,0.251200735590000,0.357056207533000,0.000000000000000,0.000000000000000,0.497319524588000,0.314079151778000,0.000000000000000,0.000000000000000
21,Morro do Maluf,-23.997560000000000,-46.251593999999997, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,395813.841615999990609,0.000000000000000,247104.644663000013679,0.000000000000000,0.355359103443000,0.000000000000000,0.317098779827000,0.000000000000000,Sudeste,21,0.328282524694000,0.466620103605000,0.317894497133000,0.401559022269000,0.821979207048000,0.519116019712000,0.401559022269000,0.217199464880000
22,Praia da Enseada,-23.990651000000000,-46.209406000000001, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,347204.923389000003226,0.000000000000000,214860.053161999996519,0.000000000000000,0.311718331483000,0.000000000000000,0.275720680136000,0.000000000000000,Sudeste,22,0.362154725849000,0.514765980474000,0.321036039889000,0.405527366638000,0.826484311957000,0.521961191595000,0.405527366638000,0.219345904695000
23,Embare,-23.980865999999999,-46.317684000000000, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,497646.938064999994822,0.000000000000000,317731.013302000006661,0.000000000000000,0.446784197894000,0.000000000000000,0.407730566007000,0.000000000000000,Sudeste,23,0.281141912337000,0.399614534415000,0.212494565744000,0.268419588345000,0.846398732309000,0.534538023879000,0.268419588345000,0.145185608388000
24,Gonzaga,-23.974027000000000,-46.330098000000000, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,567646.606522000045516,0.000000000000000,366380.407368000014685,0.000000000000000,0.509629446869000,0.000000000000000,0.470160244407000,0.000000000000000,Sudeste,24,0.270476081166000,0.384454143984000,0.000000000000000,0.000000000000000,0.894083590853000,0.564653109219000,0.000000000000000,0.000000000000000
25,Pereque,-23.927582999999998,-46.178826000000001, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,793425.832065999973565,0.000000000000000,493137.716697999974713,0.000000000000000,0.712332573263000,0.000000000000000,0.632822456514000,0.000000000000000,Sudeste,25,0.384242117099000,0.546160952847000,0.469486962291000,0.593048093773000,1.258493526110000,0.794794010001000,0.593048093773000,0.320774086678000
26,Praia Preta,-23.874700000000001,-46.138959000000000, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,520644.699897999991663,0.000000000000000,328816.921478000003844,0.000000000000000,0.467431439519000,0.000000000000000,0.421956635940000,0.000000000000000,Sudeste,26,0.390418139330000,0.554939538110000,0.436811067342000,0.551772448721000,1.022370977630000,0.645672236019000,0.551772448721000,0.298448481921000
27,Praia da Bertioga,-23.846986000000001,-46.126967999999998, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,384420.090821999998298,0.000000000000000,244961.492781000008108,0.000000000000000,0.345129867774000,0.000000000000000,0.314348565044000,0.000000000000000,Sudeste,27,0.397455485354000,0.564942407236000,0.720353179229000,0.909938111382000,0.910072275010000,0.574750666443000,0.909938111382000,0.492176890335000
28,Maresias,-23.793693260000001,-45.559764340000001, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,Sudeste,28,0.245804040777000,0.349385356655000,0.542101984804000,0.684774178072000,0.349385356655000,0.220652218617000,0.684774178072000,0.370387855316000
29,Canto de Moreira,-23.793056000000000,-45.587394000000003, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,Sudeste,29,0.254588630326000,0.361871754124000,0.409327970669000,0.517056259770000,0.361871754124000,0.228537927768000,0.517056259770000,0.279670824728000
30,Itaguere,-23.786995000000001,-45.971372000000002, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,52233.382635100002517,0.000000000000000,36336.052679100001114,0.000000000000000,0.046894792630800,0.000000000000000,0.046628496133600,0.000000000000000,Sudeste,30,0.458026617651000,0.651038089771000,0.684110256495000,0.864156656375000,0.697932882402000,0.440775310168000,0.864156656375000,0.467414135727000
31,Boicucanga,-23.784431000000001,-45.631354999999999, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,2872.282848360000116,0.000000000000000,2045.729526520000036,0.000000000000000,0.002578716938400,0.000000000000000,0.002625196857790,0.000000000000000,Sudeste,31,0.345147834034000,0.490592419521000,0.155618429415000,0.196574602349000,0.493171136459000,0.311459262230000,0.196574602349000,0.106325337177000
32,Praia de Baleia,-23.775839000000001,-45.683985999999997, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,2872.282848360000116,2569.113130570000067,2045.729526520000036,1831.415010449999954,0.002578716938400,0.155352059132000,0.002625196857790,0.165492959471000,Sudeste,32,0.342547911252000,0.486896894639000,0.487670726708000,0.616017521449000,0.489475611577000,0.309125375738000,0.771369580581000,0.417226486857000
33,Barra do Sahy,-23.774384999999999,-45.697569999999999, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,2872.282848360000116,2361.826730729999781,2045.729526520000036,1675.549886699999888,0.002578716938400,0.142817628997000,0.002625196857790,0.151408450793000,Sudeste,33,0.344962844079000,0.490329475180000,0.542756702684000,0.685601206769000,0.492908192118000,0.311293201314000,0.828418835766000,0.448083887665000
34,Praia Preta,-23.773009999999999,-45.715814999999999, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,2872.282848360000116,0.000000000000000,2045.729526520000036,0.000000000000000,0.002578716938400,0.000000000000000,0.002625196857790,0.000000000000000,Sudeste,34,0.376045775741000,0.534510690143000,0.404082692414000,0.510430511836000,0.537089407081000,0.339195581643000,0.510430511836000,0.276087020540000
35,Bananas Point,-23.771605000000001,-45.706209999999999, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,2872.282848360000116,0.000000000000000,2045.729526520000036,0.000000000000000,0.002578716938400,0.000000000000000,0.002625196857790,0.000000000000000,Sudeste,35,0.356470459219000,0.506686375608000,0.473634001394000,0.598286564343000,0.509265092546000,0.321623303307000,0.598286564343000,0.323607525703000
36,Praia do Juquei,-23.768115000000002,-45.745452999999998, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,2872.282848360000116,0.000000000000000,2045.729526520000036,0.000000000000000,0.002578716938400,0.000000000000000,0.002625196857790,0.000000000000000,Sudeste,36,0.393772697555000,0.559707700253000,0.555871168971000,0.702167181668000,0.562286417191000,0.355108601686000,0.702167181668000,0.379795565925000
37,Barra do Una,-23.763818000000001,-45.762779999999999, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,2872.282848360000116,0.000000000000000,2045.729526520000036,0.000000000000000,0.002578716938400,0.000000000000000,0.002625196857790,0.000000000000000,Sudeste,37,0.416183601574000,0.591562513008000,0.465476662668000,0.587982350232000,0.594141229946000,0.375226316909000,0.587982350232000,0.318034074064000
