OID_,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,BUFF_DIST,ORIG_FID,Shape_Length,Shape_Area,sum_Area_SQUAREKILOMETERS,Polygon_Count,oceanic_pa_percent_area
1,9,Sudeste,NA,Ilha Comprida,-24.783999999999999,-47.594999999999999,NA,NA,NA,NA,NA,10000.000000000000000,1,62831.853071795863798,314159265.358979284763336,0.000000000000000,0,0.000000000000000
2,10,Sudeste,NA,Iguape,-24.753211000000000,-47.542059000000002,NA,NA,NA,NA,NA,10000.000000000000000,2,62831.853071795863798,314159265.358979284763336,0.000000000000000,0,0.000000000000000
3,11,Sudeste,NA,Peruibe,-24.324427000000000,-46.978886000000003,NA,NA,NA,NA,NA,10000.000000000000000,3,62831.853071795863798,314159265.358979284763336,0.000000000000000,0,0.000000000000000
4,12,Sudeste,NA,Praia dos Pescadores,-24.194862000000001,-46.798881999999999,NA,NA,NA,NA,NA,10000.000000000000000,4,62831.853071795863798,314159265.358979284763336,0.000000000000000,0,0.000000000000000
5,13,Sudeste,NA,Itanhaem,-24.151427000000002,-46.707858000000002,NA,NA,NA,NA,NA,10000.000000000000000,5,62831.853071795863798,314159265.358979284763336,0.000000000000000,0,0.000000000000000
6,14,Sudeste,NA,Praia Grande,-24.028497000000002,-46.438310000000001,NA,NA,NA,NA,NA,10000.000000000000000,6,62831.853071795863798,314159265.358979284763336,20.137871737731999,1,0.064100836608213
7,15,Sudeste,NA,Praia do Forte dos Andradas,-24.028369000000001,-46.288159000000000,NA,NA,NA,NA,NA,10000.000000000000000,7,62831.853071795863798,314159265.358979284763336,64.150864483972100,1,0.204198543724850
8,16,Sudeste,NA,Praia do Forte dos Andradas,-24.025659999999998,-46.285460000000000,NA,NA,NA,NA,NA,10000.000000000000000,8,62831.853071795863798,314159265.358979284763336,58.843890640728297,1,0.187305921324617
9,17,Sudeste,NA,Praia da Ponta Grossa,-24.024816000000001,-46.314497000000003,NA,NA,NA,NA,NA,10000.000000000000000,9,62831.853071795863798,314159265.358979284763336,70.626465926541997,1,0.224811023306410
10,18,Sudeste,NA,Itaipu,-24.019545000000001,-46.386795999999997,NA,NA,NA,NA,NA,10000.000000000000000,10,62831.853071795863798,314159265.358979284763336,56.254771305362098,1,0.179064498515050
11,19,Sudeste,NA,Guaiuba,-24.017081999999998,-46.295202000000003,NA,NA,NA,NA,NA,10000.000000000000000,11,62831.853071795863798,314159265.358979284763336,54.333066636411701,1,0.172947522570525
12,20,Sudeste,NA,Santos,-24.015000000000001,-46.353999999999999,NA,NA,NA,NA,NA,10000.000000000000000,12,62831.853071795863798,314159265.358979284763336,60.668555517717003,1,0.193114010017795
