id,normalized_heritage,normalized_priority,normalized_wsr,normalized_protected,normalized_bandeira,normalized_ramsar,response_added,response_index
0,0,0,0,0.5437344187,0,0,0.5437344187,0.2016260179
1,0,0,0,0.3820557696,0,0,0.3820557696,0.1416728108
2,0,0,0,0.54714721609999994,0,0,0.54714721609999994,0.2028915415
3,0,0,0,0,0,0,0,0
4,0,0.0881929217,0,0.6326323933,0,0,0.720825315,0.2672943497
5,0,0,0,0,0,0,0,0
6,0,0.1651035416,0,0.0599111148,0,0,0.2250146564,0.0834392813
7,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
9,0,0,0,0.5516098589,0,0,0.5516098589,0.2045463658
10,0,0,0,0.5620190516,0,0,0.5620190516,0.2084062724
11,0,0,0,0.5852962521,0,0,0.5852962521,0.2170378563
12,0,0,0,0.2883489308,0,0,0.2883489308,0.106924713
13,0,0,0,0.5835057531,0,0,0.5835057531,0.2163739086
14,0,0,0,0.5880015729,0,0,0.5880015729,0.2180410355
15,0,0,0,0.3487851406,0,0,0.3487851406,0.1293354928
16,0,0,0,0.2718144652,0,0,0.2718144652,0.1007934505
17,0,0,0,0.3536830603,0,0,0.3536830603,0.1311517252
18,0,0.5897180023,0,0.5766195028,0,0,1.1663375051,0.4324978861
19,0,0,0,0.2318261995,0,0,0.2318261995,0.085965118
20,0,0,0,0,0,0,0,0
21,0,0,0,0.3551198055,0,0,0.3551198055,0.1316844949
22,0,0,0,0.3954029436,0,0,0.3954029436,0.1466221711
23,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0
25,0,0,0,0.4201492488,0,0,0.4201492488,0.1557985241
26,0,0.0024026236,0,0.9070084792,0,0,0.9094111028,0.3372251838
27,0,0,0,0.4218827432,0,0,0.4218827432,0.1564413335
28,0,0.0388511693,0,0.3505730699,0,0,0.3894242392,0.1444051653
29,0,0.2442009189,0,0.4957851256,0,0,0.7399860445,0.2743994758
30,0,0,0,0.521302378,0,0,0.521302378,0.1933078337
31,0,0.1759369276,0,0.4075822352,0,0,0.5835191628,0.2163788812
32,0,0,0,0.3096322701,0,0,0.3096322701,0.1148169391
33,0,0.0046877325,0,0.2874686145,0,0,0.292156347,0.108336568
34,0,0.0751613419,0,0.4067085959,0,0,0.4818699378,0.1786856108
35,0,0.194187362,0,0.4049683209,0,0,0.5991556829,0.2221771701
36,0,0.0928918924,0,0.3822655013,0,0,0.4751573937,0.1761964847
37,0,0.0112892545,0,0.2821520565,0,0,0.293441311,0.1088130547
38,0,0,0,0.3791699921,0,0,0.3791699921,0.1406027152
39,0,0.0216321361,0,0.2754947367,0,0,0.2971268728,0.110179724
40,0,0,0,0.2479900746,0,0,0.2479900746,0.0919589592
41,0,0,0,0.223740226,0,0,0.223740226,0.0829667008
42,0,0.3289471018,0,0.6460829124,0,0,0.9750300142,0.361557798
43,0,0.8894293278,0,0.9704370188,0,0,1.8598663466,0.6896702368
44,0,0.8605947585,0,0.9004332775,0,0,1.761028036,0.6530193015
45,0,0.8678989092,0,0.8516815825,0,0,1.7195804917,0.6376498435
46,0,0.4097677679,0,0.520134441,0,0,0.9299022089,0.3448236363
47,0,0,0,0,0,0,0,0
48,0,0.5617190973,0,0.7402771658,0,0,1.3019962631,0.4828024727
49,0,0.0887754126,0,0.3117729342,0,0,0.4005483468,0.1485301746
50,0,0,0,0,0,0,0,0
51,0,0.0103979962,0,0.1281907062,0,0,0.1385887024,0.0513910601
52,0,0,0,0.0645305874,0,0,0.0645305874,0.023929045
53,0,0,0,0,0,0,0,0
54,0,0.3875841573,0,0.2413878095,0,0,0.6289719668,0.2332335579
55,0,0,0,0,0,0,0,0
56,0,0,0,0.3593012606,0,0,0.3593012606,0.1332350499
57,0,0,0,0.3446294678,0,0,0.3446294678,0.1277944983
58,0,0.1963690482,0,0.1538110957,0,0,0.3501801439,0.1298527839
59,0,0.2996109792,0,0.7350794764,0,0,1.0346904556,0.3836809096
60,0,0.2026952302,0,0.1436415939,0,0,0.3463368241,0.1284276152
61,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0
63,0,0.186376505,0,0.3472566818,0,0,0.5336331868,0.1978803084
64,0,0.4158953456,0,0.8705948127,0,0,1.2864901583,0.477052544
65,0,0.3244786355,0,0.5052376558,0,0,0.8297162913,0.3076729853
66,0,0.3181525432,0,0.20789489320000001,0,0,0.5260474364,0.1950673825
67,0,0,0,0,0,0,0,0
68,0,0,0,0.227102544,0,0,0.227102544,0.0842135058
69,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0
71,0,0,0,0.011383554,0,0,0.011383554,0.0042212164
72,0,0.4951584251,0,0.6173238322,0,0,1.1124822573,0.4125274395
73,0,0.4802592966,0,0.6177663401,0,0,1.0980256367,0.4071666775
74,0,0.3234803044,0,0.6223416977,0,0,0.9458220021,0.3507269678
75,0,0.2464764909,0,0.6283536199,0,0,0.8748301108,0.3244019608
76,0,0,0,0.1586544856,0,0,0.1586544856,0.0588317956
77,0,0,0,0.0097854116,0,0,0.0097854116,0.0036285979
78,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0
80,0,0.1225488916,0,0.0684794001,0,0,0.1910282917,0.0708365563
81,0,0.2471627723,0,0.1433152609,0,0,0.3904780332,0.1447959302
82,0,0,0,0.2801738631,0,0,0.2801738631,0.1038932582
83,0,0,0,0.0881182658,0,0,0.0881182658,0.0326757594
84,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0
87,0,0,0,0.0418823545,0,0,0.0418823545,0.0155306931
88,0,0,0,0.1284413346,0,0,0.1284413346,0.0476282426
89,0,0,0,0.1532842329,0,0,0.1532842329,0.056840414
90,0,0,0,0.0779641055,0,0,0.0779641055,0.0289104232
91,0,0,0,0,0,0,0,0
