objectid,normalized_terr_rich,normalized_mar_rich,normalized_coral_reef,normalized_seagrass,normalized_mangrove,marine_eco_added,normalized_marine_eco,high_perce,terr_pa_high_weighted,normalized_terr_pa_high,very_high,terr_pa_ver_high_weighted,normalized_terr_pa_ver_high,extremely,normalized_terr_pa_ext_high,added_terr_pa,normalized_terr_pa,oceanic_pa,normalized_ocean_pa,mean,normalized_tree_cover,added_biodiversity,biodiversity_subindex
26,0.8733142566,0.6070700557,0,0,0.2845902031,0.2845902031,0.1492676188,0,0,0,0,0,0,0,0,0,0,0,0,0.421178561457336,0.6380746883,2.2677266194,0.562170176
27,0.9261913828,0.6080051193,0,0,0.2136942151,0.2136942151,0.1120826588,0,0,0,0,0,0,0,0,0,0,0,0,0.491125681485217,0.7440427762,2.3903219371,0.6103385972
28,0.6976351346,0.5567788725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577054712268229,0.8742230479,2.128637055,0.5075210682
29,0.6936858595,0.550978795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.506688682077454,0.7676203219,2.0122849764,0.4618056523
30,0.9576975113,0.5488810928,0,0,0.041316446,0.041316446,0.0216704842,0,0,0,0,0,0,0,0,0,0,0,0,0.444788011059509,0.6738423973,2.2020914856,0.5363817459
31,0.7717003994,0.5413434286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.474691467357532,0.7191453645,2.0321891925,0.4696261359
32,0.8828921317,0.5363264851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47413024487333,0.7182951269,2.1375137437,0.5110087714
33,0.8917882893,0.5361706324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46472551951054,0.7040472098,2.1320061315,0.5088447982
34,0.8879878464,0.5358141199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454613955191844,0.6887284499,2.1125304162,0.5011926751
35,0.9003222385,0.5353526904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.473613108336511,0.7175116783,2.1531866072,0.5171667316
36,0.8647245288,0.5342818955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.465314405276161,0.7049393566,2.1039457809,0.4978197214
37,0.9111247918,0.5312166757,0,0,0.0511651615,0.0511651615,0.0268361375,0,0,0,0,0,0,0,0,0,0,0,0,0.482441735141448,0.7308868209,2.2000644259,0.5355853023
38,0.8957717893,0.5529576904,0,0.2857142857,0,0.2857142857,0.1498572003,0,0,0,0,0,0,0,0,0,0,0,0,0.618874642377883,0.9375791664,2.5361658464,0.6676415268
39,0.9122041197,0.5023533813,0,0.5714285714,0,0.5714285714,0.2997144006,0,0,0,0,0,0,0,0,0,0,0,0,0.591435553500772,0.8960096525,2.6102815541,0.6967620242
40,0.9602102606,0.483068942,0,0.2857142857,0,0.2857142857,0.1498572003,0,0,0,0,0,0,0,0,0,0,0,0,0.46067425850479,0.6979096536,2.2910460565,0.5713325199
41,0.9800711937,0.4610862053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077458183484151,0.0888092472,0.497430278286452,0.7535940782,2.2835607244,0.5683914889
42,0.1687902217,0.3677983066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.458888166186771,0.5261356614,0.310442348222381,0.4703121733,1.533036363,0.273506054
43,0.2734314499,0.3622962459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329312333592609,0.377571215,0.462404909006851,0.7005315446,1.7138304554,0.344541116
44,0.2304259961,0.3631128839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39381586895425,0.4515273828,0.385581377196432,0.5841458697,1.6292121325,0.3112940793
45,0.9525364485,0.2463865523,0,0,0.3410127018,0.3410127018,0.1788612307,0,0,0,0,0,0,0.110943864894268,0.1294676058,0.1294676058,0.1294676058,0.467668731341489,0.5362029693,0.180574485586824,0.2735657015,2.3170205081,0.5815380347
46,0.9556132635,0.2423869775,0,0,0.3777056209,0.3777056209,0.1981066741,0,0,0,0,0,0,0.06527318829347,0.0761715253,0.0761715253,0.0761715253,0.455572391132501,0.5223339781,0.175399570109394,0.2657258376,2.2603382561,0.5592672446
47,0.9637491113,0.2453646853,0,0,0.3326620787,0.3326620787,0.1744813272,0,0,0,0,0,0,0.206231996806689,0.2406655194,0.2406655194,0.2406655194,0.382585520270541,0.4386512893,0.221051399133591,0.3348871845,2.397799117,0.6132764251
48,0.9871736956,0.2567877489,0,0,0,0,0,0,0,0,0,0,0,0.32266492963731,0.3765386754,0.3765386754,0.3765386754,0.37005333037024,0.4242825771,0.195270588729748,0.2958299198,2.3406126168,0.5908075129
49,0.9965794909,0.2667434707,0,0,0,0,0,0,0,0,0,0,0,0.307593320351092,0.358950635,0.358950635,0.358950635,0.421127882972211,0.4828418198,0.107234315941794,0.1624572307,2.2675726471,0.5621096793
50,0.9984381004,0.2657328885,0,0,0,0,0,0,0,0,0,0,0,0.334643343530935,0.390517065,0.390517065,0.390517065,0.388625010258077,0.4455758328,0.128207745421795,0.1942314369,2.2944953236,0.5726877573
51,0.9953931006,0.2755086074,0,0,0,0,0,0,0,0,0,0,0,0.128154462375182,0.1495517705,0.1495517705,0.1495517705,0.385529871084712,0.4420271183,0.263578178848902,0.399314162,2.2617947588,0.5598395131
52,0.976042853,0.3216504008,0,0,0,0,0,0,0,0,0,0,0,0.279836289735577,0.3265591522,0.3265591522,0.3265591522,0.41878886820677,0.4801600355,0.101730432067632,0.1541189882,2.2585314297,0.5585573319
