fid,name,surf_spot,quality,frequency,direction,type,experience
110,Farol,NA,"NA","NA",NA,NA,NA
111,Pedro do Sal,NA,"NA","NA",NA,NA,NA
112,Itapoa,NA,"NA","NA",NA,NA,NA
113,Seper,NA,"NA","NA",NA,NA,NA
114,Corrente,NA,"NA","NA",NA,NA,NA
115,Stela Maris,NA,"NA","NA",NA,NA,NA
116,Plator,NA,"NA","NA",NA,NA,NA
117,Aleluia,NA,"NA","NA",NA,NA,NA
118,Ipitanga,NA,"NA","NA",NA,NA,NA
119,Vilas,NA,"NA","NA",NA,NA,NA
120,Busca Vida,NA,"NA","NA",NA,NA,NA
121,Itacimirim,NA,"NA","NA",NA,NA,NA
122,Praia do Forte,NA,"NA","NA",NA,NA,NA
123,Imbassai,NA,"NA","NA",NA,NA,NA
124,Costa do Sauipe,NA,"NA","NA",NA,NA,NA
125,Marlin,NA,"NA","NA",NA,NA,NA
126,Conde,NA,"NA","NA",NA,NA,NA
127,Mangue Seco,NA,"NA","NA",NA,NA,NA
128,Mosqueiro,NA,"NA","NA",NA,NA,NA
129,Aruana,NA,"NA","NA",NA,NA,NA
130,Hawaiizinho,NA,"NA","NA",NA,NA,NA
131,Praia do Meio,NA,"NA","NA",NA,NA,NA
132,Pirambu,NA,"NA","NA",NA,NA,NA
133,Ponta do Mangue,NA,"NA","NA",NA,NA,NA
134,Pontal de Peba,NA,"NA","NA",NA,NA,NA
135,Mihai,NA,"NA","NA",NA,NA,NA
136,Pontal do Coruripe,NA,"NA","NA",NA,NA,NA
137,Forjos,NA,"NA","NA",NA,NA,NA
138,Poxim,NA,"NA","NA",NA,NA,NA
139,Jacarecica,NA,"NA","NA",NA,NA,NA
140,Praia do Meio,NA,"NA","NA",NA,NA,NA
141,Praia do Pontal,NA,"NA","NA",NA,NA,NA
142,Salgema,NA,"NA","NA",NA,NA,NA
143,Pier do Emissario,NA,"NA","NA",NA,NA,NA
144,Praia do Sobral,NA,"NA","NA",NA,NA,NA
145,"Pico da Barra, Brazil",NA,"NA","NA",NA,NA,NA
146,Pedra Virada,NA,"NA","NA",NA,NA,NA
147,Praia de Jatiuca,NA,"NA","NA",NA,NA,NA
148,Garca Torta,NA,"NA","NA",NA,NA,NA
149,Mirante da Sirena,NA,"NA","NA",NA,NA,NA
150,Japaratinga,NA,"NA","NA",NA,NA,NA
151,Impossivel,NA,"NA","NA",NA,NA,NA
152,Serrambi,NA,"NA","NA",NA,NA,NA
153,Porto de Galinhas,NA,"NA","NA",NA,NA,NA
154,Cupe,NA,"NA","NA",NA,NA,NA
155,Gaibu,NA,"NA","NA",NA,NA,NA
156,Bessa,NA,"NA","NA",NA,NA,NA
157,Saji,NA,"NA","NA",NA,NA,NA
158,Farol,NA,"NA","NA",NA,NA,NA
159,Xilauzinho,NA,"NA","NA",NA,NA,NA
160,Mar Aberto,NA,"NA","NA",NA,NA,NA
161,Pontal,NA,"NA","NA",NA,NA,NA
162,Mar da Frente,NA,"NA","NA",NA,NA,NA
163,Lajinha,NA,"NA","NA",NA,NA,NA
