id,normalized_employment,normalized_hotels,normalized_airports,social_added,social_subindex
303,0.1338596468,0.0952380952,0,0.229097742,0.0953845149
304,0.1338596468,0.0952380952,0,0.229097742,0.0953845149
305,0.1338596468,0.0952380952,0,0.229097742,0.0953845149
306,0.1338596468,0.0476190476,0,0.1814786944,0.075558393
307,0.1338596468,0.0476190476,0,0.1814786944,0.075558393
308,0.1338596468,0.0476190476,0,0.1814786944,0.075558393
309,0.178479529,0.0476190476,0,0.2260985766,0.0941358167
310,0.2133608517,0.0952380952,0,0.3085989469,0.128484727
311,0.2133608517,0.0476190476,0,0.2609798993,0.1086586052
312,0.2068776416,0,0,0.2068776416,0.0861332081
313,0.2068776416,0,0,0.2068776416,0.0861332081
314,0.3026281051,0.1904761905,1,1.4931042956,0.6216518229
315,0.3026281051,0.1904761905,1,1.4931042956,0.6216518229
316,0.1513140526,0.1904761905,1,1.3417902431,0.5586524351
317,0.1513140526,0.1904761905,1,1.3417902431,0.5586524351
318,0.1513140526,0.1904761905,1,1.3417902431,0.5586524351
319,0.1513140526,0.1904761905,1,1.3417902431,0.5586524351
320,0,0.0476190476,0,0.0476190476,0.0198261219
321,0.0816702829,0.0476190476,0,0.1292893305,0.0538294265
322,0.1225054243,0.0476190476,0,0.1701244719,0.0708310788
323,0.3927576514,0.1428571429,1,1.5356147943,0.6393510078
324,0.3927576514,0.1428571429,1,1.5356147943,0.6393510078
325,0.3927576514,0.1428571429,1,1.5356147943,0.6393510078
326,0.532365479,0.1428571429,0,0.6752226219,0.2811279661
327,0.3528024448,0,0,0.3528024448,0.1468887897
328,0.3528024448,0,0,0.3528024448,0.1468887897
512,0.2027092586,0,0,0.2027092586,0.0843977078
513,0.2054487809,0.0476190476,0,0.2530678285,0.1053644259
514,0.2798537324,0.0476190476,0,0.32747278,0.1363428203
515,0.3009198968,0,0,0.3009198968,0.1252875656
516,0,0,0,0,0
517,0.3927576514,0.1428571429,0,0.5356147943,0.2230024481
518,0.5292036672,0,0,0.5292036672,0.2203331846
