id,region,join_count,numerical_direction,numerical_frequency,numerical_experience,numerical_quality,normalized_clusters,normalized_direction,normalized_frequency,normalized_experience,normalized_quality,weighted_surf,surf_subindex
9,Sudeste,2,1,1,1,1,0.058824,0,0,1,0,0.558824,0.0283690269
10,Sudeste,2,1,1,1,1,0.058824,0,0,1,0,0.558824,0.0283690269
11,Sudeste,2,1,1,1,1,0.058824,0,0,1,0,0.558824,0.0283690269
12,Sudeste,2,1,1,1,1,0.058824,0,0,1,0,0.558824,0.0283690269
13,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
14,Sudeste,4,1,1,1,1,0.176471,0,0,1,0,0.676471,0.0851065985
15,Sudeste,13,1,1,1,1,0.705882,0,0,1,0,1.205882,0.3404254293
16,Sudeste,13,1,1,1,1,0.705882,0,0,1,0,1.205882,0.3404254293
17,Sudeste,15,1,1,1,1,0.823529,0,0,1,0,1.323529,0.3971630009
18,Sudeste,9,1,1,1,1,0.470588,0,0,1,0,0.970588,0.2269502862
19,Sudeste,14,1,1,1,1,0.764706,0,0,1,0,1.2647059999999999,0.3687944562
20,Sudeste,14,1,1,1,1,0.764706,0,0,1,0,1.2647059999999999,0.3687944562
21,Sudeste,12,1,1,1,1,0.647059,0,0,1,0,1.147059,0.3120568847
22,Sudeste,9,1,1,1,1,0.470588,0,0,1,0,0.970588,0.2269502862
23,Sudeste,15,1,1,1,1,0.823529,0,0,1,0,1.323529,0.3971630009
24,Sudeste,15,1,1,1,1,0.823529,0,0,1,0,1.323529,0.3971630009
25,Sudeste,8,1,1,1,1,0.411765,0,0,1,0,0.9117649999999999,0.1985817416
26,Sudeste,8,1,1,1,1,0.411765,0,0,1,0,0.9117649999999999,0.1985817416
27,Sudeste,8,1,1,1,1,0.411765,0,0,1,0,0.9117649999999999,0.1985817416
28,Sudeste,7,1,1,1,1,0.352941,0,0,1,0,0.852941,0.1702127147
29,Sudeste,9,1,1,1,1,0.470588,0,0,1,0,0.970588,0.2269502862
30,Sudeste,4,1,1,1,1,0.176471,0,0,1,0,0.676471,0.0851065985
31,Sudeste,12,1,1,1,1,0.647059,0,0,1,0,1.147059,0.3120568847
32,Sudeste,12,1,1,1,1,0.647059,0,0,1,0,1.147059,0.3120568847
33,Sudeste,12,1,1,1,1,0.647059,0,0,1,0,1.147059,0.3120568847
34,Sudeste,12,1,1,1,1,0.647059,0,0,1,0,1.147059,0.3120568847
35,Sudeste,12,1,1,1,1,0.647059,0,0,1,0,1.147059,0.3120568847
36,Sudeste,11,1,1,1,1,0.588235,0,0,1,0,1.088235,0.2836878578
37,Sudeste,10,1,1,1,1,0.529412,0,0,1,0,1.029412,0.2553193131
38,Sudeste,5,1,1,1,1,0.235294,0,0,1,0,0.735294,0.1134751431
39,Sudeste,5,1,1,1,1,0.235294,0,0,1,0,0.735294,0.1134751431
40,Sudeste,10,1,1,1,1,0.529412,0,0,1,0,1.029412,0.2553193131
41,Sudeste,8,1,1,1,1,0.411765,0,0,1,0,0.9117649999999999,0.1985817416
42,Sudeste,2,1,1,1,1,0.058824,0,0,1,0,0.558824,0.0283690269
43,Sudeste,4,1,1,1,1,0.176471,0,0,1,0,0.676471,0.0851065985
44,Sudeste,5,1,1,1,1,0.235294,0,0,1,0,0.735294,0.1134751431
45,Sudeste,4,1,1,1,1,0.176471,0,0,1,0,0.676471,0.0851065985
46,Sudeste,12,1,1,1,1,0.647059,0,0,1,0,1.147059,0.3120568847
47,Sudeste,7,1,1,1,1,0.352941,0,0,1,0,0.852941,0.1702127147
48,Sudeste,15,1,1,1,1,0.823529,0,0,1,0,1.323529,0.3971630009
49,Sudeste,14,1,1,1,1,0.764706,0,0,1,0,1.2647059999999999,0.3687944562
50,Sudeste,11,1,1,1,1,0.588235,0,0,1,0,1.088235,0.2836878578
51,Sudeste,11,1,1,1,1,0.588235,0,0,1,0,1.088235,0.2836878578
52,Sudeste,17,1,1,1,1,0.941176,0,0,1,0,1.441176,0.4539005724
53,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
54,Sudeste,9,1,1,1,1,0.470588,0,0,1,0,0.970588,0.2269502862
55,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
56,Sudeste,11,1,1,1,1,0.588235,0,0,1,0,1.088235,0.2836878578
57,Sudeste,15,1,1,1,1,0.823529,0,0,1,0,1.323529,0.3971630009
58,Sudeste,2,1,1,1,1,0.058824,0,0,1,0,0.558824,0.0283690269
59,Sudeste,2,1,1,1,1,0.058824,0,0,1,0,0.558824,0.0283690269
60,Sudeste,18,1,1,1,1,1,0,0,1,0,1.5,0.4822695993
61,Sudeste,17,1,1,1,1,0.941176,0,0,1,0,1.441176,0.4539005724
62,Sudeste,6,1,1,1,1,0.294118,0,0,1,0,0.794118,0.14184417
63,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
64,Sudeste,5,1,1,1,1,0.235294,0,0,1,0,0.735294,0.1134751431
65,Sudeste,6,1,1,1,1,0.294118,0,0,1,0,0.794118,0.14184417
66,Sudeste,3,1,1,1,1,0.117647,0,0,1,0,0.6176470000000001,0.0567375716
67,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
68,Sudeste,2,1,1,1,1,0.058824,0,0,1,0,0.558824,0.0283690269
69,Sudeste,3,1,1,1,1,0.117647,0,0,1,0,0.6176470000000001,0.0567375716
70,Sudeste,3,1,1,1,1,0.117647,0,0,1,0,0.6176470000000001,0.0567375716
71,Sudeste,3,1,1,1,1,0.117647,0,0,1,0,0.6176470000000001,0.0567375716
72,Sudeste,5,1,1,1,1,0.235294,0,0,1,0,0.735294,0.1134751431
73,Sudeste,6,1,1,1,1,0.294118,0,0,1,0,0.794118,0.14184417
74,Sudeste,5,1,1,1,1,0.235294,0,0,1,0,0.735294,0.1134751431
75,Sudeste,5,1,1,1,1,0.235294,0,0,1,0,0.735294,0.1134751431
76,Sudeste,6,1,1,1,1,0.294118,0,0,1,0,0.794118,0.14184417
77,Sudeste,10,1,1,1,1,0.529412,0,0,1,0,1.029412,0.2553193131
78,Sudeste,10,1,1,1,1,0.529412,0,0,1,0,1.029412,0.2553193131
79,Sudeste,9,1,1,1,1,0.470588,0,0,1,0,0.970588,0.2269502862
80,Sudeste,10,1,1,1,1,0.529412,0,0,1,0,1.029412,0.2553193131
81,Sudeste,10,1,1,1,1,0.529412,0,0,1,0,1.029412,0.2553193131
82,Sudeste,7,1,1,1,1,0.352941,0,0,1,0,0.852941,0.1702127147
83,Sudeste,7,1,1,1,1,0.352941,0,0,1,0,0.852941,0.1702127147
84,Sudeste,7,1,1,1,1,0.352941,0,0,1,0,0.852941,0.1702127147
85,Sudeste,7,1,1,1,1,0.352941,0,0,1,0,0.852941,0.1702127147
86,Sudeste,9,1,1,1,1,0.470588,0,0,1,0,0.970588,0.2269502862
87,Sudeste,7,1,1,1,1,0.352941,0,0,1,0,0.852941,0.1702127147
88,Sudeste,7,1,1,1,1,0.352941,0,0,1,0,0.852941,0.1702127147
89,Sudeste,5,1,1,1,1,0.235294,0,0,1,0,0.735294,0.1134751431
90,Sudeste,4,1,1,1,1,0.176471,0,0,1,0,0.676471,0.0851065985
91,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
92,Sudeste,1,1,1,1,1,0,0,0,1,0,0.5,0
329,Sudeste,3,2,4,1,3,0.117647,1,1,1,0.5,1.617647,0.5390071709
330,Sudeste,1,2,4,1,3.5,0,1,1,1,0.625,1.625,0.5425532992
332,Sudeste,13,2,4,1,3.5,0.705882,1,1,1,0.625,2.330882,0.8829787285
333,Sudeste,13,2,2,1,3,0.705882,1,0.3333333333,1,0.5,2.205882,0.8226950286
334,Sudeste,12,2,4,0,3.5,0.647059,1,1,0,0.625,1.772059,0.6134753842
335,Sudeste,10,2,2,0,3.5,0.529412,1,0.3333333333,0,0.625,1.654412,0.5567378127
336,Sudeste,9,2,3,1,3,0.470588,1,0.6666666667,1,0.5,1.970588,0.7092198855
337,Sudeste,13,2,3,1,3,0.705882,1,0.6666666667,1,0.5,2.205882,0.8226950286
338,Sudeste,8,2,4,1,3.5,0.411765,1,1,1,0.625,2.036765,0.7411350408
339,Sudeste,2,2,4,0,3.5,0.058824,1,1,0,0.625,1.183824,0.3297875265
340,Sudeste,9,2,3,1,4,0.470588,1,0.6666666667,1,0.75,2.2205880000000002,0.8297872853
341,Sudeste,9,1,2,0,3.5,0.470588,0,0.3333333333,0,0.625,1.095588,0.2872339861
342,Sudeste,9,2,4,1,3.5,0.470588,1,1,1,0.625,2.0955880000000002,0.7695035854
343,Sudeste,9,1,3,1,3.5,0.470588,0,0.6666666667,1,0.625,1.595588,0.5283687858
344,Sudeste,2,2,3,0,3.5,0.058824,1,0.6666666667,0,0.625,1.183824,0.3297875265
345,Sudeste,8,2,4,1,3,0.411765,1,1,1,0.5,1.911765,0.6808513409
346,Sudeste,7,2,2,0,3.5,0.352941,1,0.3333333333,0,0.625,1.477941,0.4716312142
347,Sudeste,3,2,3,1,3.5,0.117647,1,0.6666666667,1,0.625,1.742647,0.5992908708
348,Sudeste,4,2,3,1,3,0.176471,1,0.6666666667,1,0.5,1.676471,0.5673761978
349,Sudeste,8,2,2,0,4,0.411765,1,0.3333333333,0,0.75,1.661765,0.560283941
350,Sudeste,5,2,4,1,3,0.235294,1,1,1,0.5,1.7352940000000001,0.5957447424
351,Sudeste,8,2,4,1,3.5,0.411765,1,1,1,0.625,2.036765,0.7411350408
352,Sudeste,11,2,4,1,3.5,0.588235,1,1,1,0.625,2.213235,0.826241157
353,Sudeste,11,2,3,1,3.5,0.588235,1,0.6666666667,1,0.625,2.213235,0.826241157
