id,region,join_count,numerical_direction,numerical_frequency,numerical_experience,numerical_quality,normalized_clusters,normalized_direction,normalized_frequency,normalized_experience,normalized_quality,weighted_surf,surf_subindex
522,Sudeste,6,2,1,1,3,0.294118,2,0,1,0.5,2.294118,0.6241137693
523,Sudeste,11,2,4,0,3.5,0.588235,2,0.75,0,0.625,2.213235,0.5851063573
524,Sudeste,8,2,4,1,3.5,0.411765,2,0.75,1,0.625,2.536765,0.7411350408
525,Sudeste,10,2,4,1,3,0.529412,2,0.75,1,0.5,2.5294119999999998,0.7375889124
526,Sudeste,9,1,2,1,3,0.470588,1,0.25,1,0.5,1.970588,0.4680850859
527,Sudeste,3,2,3,1,3.5,0.117647,2,0.5,1,0.625,2.242647,0.5992908708
528,Sudeste,14,1,3,0,3.5,0.764706,1,0.5,0,0.625,1.8897059999999999,0.4290781561
529,Sudeste,16,2,1,1,3,0.882353,2,0,1,0.5,2.882353,0.9078016271
530,Sudeste,10,2,4,1,3.5,0.529412,2,0.75,1,0.625,2.6544119999999998,0.7978726123
531,Sudeste,9,1,3,1,3.5,0.470588,1,0.5,1,0.625,2.0955880000000002,0.5283687858
532,Sudeste,2,2,3,1,3,0.058824,2,0.5,1,0.5,2.058824,0.5106386262
533,Sudeste,16,2,2,0,3.5,0.882353,2,0.25,0,0.625,2.507353,0.7269505273
534,Sudeste,13,1,2,1,1,0.705882,1,0.25,1,0,1.705882,0.3404254293
535,Sudeste,2,2,3,1,3,0.058824,2,0.5,1,0.5,2.058824,0.5106386262
536,Sudeste,10,1,2,0,3.5,0.529412,1,0.25,0,0.625,1.654412,0.315603013
537,Nordeste,1,2,4,1,3,0,2,0.75,1,0.5,2,0.4822695993
538,Nordeste,2,1,3,1,1,0.058824,1,0.5,1,0,1.058824,0.0283690269
539,Nordeste,16,2,1,1,3.5,0.882353,2,0,1,0.625,3.007353,0.968085327
540,Nordeste,1,2,3,0,1,0,2,0.5,0,0,1,0
541,Nordeste,4,2,3,1,3,0.176471,2,0.5,1,0.5,2.1764710000000003,0.5673761978
542,Nordeste,9,2,3,1,3.5,0.470588,2,0.5,1,0.625,2.5955880000000002,0.7695035854
543,Nordeste,3,1,4,1,3.5,0.117647,1,0.75,1,0.625,1.742647,0.3581560711
544,Nordeste,2,2,3,1,3.5,0.058824,2,0.5,1,0.625,2.183824,0.5709223261
545,Nordeste,9,1,2,0,3.5,0.470588,1,0.25,0,0.625,1.595588,0.2872339861
546,Nordeste,6,2,1,1,3.5,0.294118,2,0,1,0.625,2.419118,0.6843974692
547,Norte,1,2,3,1,3,0,2,0.5,1,0.5,2,0.4822695993
548,Norte,1,1,2,1,3,0,1,0.25,1,0.5,1.5,0.2411347997
