objectid,name.x,surfline_n.x,normalized_heritage,normalized_priority,normalized_wsr,normalized_protected,normalized_bandeira,normalized_ramsar,response_added,response_index
69,Maimba,NA,0,0.0042691744,0,0.0380632179,0,0,0.0423323923,0.0154765015
70,Praia do Morro,NA,0,0.0296155933,0,0.1050928481,0,0,0.1347084414,0.0492487025
71,Ponta de Bororo,NA,0,0.1116201898,0,0.3133121029,0,0,0.4249322927,0.1553530264
72,Tropical,NA,0,0.107369936,0,0.383372473,0,0,0.490742409,0.1794128611
73,Dunas de Ule,NA,0,0.09666273,0,0.355228714,0,0,0.451891444,0.1652091513
74,Guarapari - Ule,NA,0,0.0952420115,0,0.3530307578,0,0,0.4482727693,0.1638861827
75,Ponta da Fruta,NA,0,0.0519165699,0,0.270658054,0,0,0.3225746239,0.1179315974
76,Coral Dois,NA,0,0.0272079213,0,0.0858265984,0,0,0.1130345197,0.0413248299
77,Ponta da Belina,NA,0,0.0272079213,0,0.0814625668,0,0,0.1086704881,0.0397293628
78,Coral Um,NA,0,0.0272079213,0,0.0715846085,0,0,0.0987925298,0.0361180328
79,Barrinha,NA,0,0.0274054672,0,0.0508350983,0,0,0.0782405655,0.028604342
80,Praia de Camburi,NA,0,0.0876244524,0,0.1340752911,0.3333333333,0,0.5550330768,0.2029171934
81,Velzyland,NA,0,0.013623518500000001,0,0.092132992,0,0,0.1057565105,0.0386640278
82,Ponta da Cacao,NA,0,4.701039e-4,0,0.0573430619,0,0,0.0578131658,0.0211361914
83,"Manguinhos, Brazil",NA,0,0,0,0.0524529938,0,0,0.0524529938,0.0191765405
84,Praia da Baleia,NA,0,0,0,0.0849145506,0,0,0.0849145506,0.0310443161
85,Jacaraipe - Solemar,NA,0,0,0,0.2637524428,0,0,0.2637524428,0.0964265152
86,Xa,NA,0,0,0,0.269829938,0,0,0.269829938,0.0986484157
87,Nova Almeida,NA,0,0.073890944,0,0.2791325465,0,0,0.3530234905,0.1290635439
88,Praia Grande,NA,0,0.1065493782,0,0.286048464,0,0,0.3925978422,0.1435317202
89,Regencia,NA,0,0,0,0,0,0,0,0
90,Guriri,NA,0,0.0313737634,0,0,0,0,0.0313737634,0.011470084
91,Milionarios,NA,0,0.1626858227,0,0.0105829231,0,0,0.1732687458,0.0633461483
92,Sul,NA,0,0.174457878,0,0.0283149865,0,0,0.2027728645,0.0741327
93,Pedra da Cachorra,NA,0,0.1774276693,0,0.040503867,0,0,0.2179315363,0.0796746312
94,Jardim Atlantico,NA,0,0.1777626768,0,0.048022857100000003,0,0,0.2257855339,0.0825460117
95,Baduska,NA,0,0.1782320726,0,0.0558104134,0,0,0.234042486,0.0855647102
96,Norte,NA,0,0.0410801544,0,0.5070756947,0,0,0.5481558491,0.2004029149
97,Havaizinho,NA,0,0.2806668894,0,0.6152426622,0,0,0.8959095516,0.3275398518
98,Sao Jose,NA,0,0.0910789445,0,0.5092885333,0,0,0.6003674778,0.2194912136
99,Corals,NA,0,0.0396899327,0,0.4796632997,0,0,0.5193532324,0.1898728287
100,Tony,NA,0,0.1137375867,0,0.1362148487,0,0,0.2499524354,0.0913813046
101,Meridien,NA,0,0.1183512758,0,0.1229971881,0,0,0.2413484639,0.0882357376
102,Amaralina,NA,0,0.1271099873,0,0.0827260251,0,0,0.2098360124,0.07671495
103,Tubao,NA,0,0.1276452256,0,0.0599920667,0,0,0.1876372923,0.0685992139
104,Psiu,NA,0,0.1198055667,0,0.0204506825,0,0,0.1402562492,0.051276952
105,Alex,NA,0,0.0799652702,0,0.0386240608,0,0,0.118589331,0.0433556399
106,Terceira Ponte,NA,0,0.0957376056,0,0.0568994399,0,0,0.1526370455,0.0558033065
107,SESC,NA,0,0.0924873156,0,0.0677174548,0,0,0.1602047704,0.0585700272
108,Farol,NA,0,0.1185014167,0,0.1363710273,0,0,0.254872444,0.0931800341
109,Pedro do Sal,NA,0,0.150099439,0,0.1530689441,0,0,0.3031683831,0.1108367771
110,Itapoa,NA,0,0.103032147,0,0.1067631582,0,0,0.2097953052,0.0767000676
111,Seper,NA,0,0.1682078865,0,0.1650378675,0,0,0.333245754,0.1218329068
112,Corrente,NA,0,0.1885518394,0,0.1786635562,0,0,0.3672153956,0.1342520303
113,Stela Maris,NA,0,0.1982710234,0,0.1853100329,0,0,0.3835810563,0.1402352304
114,Plator,NA,0,0.207871268,0,0.1980058842,0,0,0.4058771522,0.1483865665
115,Aleluia,NA,0,0.3319405176,0,0.281236199,0,0,0.6131767166,0.2241742044
116,Ipitanga,NA,0,0.3580300764,0,0.2972807014,0,0,0.6553107778,0.239578197
117,Vilas,NA,0,0.4501062242,0,0.3873966012,0,0,0.8375028254,0.3061866579
118,Busca Vida,NA,0,0.5866183943,0,0.473561936,0,0,1.0601803303,0.3875963904
119,Itacimirim,NA,0,0.827324713,0,0.6057773683,0.6666666667,0,2.099768748,0.7676644851
120,Praia do Forte,NA,0,0.7350510471,0,0.7225600762,0.3333333333,0,1.7909444566,0.65475993750000006
121,Imbassai,NA,0,0.6166964505,0,0.8859434888,0,0,1.5026399393,0.549357312
122,Costa do Sauipe,NA,0,0.4683549781,0,0.8888542133,0,0,1.3572091914,0.4961885903
123,Marlin,NA,0,0.1648149252,0,0.8833508751,0,0,1.0481658003,0.383203941
124,Conde,NA,0,0.1007988082,0,0.8805304352,0,0,0.9813292434,0.3587688449
125,Mangue Seco,NA,0,0.0364336123,0,0.542411567,0,0,0.5788451793,0.2116227737
126,Mosqueiro,NA,0,0.0500569174,0,0.0223952281,0,0,0.0724521455,0.0264881259
127,Aruana,NA,0,0.0027653522,0,0.0011284398,0,0,0.003893792,0.00142355
128,Hawaiizinho,NA,0,0.0083059524,0,0.0044778156,0,0,0.012783768,0.0046736788
129,Praia do Meio,NA,0,0.0083059524,0,0.0050867585,0,0,0.0133927109,0.0048963051
130,Pirambu,NA,0,0.0605876536,0,0.0586065205,0,0,0.1191941741,0.0435767674
131,Ponta do Mangue,NA,0,0.1592708128,0,0.0718513008,0,0,0.2311221136,0.0844970374
132,Pontal de Peba,NA,0,0.1223334924,0,0.3456918655,0,0,0.4680253579,0.1711076259
133,Mihai,NA,0,0.2068011277,0,0,0,0,0.2068011277,0.075605412
134,Pontal do Coruripe,NA,0,0.2140142014,0,4.079624e-4,0,0,0.2144221638,0.0783916229
135,Forjos,NA,0,0.2350751742,0,0.003375856,0,0,0.2384510302,0.087176451
136,Poxim,NA,0,0.17446828650000001,0,0.1485371338,0,0,0.3230054203,0.1180890943
137,Jacarecica,NA,0,0.0905525633,0,0.1064928484,0,0,0.1970454117,0.0720387732
138,Praia do Meio,NA,0,0.0588099021,0,0.0410315093,0,0,0.0998414114,0.0365014984
139,Praia do Pontal,NA,0,0.0062048211,0,0.2072567935,0,0,0.2134616146,0.0780404512
