objectid,name.x,surf_spot.x,normalized_employment,normalized_hotels,normalized_airports,social_added,social_subindex
71,Ponta de Bororo,NA,0.1655643251,0.0545454545,1,1.2201097796,0.5642051854
72,Tropical,NA,0.1508199331,0,0,0.1508199331,0.0697424033
73,Dunas de Ule,NA,0.1508199331,0,0,0.1508199331,0.0697424033
74,Guarapari - Ule,NA,0.1508199331,0,0,0.1508199331,0.0697424033
75,Ponta da Fruta,NA,0.1508199331,0,0,0.1508199331,0.0697424033
76,Coral Dois,NA,0.0891557915,0.0363636364,0,0.1255194279,0.0580429018
77,Ponta da Belina,NA,0.0636862804,0.0363636364,0,0.1000499168,0.0462652483
78,Coral Um,NA,0.0636862804,0.0545454545,0,0.1182317349,0.0546729147
79,Barrinha,NA,0.0636862804,0.0545454545,0,0.1182317349,0.0546729147
80,Praia de Camburi,NA,0.1328771534,0.2,1,1.3328771534,0.6163512612
81,Velzyland,NA,0.1702248864,0.1272727273,1,1.2974976137,0.5999909959
82,Ponta da Cacao,NA,0.1702248864,0.1090909091,0,0.2793157955,0.1291616728
83,"Manguinhos, Brazil",NA,0.1702248864,0.0363636364,0,0.2065885228,0.0955310069
84,Praia da Baleia,NA,0.1702248864,0.0363636364,0,0.2065885228,0.0955310069
85,Jacaraipe - Solemar,NA,0.0670163447,0.0545454545,0,0.1215617992,0.0562128086
86,Xa,NA,0.0670163447,0.0545454545,0,0.1215617992,0.0562128086
87,Nova Almeida,NA,0.0788893812,0.0181818182,0,0.0970711994,0.0448878248
88,Praia Grande,NA,0.0788893812,0.0181818182,0,0.0970711994,0.0448878248
89,Regencia,NA,0.1239214195,0,0,0.1239214195,0.0573039481
90,Guriri,NA,0.0886617897,0,0,0.0886617897,0.0409991317
91,Milionarios,NA,0.0602099475,0,1,1.0602099475,0.4902640402
92,Sul,NA,0.0602099475,0,1,1.0602099475,0.4902640402
93,Pedra da Cachorra,NA,0.0602099475,0,1,1.0602099475,0.4902640402
94,Jardim Atlantico,NA,0.0602099475,0,1,1.0602099475,0.4902640402
95,Baduska,NA,0.0602099475,0,1,1.0602099475,0.4902640402
96,Norte,NA,0.0602099475,0,0,0.0602099475,0.0278423837
97,Havaizinho,NA,0.0200699825,0,0,0.0200699825,0.0092807946
98,Sao Jose,NA,0,0,0,0,0
99,Corals,NA,0,0,0,0,0
100,Tony,NA,0.114306713,0.2727272727,0,0.3870339857,0.1789728968
101,Meridien,NA,0.114306713,0.2727272727,0,0.3870339857,0.1789728968
102,Amaralina,NA,0.114306713,0.2727272727,0,0.3870339857,0.1789728968
103,Tubao,NA,0.114306713,0.2909090909,0,0.4052158039,0.1873805633
104,Psiu,NA,0.114306713,0.2727272727,0,0.3870339857,0.1789728968
105,Alex,NA,0.114306713,0.1090909091,0,0.2233976221,0.1033038985
106,Terceira Ponte,NA,0.1560456862,0.0909090909,0,0.2469547771,0.1141972371
