id,join_count,numerical_direction,numerical_frequency,numerical_experience,numerical_quality,normalized_clusters,normalized_direction,normalized_frequency,normalized_experience,normalized_quality,added_surf,surf_subindex
172,4,0,1,1,1,0.1875,0,0,1,0,1.1875,0.0535714286
173,4,0,1,1,1,0.1875,0,0,1,0,1.1875,0.0535714286
174,4,0,1,1,1,0.1875,0,0,1,0,1.1875,0.0535714286
175,3,0,1,1,1,0.125,0,0,1,0,1.125,0.0357142857
176,1,0,1,1,1,0,0,0,1,0,1,0
177,2,0,1,1,1,0.0625,0,0,1,0,1.0625,0.0178571429
178,2,0,1,1,1,0.0625,0,0,1,0,1.0625,0.0178571429
179,9,0,1,1,1,0.5,0,0,1,0,1.5,0.1428571429
180,6,0,1,1,1,0.3125,0,0,1,0,1.3125,0.0892857143
181,7,0,1,1,1,0.375,0,0,1,0,1.375,0.1071428571
182,5,0,1,1,1,0.25,0,0,1,0,1.25,0.0714285714
183,2,0,1,1,1,0.0625,0,0,1,0,1.0625,0.0178571429
184,2,0,1,1,1,0.0625,0,0,1,0,1.0625,0.0178571429
185,5,0,1,1,1,0.25,0,0,1,0,1.25,0.0714285714
186,5,0,1,1,1,0.25,0,0,1,0,1.25,0.0714285714
187,5,0,1,1,1,0.25,0,0,1,0,1.25,0.0714285714
188,5,0,1,1,1,0.25,0,0,1,0,1.25,0.0714285714
189,1,0,1,1,1,0,0,0,1,0,1,0
190,5,0,1,1,1,0.25,0,0,1,0,1.25,0.0714285714
191,5,0,1,1,1,0.25,0,0,1,0,1.25,0.0714285714
192,6,0,1,1,1,0.3125,0,0,1,0,1.3125,0.0892857143
193,6,0,1,1,1,0.3125,0,0,1,0,1.3125,0.0892857143
194,4,0,1,1,1,0.1875,0,0,1,0,1.1875,0.0535714286
445,6,0,2,0,3.5,0.3125,0,0.3333333333,0,0.625,1.2708333333,0.0773809524
446,6,1,4,1,3,0.3125,1,1,1,0.5,3.8125,0.8035714286
447,8,1,4,1,1,0.4375,1,1,1,0,3.4375,0.6964285714
448,10,1,4,1,3,0.5625,1,1,1,0.5,4.0625,0.875
449,10,1,3,1,3.5,0.5625,1,0.6666666667,1,0.625,3.8541666667,0.8154761905
450,10,1,4,1,3.5,0.5625,1,1,1,0.625,4.1875,0.9107142857
451,9,1,4,1,3,0.5,1,1,1,0.5,4,0.8571428571
452,8,0,4,0,3.5,0.4375,0,1,0,0.625,2.0625,0.3035714286
453,8,1,4,1,3,0.4375,1,1,1,0.5,3.9375,0.8392857143
454,2,1,3,1,3,0.0625,1,0.6666666667,1,0.5,3.2291666667,0.6369047619
455,2,1,4,0,3.5,0.0625,1,1,0,0.625,2.6875,0.4821428571
456,2,1,4,1,3,0.0625,1,1,1,0.5,3.5625,0.7321428571
457,1,0,3,0,3.5,0,0,0.6666666667,0,0.625,1.2916666667,0.0833333333
458,7,0,2,0,3.5,0.375,0,0.3333333333,0,0.625,1.3333333333,0.0952380952
459,8,1,3,1,3.5,0.4375,1,0.6666666667,1,0.625,3.7291666667,0.7797619048
460,7,1,2,0,3.5,0.375,1,0.3333333333,0,0.625,2.3333333333,0.3809523809
461,15,1,4,1,3,0.875,1,1,1,0.5,4.375,0.9642857143
462,17,1,3,1,3.5,1,1,0.6666666667,1,0.625,4.2916666667,0.9404761905
463,15,1,4,1,3.5,0.875,1,1,1,0.625,4.5,1
464,2,1,4,0,3.5,0.0625,1,1,0,0.625,2.6875,0.4821428571
