id,normalized_terr_rich,normalized_mar_rich,normalized_marine_eco,normalized_terr_pa,normalized_ocean_pa,normalized_tree_cover,added_biodiversity,biodiversity_subindex
93,0.7981534504,0.4528652669,0.0737850872,0.834560172,0.1980012473,0.6514227354,3.0087879592,NA
94,0.7989963523,0.4557926415,0.0762753726,0.7930401152,0.2263665024,0.6121812065,2.9626521905,NA
95,0.799481792,0.4538730134,0.0767261706,0.7466796886,0.2191194498,0.5922019938,2.8880821082,NA
96,0.7998925486,0.4551393267,0.0768916812,0.7075892146,0.2096542442,0.562949889,2.8121169043,NA
97,0.8001759119,0.4562162969,0.0770335065,0.6724625191,0.2002364741,0.5419193946,2.7480441031,NA
98,0.8011120667,0.4310444113,0.0112396644,0,0.021633941,0.8001684872,2.0651985706,NA
99,0.7802058182,0.3933474128,0.0040274557,0,0.069608446,0.889549643,2.1367387757,NA
100,0.7571925685,0.5057418407,0.0123071847,0,0.3507875495,0.8234640791,2.4494932225,NA
101,0.7516460566,0.5208317027,0.0152523638,0,0.5167751922,0.6939439716,2.4984492869,NA
102,0.6817638517,0.4480001442,0.0265273561,0,0.627959152,0.0392358379,1.8234863419,NA
103,0.6815088226,0.4440030959,0.0275151441,0,0.6396130163,0.0429707372,1.8356108161,NA
104,0.6801006527,0.4300894298,0.028258713,0,0.6735648823,0.060304702,1.8723183798,NA
105,0.6789611086,0.4244859575,0.0299598461,0,0.6777562451,0.0729865562,1.8841497135,NA
106,0.6764700029,0.425727592,0.0475314415,0,0.65576172,0.1002394803,1.9057302367,NA
107,0.6726941472,0.4383993724,0.0519875229,0,0.5847358463,0.1382490683,1.8860659571,NA
108,0.6717111614,0.4490309356,0.0488066253,0,0.5461116425,0.1655306688,1.8811910336,NA
109,0.6710561005,0.45326006680000003,0.0460097895,0,0.539486102,0.1737195488,1.8835316076,NA
110,0.6687499821,0.4552056098,0.0380450168,0,0.6243889566,0.132778951,1.9191685163,NA
111,0.6686866555,0.4619527065,0.0395789628,8.086e-7,0.6072807373,0.1385154055,1.9160152762,NA
112,0.6694585227,0.4617136894,0.0373215308,0,0.5464497066,0.1879102135,1.902853663,NA
113,0.6686001014,0.4690921549,0.0402811631,7.432693e-4,0.5956777648,0.1398045598,1.9141990133,NA
114,0.6685764282,0.4749244142,0.0407761927,0.0041870751,0.5750120707,0.142303344,1.9057795249,NA
115,0.66851503859999994,0.4786318283,0.0409346678,0.0068784864,0.5636382521,0.1429892577,1.9015875309,NA
116,0.6684604641,0.4790443395,0.0403078854,0.0101669255,0.5571656865,0.1334187665,1.8885640675,NA
117,0.6688902053,0.5152278393,0.0396810746,0.0769011518,0.4012964458,0.1672484172,1.869245134,NA
118,0.6690971178,0.5235203062,0.0391593951,0.1107967693,0.3524289536,0.1866442947,1.8816468367,NA
119,0.669954416,0.5446667645,0.0268887151,0.2936793272,0.1568635216,0.2147211341,1.9067738785,NA
120,0.669963841,0.5482737617,0.0255255454,0.4908055922,0.0354875698,0.2728401747,2.0428964848,NA
