objectid,normalized_built_area,normalized_human_mod,normalized_pop_change,normalized_ports,normalized_roads,added_pressure,pressure_index
70,0.227557443,0.6116468045,0.036506955,0,0.2320697053,1.1077809078,0.2708515868
71,0.1134650938,0.6059730399,0.036506955,0,0.154074412,0.9100195007,0.2212921104
72,0.0251574674,0.5609824652,0.0924316062,0,0.152732088,0.8313036268,0.2015657262
73,0.0073049041,0.5642669359,0.0924316062,0,0.1433543749,0.8073578211,0.1955648507
74,0.0074185574,0.5659382548,0.0924316062,0,0.1427403497,0.8085287681,0.1958582927
75,0.0178678154,0.6214640161,0.0924316062,0,0.1903782783,0.922141716,0.2243299662
76,0.1204900154,0.7198245837,0.0656745766,0,0.2862388799,1.1922280556,0.2920142418
77,0.1285435913,0.7290726218,0.0753971171,0,0.29857306,1.2315863902,0.3018775336
78,0.1513511599,0.7541469695,0.0753971171,0,0.333651601,1.3145468475,0.3226676204
79,0.2039107557,0.8037899174,0.0753971171,0,0.4467740458,1.529871836,0.3766285719
80,0.6613263836,0.872500489,0.1171012578,0.619047619,0.5143493717,2.7843251211,0.6909975326
81,0.2507447103,0.9078875959,0.1335911117,0.2380952381,0.4222555838,1.9525742398000001,0.4825587942
82,0.1492512048,0.9226380428,0.1335911117,0.2380952381,0.418354445,1.8619300424,0.4598431439
83,0.0678500189,0.9128714308,0.1335911117,0.0476190476,0.4170160909,1.5789476999,0.3889270995
84,0.0500853307,0.8424332042,0.1335911117,0,0.3768293695,1.4029390161,0.344818907
85,0.0182983557,0.6706906327,0.0995606885,0,0.2327182437,1.0212679206,0.2491712276
86,0.0161427851,0.6630061232,0.0995606885,0,0.2308626824,1.0095722792,0.2462402722
87,0.0095052817,0.5094112381,0.0787654599,0,0.1596249455,0.7573069252,0.1830219777
88,0.0061821966,0.4831419429,0.0787654599,0,0.138638618,0.7067282174,0.1703468339
89,1.273224e-4,0.2566102315,0.0620246378,0,0.0224023961,0.3411645878,0.0787357236
90,0,0.2865531988,0.0401433816,0.0476190476,0.0235289021,0.3978445301,0.0929398512
91,0.0100306563,0.4838179804,0,0.0476190476,0.1455152803,0.6869829646,0.1653986269
92,0.0103435715,0.5084042493,0,0.0476190476,0.1420145372,0.7083814056,0.1707611268
93,0.0105640974,0.5154743334,0,0.0476190476,0.1410124397,0.7146699181,0.1723370429
94,0.0106826242,0.5307866097,0,0.0476190476,0.1426463007,0.7317345822,0.1766134881
95,0.0123162811,0.5388895811,0,0.0476190476,0.142110953,0.7409358628,0.1789193508
96,0.0042906376,0.3487987654,0,0.1428571429,0.0725257585,0.5684723044,0.1356995751
97,5.29295e-5,0.1741962898,0,0,0.0392891839,0.2135384032,0.0467522998
98,2.72739e-5,0.2246286205,0.006137821,0,0.0580242234,0.2888179388,0.0656175295
99,3.67301e-5,0.2421397249,0.006137821,0,0.0499454673,0.2982597433,0.0679836681
100,0.3898913436,0.9773860911,0.5027629923,0.0476190476,0.566522478,2.4841819526,0.6157809446
101,0.3902511618,0.9714453916,0.5027629923,0.0476190476,0.5762096531,2.4882882464,0.6168099915
102,0.3898068131,0.9567635814,0.5027629923,0.0476190476,0.6128839721,2.5098364065,0.6222100114
103,0.4164558843,0.9582731469,0.5027629923,0.0476190476,0.6674772899,2.592588361,0.642947847
104,0.4775952263,0.9465320817,0.5027629923,0.0476190476,0.8023020146,2.7768113625,0.6891145669
105,0.3322489652,0.91917766,0.5027629923,0,0.8397275381,2.5939171556,0.643280846
106,0.3244916085,0.9003959192,0.3053290296,0,0.8220941331,2.3523106904,0.5827336943
107,0.3084714073,0.8958626249,0.3053290296,0,0.7932062481,2.3028693099,0.5703435674
108,0.1403224033,0.8726275439,0.3053290296,0,0.5435094217,1.8617883985,0.4598076476
109,0.1308073019,0.863016488,0.3053290296,0,0.5272507272,1.8264035467,0.4509401201
110,0.1825168603,0.87450826,0.2208347206,0,0.6786533185,1.9565131594,0.4835458968
111,0.1223814747,0.8610999752,0.3053290296,0,0.510861824,1.7996723035,0.4442412073
112,0.1139670419,0.855789032,0.3053290296,0,0.5043097967,1.7793949002,0.4391596421
113,0.1109272257,0.850482671,0.2621008831,0,0.5033605733,1.7268713531,0.4259971169
114,0.1083898666,0.8519453562,0.2621008831,0,0.4887184917,1.7111545976,0.4220584608
115,0.0886005738,0.8181856641,0.2621008831,0,0.4627483791,1.6316355001,0.4021307869
116,0.0869194925,0.808434334,0.2621008831,0,0.4689154648,1.6263701744,0.4008112838
117,0.0798038124,0.7639307771,0.2621008831,0,0.4593775878,1.5652130604,0.3854851664
118,0.0379493555,0.6677347761,0.2621008831,0,0.3182343803,1.286019395,0.3155185734
119,0.0138036596,0.5200864315,0.09605398,0,0.1741469612,0.8040910323,0.1947461857
120,0.0084813596,0.4880430958,0.09605398,0,0.1516151659,0.7441936013,0.1797357478
121,2.3626e-5,0.2650644785,0.0080727804,0,0.0576670335,0.3308279184,0.0761453298
122,0,0.1948698247,0.0094758962,0,0.0259529387,0.2302986596,0.0509524597
123,0,0.2408915145,0.0069053189,0,0.0421869403,0.2899837737,0.0659096905
124,7.40481e-5,0.3720461528,0.0037812782,0,0.0481638307,0.4240653098,0.0995108406
125,3.65327e-5,0.3011838171,0.0040055822,0,0.0298701292,0.3350960612,0.0772149365
126,1.874105e-4,0.424080616,0.0927980594,0,0.0692520743,0.5863181602,0.1401717888
127,0.0284955491,0.583525139,0.0927980594,0,0.2056831603,0.9105019078,0.2214130028
128,0.0483108319,0.6479676672,0.13386027650000001,0.0476190476,0.2957616843,1.1735195075,0.2873258354
129,0.1340078467,0.7557179072,0.094406562,0.0476190476,0.4585578632,1.4903092267,0.3667140884
130,7.241422e-4,0.3827227212,0.0059250836,0,0.0450465419,0.4344184889,0.1021053718
131,7.014323e-4,0.2616539924,0.0029348686,0,0.0184287054,0.2837189987,0.0643397231
