id,normalized_heritage,normalized_priority,normalized_wsr,normalized_protected,normalized_bandeira,normalized_ramsar,response_added,response_index
93,0,0.1966408352,0,0.0115043971,0,0,0.2081452323,0.0782935466
94,0,0.2108698981,0,0.0307804229,0,0,0.241650321,0.0908964403
95,0,0.2144595305,0,0.0440306109,0,0,0.2584901414,0.0972307158
96,0,0.2148644591,0,0.0522042929,0,0,0.267068752,0.1004575486
97,0,0.215431825,0,0.0606699256,0,0,0.2761017506,0.1038552987
98,0,0.0496542095,0,0.5512276794,0,0,0.6008818889,0.2260209069
99,0,0.3392463501,0,0.6688129376,0,0,1.0080592877,0.3791801328
100,0,0.1100885094,0,0.5536331938,0,0,0.6637217032,0.2496580178
101,0,0.0479738271,0,0.5214284383,0,0,0.5694022654,0.2141798893
102,0,0.1374763567,0,0.1480753184,0,0,0.2855516751,0.107409875
103,0,0.1430529935,0,0.1337067725,0,0,0.276759766,0.1041028103
104,0,0.153639781,0,0.0899291275,0,0,0.2435689085,0.0916181143
105,0,0.1542867317,0,0.0652156829,0,0,0.2195024146,0.0825655353
106,0,0.1448108169,0,0.0222313599,0,0,0.1670421768,0.0628326881
107,0,0.0966552405,0,0.0419871266,0,0,0.1386423671,0.0521501382
108,0,0.1157195036,0,0.0618537755,0,0,0.1775732791,0.0667939479
109,0,0.1117908284,0,0.0736137343,0,0,0.1854045627,0.0697396746
110,0,0.1432344713,0,0.1482450957,0,0,0.291479567,0.1096396435
111,0,0.1814274817,0,0.1663969299,0,0,0.3478244116,0.1308336803
112,0,0.1245365274,0,0.1160592168,0,0,0.2405957442,0.0904997626
113,0,0.2033154385,0,0.1794080088,0,0,0.3827234473,0.1439609052
114,0,0.2279054853,0,0.1942201105,0,0,0.4221255958,0.1587819699
115,0,0.2396532113,0,0.2014453079,0,0,0.4410985192,0.1659186093
116,0,0.2512571728,0,0.2152466095,0,0,0.4665037823,0.1754747645
117,0,0.401221568,0,0.3057239362,0,0,0.7069455042,0.2659165919
118,0,0.4327564154,0,0.323165462,0,0,0.7559218774,0.2843389882
119,0,0.5440502588,0,0.4211279139,0,0,0.9651781727,0.3630504596
120,0,0.709054602,0,0.5147958179,0,0,1.2238504199,0.4603496743
121,0,1.0000000001,0,0.6585234836,1,0,2.6585234837,1
122,0,0.888467413,0,0.7854746701,0.5,0,2.1739420831,0.8177253639
123,0,0.7454104081,0,0.9630841677,0,0,1.7084945758,0.6426479158
124,0,0.5661078078,0,0.9662483342,0,0,1.532356142,0.576393683
125,0,0.1992143163,0,0.9602658105,0,0,1.1594801268,0.4361368759
126,0,0.1218370564,0,0.9571997899,0,0,1.0790368463,0.4058782452
127,0,0.0440378628,0,0.5896403091,0,0,0.6336781719,0.2383571843
