OID_,Join_Count,TARGET_FID,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,BUFF_DIST,ORIG_FID,CD_MUN,NM_MUN,SIGLA,CNAE,Units,People,Shape_Length_1,Shape_Area_1,F2010,SLR_employment_per_capita,F2010_1,F2010_12,F2010_12_13,F2010_12_13_14,F2010_12_13_14_15,F2010_12_13_14_15_16,F2010_12_13_14_15_16_17,F2010_12_13_14_15_16_17_18,F2010_12_13_14_15_16_17_18_19,F2010_12_13_14_15_16_17_18_19_20,F2010_12_13_14_15_16_17_18_19_20_21,F2010_12_13_14_15_16_17_18_19_20_21_22,Shape_Length,Shape_Area
30,3,30,38,Sudeste,NA,Praia da Boracéia,-23.758372999999999,-45.828777000000002,NA,NA,NA,NA,NA,10000.000000000000000,30,3506359,Bertioga,SP,"Sports, recreation and leisure activities",28.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,47645.000000000000000,0.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,62831.853071795863798,314159265.358979284763336
31,2,31,39,Sudeste,NA,Praia Dura,-23.496058000000001,-45.171014000000000,NA,NA,NA,NA,NA,10000.000000000000000,31,3532306,Natividade da Serra,SP,"Sports, recreation and leisure activities",1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,6678.000000000000000,0.000000000000000,6678.000000000000000,6678.000000000000000,6678.000000000000000,6678.000000000000000,6678.000000000000000,6678.000000000000000,6678.000000000000000,6678.000000000000000,6678.000000000000000,6678.000000000000000,6678.000000000000000,6678.000000000000000,62831.853071795863798,314159265.358979284763336
32,2,32,40,Sudeste,NA,Pereque-Acu,-23.424565000000001,-45.062697000000000,NA,NA,NA,NA,NA,10000.000000000000000,32,3550001,São Luiz do Paraitinga,SP,"Sports, recreation and leisure activities",4.000000000000000,4.000000000000000,0.000000000000000,0.000000000000000,10397.000000000000000,0.000384726363374,10397.000000000000000,10397.000000000000000,10397.000000000000000,10397.000000000000000,10397.000000000000000,10397.000000000000000,10397.000000000000000,10397.000000000000000,10397.000000000000000,10397.000000000000000,10397.000000000000000,10397.000000000000000,62831.853071795863798,314159265.358979284763336
33,2,33,41,Sudeste,NA,Itamambuca,-23.406683000000001,-45.008741000000001,NA,NA,NA,NA,NA,10000.000000000000000,33,3550001,São Luiz do Paraitinga,SP,"Sports, recreation and leisure activities",4.000000000000000,4.000000000000000,0.000000000000000,0.000000000000000,10397.000000000000000,0.000384726363374,10397.000000000000000,10397.000000000000000,10397.000000000000000,10397.000000000000000,10397.000000000000000,10397.000000000000000,10397.000000000000000,10397.000000000000000,10397.000000000000000,10397.000000000000000,10397.000000000000000,10397.000000000000000,62831.853071795863798,314159265.358979284763336
34,2,34,42,Sudeste,NA,Praia da Fazenda,-23.361352000000000,-44.859766000000000,NA,NA,NA,NA,NA,10000.000000000000000,34,3303807,Paraty,RJ,"Sports, recreation and leisure activities",20.000000000000000,195.000000000000000,0.000000000000000,0.000000000000000,37533.000000000000000,0.005195428023339,37533.000000000000000,37533.000000000000000,37533.000000000000000,37533.000000000000000,37533.000000000000000,37533.000000000000000,37533.000000000000000,37533.000000000000000,37533.000000000000000,37533.000000000000000,37533.000000000000000,37533.000000000000000,62831.853071795863798,314159265.358979284763336
35,1,35,43,Sudeste,NA,Aventureiro,-23.184405999999999,-44.315804000000000,NA,NA,NA,NA,NA,10000.000000000000000,35,3300100,Angra dos Reis,RJ,"Sports, recreation and leisure activities",52.000000000000000,567.000000000000000,0.000000000000000,0.000000000000000,169511.000000000000000,0.003344915669190,169511.000000000000000,169511.000000000000000,169511.000000000000000,169511.000000000000000,169511.000000000000000,169511.000000000000000,169511.000000000000000,169511.000000000000000,169511.000000000000000,169511.000000000000000,169511.000000000000000,169511.000000000000000,62831.853071795863798,314159265.358979284763336
36,1,36,44,Sudeste,NA,Praia do Leste,-23.179746000000002,-44.274093999999998,NA,NA,NA,NA,NA,10000.000000000000000,36,3300100,Angra dos Reis,RJ,"Sports, recreation and leisure activities",52.000000000000000,567.000000000000000,0.000000000000000,0.000000000000000,169511.000000000000000,0.003344915669190,169511.000000000000000,169511.000000000000000,169511.000000000000000,169511.000000000000000,169511.000000000000000,169511.000000000000000,169511.000000000000000,169511.000000000000000,169511.000000000000000,169511.000000000000000,169511.000000000000000,169511.000000000000000,62831.853071795863798,314159265.358979284763336
37,1,37,45,Sudeste,NA,Praia do Sul,-23.178656000000000,-44.296756999999999,NA,NA,NA,NA,NA,10000.000000000000000,37,3300100,Angra dos Reis,RJ,"Sports, recreation and leisure activities",52.000000000000000,567.000000000000000,0.000000000000000,0.000000000000000,169511.000000000000000,0.003344915669190,169511.000000000000000,169511.000000000000000,169511.000000000000000,169511.000000000000000,169511.000000000000000,169511.000000000000000,169511.000000000000000,169511.000000000000000,169511.000000000000000,169511.000000000000000,169511.000000000000000,169511.000000000000000,62831.853071795863798,314159265.358979284763336
38,1,38,46,Sudeste,NA,Praia do Meio,-23.066913000000000,-43.549809000000003,NA,NA,NA,NA,NA,10000.000000000000000,38,3304557,Rio de Janeiro,RJ,"Sports, recreation and leisure activities",2008.000000000000000,24331.000000000000000,0.000000000000000,0.000000000000000,6320446.000000000000000,0.003849570109451,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,62831.853071795863798,314159265.358979284763336
39,2,39,47,Sudeste,NA,Restinga a Marambaia,-23.061833000000000,-43.591673000000000,NA,NA,NA,NA,NA,10000.000000000000000,39,3302007,Itaguaí,RJ,"Sports, recreation and leisure activities",18.000000000000000,145.000000000000000,0.000000000000000,0.000000000000000,109091.000000000000000,0.001329165559029,109091.000000000000000,109091.000000000000000,109091.000000000000000,109091.000000000000000,109091.000000000000000,109091.000000000000000,109091.000000000000000,109091.000000000000000,109091.000000000000000,109091.000000000000000,109091.000000000000000,109091.000000000000000,62831.853071795863798,314159265.358979284763336
40,1,40,48,Sudeste,NA,Grumari,-23.050469000000000,-43.533907999999997,NA,NA,NA,NA,NA,10000.000000000000000,40,3304557,Rio de Janeiro,RJ,"Sports, recreation and leisure activities",2008.000000000000000,24331.000000000000000,0.000000000000000,0.000000000000000,6320446.000000000000000,0.003849570109451,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,62831.853071795863798,314159265.358979284763336
41,1,41,49,Sudeste,NA,Reserva,-23.022717000000000,-43.440916000000001,NA,NA,NA,NA,NA,10000.000000000000000,41,3304557,Rio de Janeiro,RJ,"Sports, recreation and leisure activities",2008.000000000000000,24331.000000000000000,0.000000000000000,0.000000000000000,6320446.000000000000000,0.003849570109451,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,62831.853071795863798,314159265.358979284763336
42,1,42,50,Sudeste,NA,Barra da Tijuca,-23.020340120000000,-43.372478489999999,NA,NA,NA,NA,NA,10000.000000000000000,42,3304557,Rio de Janeiro,RJ,"Sports, recreation and leisure activities",2008.000000000000000,24331.000000000000000,0.000000000000000,0.000000000000000,6320446.000000000000000,0.003849570109451,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,62831.853071795863798,314159265.358979284763336
43,1,43,51,Sudeste,NA,Barra da Tijuca,-23.014886109999999,-43.372222219999998,NA,NA,NA,NA,NA,10000.000000000000000,43,3304557,Rio de Janeiro,RJ,"Sports, recreation and leisure activities",2008.000000000000000,24331.000000000000000,0.000000000000000,0.000000000000000,6320446.000000000000000,0.003849570109451,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,62831.853071795863798,314159265.358979284763336
44,1,44,52,Sudeste,NA,Sao Conrado,-23.000617999999999,-43.264187000000000,NA,NA,NA,NA,NA,10000.000000000000000,44,3304557,Rio de Janeiro,RJ,"Sports, recreation and leisure activities",2008.000000000000000,24331.000000000000000,0.000000000000000,0.000000000000000,6320446.000000000000000,0.003849570109451,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,6320446.000000000000000,62831.853071795863798,314159265.358979284763336
45,3,45,53,Sudeste,NA,Bambui,-22.975255000000001,-42.916570000000000,NA,NA,NA,NA,NA,10000.000000000000000,45,3302700,Maricá,RJ,"Sports, recreation and leisure activities",31.000000000000000,153.000000000000000,0.000000000000000,0.000000000000000,127461.000000000000000,0.001200367171135,127461.000000000000000,127461.000000000000000,127461.000000000000000,127461.000000000000000,127461.000000000000000,127461.000000000000000,127461.000000000000000,127461.000000000000000,127461.000000000000000,127461.000000000000000,127461.000000000000000,127461.000000000000000,62831.853071795863798,314159265.358979284763336
46,3,46,54,Sudeste,NA,Itaipuacu,-22.971149000000000,-43.011260000000000,NA,NA,NA,NA,NA,10000.000000000000000,46,3302700,Maricá,RJ,"Sports, recreation and leisure activities",31.000000000000000,153.000000000000000,0.000000000000000,0.000000000000000,127461.000000000000000,0.001200367171135,127461.000000000000000,127461.000000000000000,127461.000000000000000,127461.000000000000000,127461.000000000000000,127461.000000000000000,127461.000000000000000,127461.000000000000000,127461.000000000000000,127461.000000000000000,127461.000000000000000,127461.000000000000000,62831.853071795863798,314159265.358979284763336
47,1,47,55,Sudeste,NA,Barra de Marica,-22.962100000000000,-42.809486999999997,NA,NA,NA,NA,NA,10000.000000000000000,47,3302700,Maricá,RJ,"Sports, recreation and leisure activities",31.000000000000000,153.000000000000000,0.000000000000000,0.000000000000000,127461.000000000000000,0.001200367171135,127461.000000000000000,127461.000000000000000,127461.000000000000000,127461.000000000000000,127461.000000000000000,127461.000000000000000,127461.000000000000000,127461.000000000000000,127461.000000000000000,127461.000000000000000,127461.000000000000000,127461.000000000000000,62831.853071795863798,314159265.358979284763336
