OBJECTID,Name,Surf_Spot,BUFF_DIST,ORIG_FID,Shape_Leng,Shape_Area,SUM_Area_S,high_perce
1,Cardoso, ,10000.000000000000000,0,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
2,Ravena, ,10000.000000000000000,1,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
3,Praia da Vila Imbituba, ,10000.000000000000000,2,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
4,Praia do Porto Imbituba, ,10000.000000000000000,3,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
5,Ponta da Pinheira, ,10000.000000000000000,4,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
6,Mocambique, ,10000.000000000000000,5,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
7,Ponta das Canas, ,10000.000000000000000,6,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
8,Itagua&ccedil;u, ,10000.000000000000000,7,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
9,Ilha Comprida, ,10000.000000000000000,8,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
10,Iguape, ,10000.000000000000000,9,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
11,Peruibe, ,10000.000000000000000,10,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
12,Praia dos Pescadores, ,10000.000000000000000,11,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
13,Itanhaem, ,10000.000000000000000,12,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
14,Praia Grande, ,10000.000000000000000,13,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
15,Praia do Forte dos Andradas, ,10000.000000000000000,14,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
16,Praia do Forte dos Andradas, ,10000.000000000000000,15,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
17,Praia da Ponta Grossa, ,10000.000000000000000,16,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
18,Itaipu, ,10000.000000000000000,17,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
19,Guaiuba, ,10000.000000000000000,18,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
20,Santos, ,10000.000000000000000,19,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
21,Morro do Maluf, ,10000.000000000000000,20,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
22,Praia da Enseada, ,10000.000000000000000,21,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
23,Embare, ,10000.000000000000000,22,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
24,Gonzaga, ,10000.000000000000000,23,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
25,Pereque, ,10000.000000000000000,24,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
26,Praia Preta, ,10000.000000000000000,25,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
27,Praia da Bertioga, ,10000.000000000000000,26,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
28,Maresias, ,10000.000000000000000,27,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
29,Canto de Moreira, ,10000.000000000000000,28,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
30,Itaguere, ,10000.000000000000000,29,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
31,Boicucanga, ,10000.000000000000000,30,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
32,Praia de Baleia, ,10000.000000000000000,31,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
33,Barra do Sahy, ,10000.000000000000000,32,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
34,Praia Preta, ,10000.000000000000000,33,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
35,Bananas Point, ,10000.000000000000000,34,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
36,Praia do Juquei, ,10000.000000000000000,35,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
37,Praia da Boracéia, ,10000.000000000000000,36,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
38,Praia Dura, ,10000.000000000000000,37,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
39,Pereque-Acu, ,10000.000000000000000,38,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
40,Itamambuca, ,10000.000000000000000,39,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
41,Praia da Fazenda, ,10000.000000000000000,40,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
42,Aventureiro, ,10000.000000000000000,41,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
43,Praia do Leste, ,10000.000000000000000,42,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
44,Praia do Sul, ,10000.000000000000000,43,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
45,Praia do Meio, ,10000.000000000000000,44,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
46,Restinga a Marambaia, ,10000.000000000000000,45,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
47,Grumari, ,10000.000000000000000,46,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
48,Reserva, ,10000.000000000000000,47,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
49,Barra da Tijuca, ,10000.000000000000000,48,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
50,Barra da Tijuca, ,10000.000000000000000,49,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
51,Sao Conrado, ,10000.000000000000000,50,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
52,Bambui, ,10000.000000000000000,51,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
