OBJECTID,Name,Lat,Lon,Zone,Surf_Spot,Surfline_n,Quality__0,Frequency_,Direction,Type,Experience,Latitude,Longitude,BUFF_DIST,ORIG_FID,Shape_Leng,Shape_Area,SUM_Area_S,mangrove_p
1,Cardoso,-28.585450000000002,-48.798270000000002, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,0,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
2,Ravena,-28.454780000000000,-48.751339999999999, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,1,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
3,Praia da Vila Imbituba,-28.252472220000001,-48.661850000000001, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,2,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
4,Praia do Porto Imbituba,-28.220199000000001,-48.663214000000004, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,3,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
5,Ponta da Pinheira,-27.878140999999999,-48.576442000000000, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,4,62831.853071795863798,314159265.358979284763336,0.507821702320684,0.001616446682674
6,Mocambique,-27.518350000000002,-48.392183330000002, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,5,62831.853071795863798,314159265.358979284763336,0.432469874449472,0.001376594365139
7,Ponta das Canas,-27.394818999999998,-48.435709000000003, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,6,62831.853071795863798,314159265.358979284763336,0.258092460305892,0.000821533816649
8,Itagua&ccedil;u,-26.184728000000000,-48.526327999999999, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,7,62831.853071795863798,314159265.358979284763336,4.600227092114950,0.014642977621107
9,Ilha Comprida,-24.783999999999999,-47.594999999999999, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,8,62831.853071795863798,314159265.358979284763336,6.225115160217460,0.019815156981298
10,Iguape,-24.753211000000000,-47.542059000000002, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,9,62831.853071795863798,314159265.358979284763336,9.640887822864340,0.030687899056066
11,Peruibe,-24.324427000000000,-46.978886000000003, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,10,62831.853071795863798,314159265.358979284763336,1.742675146670160,0.005547107275919
12,Praia dos Pescadores,-24.194862000000001,-46.798881999999999, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,11,62831.853071795863798,314159265.358979284763336,3.915625088354110,0.012463821762124
13,Itanhaem,-24.151427000000002,-46.707858000000002, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,12,62831.853071795863798,314159265.358979284763336,0.351565588776657,0.001119068025496
14,Praia Grande,-24.028497000000002,-46.438310000000001, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,13,62831.853071795863798,314159265.358979284763336,15.714160489710400,0.050019726369535
15,Praia do Forte dos Andradas,-24.028369000000001,-46.288159000000000, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,14,62831.853071795863798,314159265.358979284763336,1.064244718502710,0.003387596152183
16,Praia do Forte dos Andradas,-24.025659999999998,-46.285460000000000, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,15,62831.853071795863798,314159265.358979284763336,1.209899512403960,0.003851229760871
17,Praia da Ponta Grossa,-24.024816000000001,-46.314497000000003, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,16,62831.853071795863798,314159265.358979284763336,1.028508105728680,0.003273842980736
18,Itaipu,-24.019545000000001,-46.386795999999997, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,17,62831.853071795863798,314159265.358979284763336,12.603964793644600,0.040119665989295
19,Guaiuba,-24.017081999999998,-46.295202000000003, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,18,62831.853071795863798,314159265.358979284763336,1.618884634010920,0.005153069835967
20,Santos,-24.015000000000001,-46.353999999999999, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,19,62831.853071795863798,314159265.358979284763336,4.798876089314630,0.015275297017999
21,Morro do Maluf,-23.997560000000000,-46.251593999999997, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,20,62831.853071795863798,314159265.358979284763336,12.212997541506001,0.038875178573997
22,Praia da Enseada,-23.990651000000000,-46.209406000000001, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,21,62831.853071795863798,314159265.358979284763336,10.435548607026700,0.033217382893681
23,Embare,-23.980865999999999,-46.317684000000000, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,22,62831.853071795863798,314159265.358979284763336,15.136594757966501,0.048181277546185
24,Gonzaga,-23.974027000000000,-46.330098000000000, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,23,62831.853071795863798,314159265.358979284763336,16.616208121597001,0.052891033159917
