OID_,Join_Count,TARGET_FID,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,numerical_direction,numerical_frequency,numerical_experience,numerical_quality,BUFF_DIST,ORIG_FID,CD_MUN,NM_MUN,SIGLA,CNAE,Units,People,Shape_Length_1,Shape_Area_1,F2010,SLR_employment_per_capita,F2010_1,F2010_12,F2010_12_13,F2010_12_13_14,F2010_12_13_14_15,F2010_12_13_14_15_16,F2010_12_13_14_15_16_17,F2010_12_13_14_15_16_17_18,F2010_12_13_14_15_16_17_18_19,F2010_12_13_14_15_16_17_18_19_20,F2010_12_13_14_15_16_17_18_19_20_21,F2010_12_13_14_15_16_17_18_19_20_21_22,F2010_12_13_14_15_16_17_18_19_20_21_22_23,F2010_12_13_14_15_16_17_18_19_20_21_22_23_24,F2010_12_13_14_15_16_17_18_19_20_21_22_23_24_25,Shape_Length,Shape_Area
21,4,21,20,Sudeste,NA,Santos,-24.015000000000001,-46.353999999999999,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,21,3518701,Guarujá,SP,"Sports, recreation and leisure activities",104.000000000000000,581.000000000000000,0.000000000000000,0.000000000000000,290752.000000000000000,0.001998266563945,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,31415.926535897931899,78539816.339744821190834
22,2,22,21,Sudeste,NA,Morro do Maluf,-23.997560000000000,-46.251593999999997,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,22,3518701,Guarujá,SP,"Sports, recreation and leisure activities",104.000000000000000,581.000000000000000,0.000000000000000,0.000000000000000,290752.000000000000000,0.001998266563945,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,31415.926535897931899,78539816.339744821190834
23,1,23,22,Sudeste,NA,Praia da Enseada,-23.990651000000000,-46.209406000000001,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,23,3518701,Guarujá,SP,"Sports, recreation and leisure activities",104.000000000000000,581.000000000000000,0.000000000000000,0.000000000000000,290752.000000000000000,0.001998266563945,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,31415.926535897931899,78539816.339744821190834
24,3,24,23,Sudeste,NA,Embare,-23.980865999999999,-46.317684000000000,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,24,3518701,Guarujá,SP,"Sports, recreation and leisure activities",104.000000000000000,581.000000000000000,0.000000000000000,0.000000000000000,290752.000000000000000,0.001998266563945,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,31415.926535897931899,78539816.339744821190834
25,3,25,24,Sudeste,NA,Gonzaga,-23.974027000000000,-46.330098000000000,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,25,3518701,Guarujá,SP,"Sports, recreation and leisure activities",104.000000000000000,581.000000000000000,0.000000000000000,0.000000000000000,290752.000000000000000,0.001998266563945,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,31415.926535897931899,78539816.339744821190834
26,3,26,25,Sudeste,NA,Pereque,-23.927582999999998,-46.178826000000001,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,26,3506359,Bertioga,SP,"Sports, recreation and leisure activities",28.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,47645.000000000000000,0.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,31415.926535897931899,78539816.339744821190834
27,3,27,26,Sudeste,NA,Praia Preta,-23.874700000000001,-46.138959000000000,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,27,3506359,Bertioga,SP,"Sports, recreation and leisure activities",28.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,47645.000000000000000,0.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,31415.926535897931899,78539816.339744821190834
28,2,28,27,Sudeste,NA,Praia da Bertioga,-23.846986000000001,-46.126967999999998,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,28,3506359,Bertioga,SP,"Sports, recreation and leisure activities",28.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,47645.000000000000000,0.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,31415.926535897931899,78539816.339744821190834
29,1,29,28,Sudeste,NA,Maresias,-23.793693260000001,-45.559764340000001,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,29,3550704,São Sebastião,SP,"Sports, recreation and leisure activities",40.000000000000000,249.000000000000000,0.000000000000000,0.000000000000000,73942.000000000000000,0.003367504260096,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,31415.926535897931899,78539816.339744821190834
30,1,30,29,Sudeste,NA,Canto de Moreira,-23.793056000000000,-45.587394000000003,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,30,3550704,São Sebastião,SP,"Sports, recreation and leisure activities",40.000000000000000,249.000000000000000,0.000000000000000,0.000000000000000,73942.000000000000000,0.003367504260096,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,31415.926535897931899,78539816.339744821190834
31,1,31,30,Sudeste,NA,Itaguere,-23.786995000000001,-45.971372000000002,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,31,3506359,Bertioga,SP,"Sports, recreation and leisure activities",28.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,47645.000000000000000,0.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,31415.926535897931899,78539816.339744821190834
32,1,32,31,Sudeste,NA,Boicucanga,-23.784431000000001,-45.631354999999999,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,32,3550704,São Sebastião,SP,"Sports, recreation and leisure activities",40.000000000000000,249.000000000000000,0.000000000000000,0.000000000000000,73942.000000000000000,0.003367504260096,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,31415.926535897931899,78539816.339744821190834
33,1,33,32,Sudeste,NA,Praia de Baleia,-23.775839000000001,-45.683985999999997,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,33,3550704,São Sebastião,SP,"Sports, recreation and leisure activities",40.000000000000000,249.000000000000000,0.000000000000000,0.000000000000000,73942.000000000000000,0.003367504260096,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,31415.926535897931899,78539816.339744821190834
34,1,34,33,Sudeste,NA,Barra do Sahy,-23.774384999999999,-45.697569999999999,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,34,3550704,São Sebastião,SP,"Sports, recreation and leisure activities",40.000000000000000,249.000000000000000,0.000000000000000,0.000000000000000,73942.000000000000000,0.003367504260096,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,31415.926535897931899,78539816.339744821190834
35,1,35,34,Sudeste,NA,Praia Preta,-23.773009999999999,-45.715814999999999,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,35,3550704,São Sebastião,SP,"Sports, recreation and leisure activities",40.000000000000000,249.000000000000000,0.000000000000000,0.000000000000000,73942.000000000000000,0.003367504260096,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,31415.926535897931899,78539816.339744821190834
36,1,36,35,Sudeste,NA,Bananas Point,-23.771605000000001,-45.706209999999999,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,36,3550704,São Sebastião,SP,"Sports, recreation and leisure activities",40.000000000000000,249.000000000000000,0.000000000000000,0.000000000000000,73942.000000000000000,0.003367504260096,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,31415.926535897931899,78539816.339744821190834
37,1,37,36,Sudeste,NA,Praia do Juquei,-23.768115000000002,-45.745452999999998,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,37,3550704,São Sebastião,SP,"Sports, recreation and leisure activities",40.000000000000000,249.000000000000000,0.000000000000000,0.000000000000000,73942.000000000000000,0.003367504260096,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,31415.926535897931899,78539816.339744821190834
38,1,38,37,Sudeste,NA,Barra do Una,-23.763818000000001,-45.762779999999999,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,38,3550704,São Sebastião,SP,"Sports, recreation and leisure activities",40.000000000000000,249.000000000000000,0.000000000000000,0.000000000000000,73942.000000000000000,0.003367504260096,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,73942.000000000000000,31415.926535897931899,78539816.339744821190834
