OID_,Join_Count,TARGET_FID,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,BUFF_DIST,ORIG_FID,Shape_Length,Shape_Area,numerical_direction,numerical_frequency,numerical_experience,numerical_quality
24,15,24,23,Sudeste,NA,Embare,-23.980865999999999,-46.317684000000000,NA,NA,NA,NA,NA,10000.000000000000000,24,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
25,15,25,24,Sudeste,NA,Gonzaga,-23.974027000000000,-46.330098000000000,NA,NA,NA,NA,NA,10000.000000000000000,25,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
26,8,26,25,Sudeste,NA,Pereque,-23.927582999999998,-46.178826000000001,NA,NA,NA,NA,NA,10000.000000000000000,26,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
27,8,27,26,Sudeste,NA,Praia Preta,-23.874700000000001,-46.138959000000000,NA,NA,NA,NA,NA,10000.000000000000000,27,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
28,8,28,27,Sudeste,NA,Praia da Bertioga,-23.846986000000001,-46.126967999999998,NA,NA,NA,NA,NA,10000.000000000000000,28,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
29,7,29,28,Sudeste,NA,Maresias,-23.793693260000001,-45.559764340000001,NA,NA,NA,NA,NA,10000.000000000000000,29,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
30,9,30,29,Sudeste,NA,Canto de Moreira,-23.793056000000000,-45.587394000000003,NA,NA,NA,NA,NA,10000.000000000000000,30,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
31,4,31,30,Sudeste,NA,Itaguere,-23.786995000000001,-45.971372000000002,NA,NA,NA,NA,NA,10000.000000000000000,31,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
32,12,32,31,Sudeste,NA,Boicucanga,-23.784431000000001,-45.631354999999999,NA,NA,NA,NA,NA,10000.000000000000000,32,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
33,12,33,32,Sudeste,NA,Praia de Baleia,-23.775839000000001,-45.683985999999997,NA,NA,NA,NA,NA,10000.000000000000000,33,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
34,12,34,33,Sudeste,NA,Barra do Sahy,-23.774384999999999,-45.697569999999999,NA,NA,NA,NA,NA,10000.000000000000000,34,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
35,12,35,34,Sudeste,NA,Praia Preta,-23.773009999999999,-45.715814999999999,NA,NA,NA,NA,NA,10000.000000000000000,35,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
36,12,36,35,Sudeste,NA,Bananas Point,-23.771605000000001,-45.706209999999999,NA,NA,NA,NA,NA,10000.000000000000000,36,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
37,11,37,36,Sudeste,NA,Praia do Juquei,-23.768115000000002,-45.745452999999998,NA,NA,NA,NA,NA,10000.000000000000000,37,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
38,10,38,37,Sudeste,NA,Barra do Una,-23.763818000000001,-45.762779999999999,NA,NA,NA,NA,NA,10000.000000000000000,38,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
39,5,39,38,Sudeste,NA,Praia da Boracéia,-23.758372999999999,-45.828777000000002,NA,NA,NA,NA,NA,10000.000000000000000,39,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
40,5,40,39,Sudeste,NA,Praia Dura,-23.496058000000001,-45.171014000000000,NA,NA,NA,NA,NA,10000.000000000000000,40,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
41,10,41,40,Sudeste,NA,Pereque-Acu,-23.424565000000001,-45.062697000000000,NA,NA,NA,NA,NA,10000.000000000000000,41,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
42,8,42,41,Sudeste,NA,Itamambuca,-23.406683000000001,-45.008741000000001,NA,NA,NA,NA,NA,10000.000000000000000,42,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
43,2,43,42,Sudeste,NA,Praia da Fazenda,-23.361352000000000,-44.859766000000000,NA,NA,NA,NA,NA,10000.000000000000000,43,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
44,4,44,43,Sudeste,NA,Aventureiro,-23.184405999999999,-44.315804000000000,NA,NA,NA,NA,NA,10000.000000000000000,44,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
45,5,45,44,Sudeste,NA,Praia do Leste,-23.179746000000002,-44.274093999999998,NA,NA,NA,NA,NA,10000.000000000000000,45,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
46,4,46,45,Sudeste,NA,Praia do Sul,-23.178656000000000,-44.296756999999999,NA,NA,NA,NA,NA,10000.000000000000000,46,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
47,12,47,46,Sudeste,NA,Praia do Meio,-23.066913000000000,-43.549809000000003,NA,NA,NA,NA,NA,10000.000000000000000,47,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
48,7,48,47,Sudeste,NA,Restinga a Marambaia,-23.061833000000000,-43.591673000000000,NA,NA,NA,NA,NA,10000.000000000000000,48,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
49,15,49,48,Sudeste,NA,Grumari,-23.050469000000000,-43.533907999999997,NA,NA,NA,NA,NA,10000.000000000000000,49,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
50,14,50,49,Sudeste,NA,Reserva,-23.022717000000000,-43.440916000000001,NA,NA,NA,NA,NA,10000.000000000000000,50,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
51,11,51,50,Sudeste,NA,Barra da Tijuca,-23.020340120000000,-43.372478489999999,NA,NA,NA,NA,NA,10000.000000000000000,51,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
52,11,52,51,Sudeste,NA,Barra da Tijuca,-23.014886109999999,-43.372222219999998,NA,NA,NA,NA,NA,10000.000000000000000,52,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
53,17,53,52,Sudeste,NA,Sao Conrado,-23.000617999999999,-43.264187000000000,NA,NA,NA,NA,NA,10000.000000000000000,53,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
54,1,54,53,Sudeste,NA,Bambui,-22.975255000000001,-42.916570000000000,NA,NA,NA,NA,NA,10000.000000000000000,54,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
55,9,55,54,Sudeste,NA,Itaipuacu,-22.971149000000000,-43.011260000000000,NA,NA,NA,NA,NA,10000.000000000000000,55,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
56,1,56,55,Sudeste,NA,Barra de Marica,-22.962100000000000,-42.809486999999997,NA,NA,NA,NA,NA,10000.000000000000000,56,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
57,11,57,56,Sudeste,NA,Camboinhas,-22.961998000000001,-43.059922999999998,NA,NA,NA,NA,NA,10000.000000000000000,57,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
58,15,58,57,Sudeste,NA,Pirantininga,-22.955044999999998,-43.088653999999998,NA,NA,NA,NA,NA,10000.000000000000000,58,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
59,2,59,58,Sudeste,NA,Jacone,-22.946556000000001,-42.679789000000000,NA,NA,NA,NA,NA,10000.000000000000000,59,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
60,2,60,59,Sudeste,NA,Figueira,-22.944991999999999,-42.188828000000001,NA,NA,NA,NA,NA,10000.000000000000000,60,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
61,18,61,60,Sudeste,NA,Praia do Fora,-22.944794000000002,-43.155304000000001,NA,NA,NA,NA,NA,10000.000000000000000,61,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
62,17,62,61,Sudeste,NA,Laje do Pao de Acucar,-22.938409000000000,-43.151797000000002,NA,NA,NA,NA,NA,10000.000000000000000,62,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
63,6,63,62,Sudeste,NA,Canal,-22.937418999999998,-42.487813000000003,NA,NA,NA,NA,NA,10000.000000000000000,63,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
64,1,64,63,Sudeste,NA,Praia Seca,-22.936126000000002,-42.361598000000001,NA,NA,NA,NA,NA,10000.000000000000000,64,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
65,5,65,64,Sudeste,NA,Caravelas,-22.814850000000000,-41.953901999999999,NA,NA,NA,NA,NA,10000.000000000000000,65,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
66,6,66,65,Sudeste,NA,Tucuns,-22.799863999999999,-41.929282000000001,NA,NA,NA,NA,NA,10000.000000000000000,66,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
67,3,67,66,Sudeste,NA,Praia Brava,-22.754252000000001,-41.872608999999997,NA,NA,NA,NA,NA,10000.000000000000000,67,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
68,1,68,67,Sudeste,NA,Marataizes,-21.044882999999999,-40.827455999999998,NA,NA,NA,NA,NA,10000.000000000000000,68,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
69,2,69,68,Sudeste,NA,Ponta do Ubu,-20.793246000000000,-40.579551000000002,NA,NA,NA,NA,NA,10000.000000000000000,69,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
70,3,70,69,Sudeste,NA,Ponta dos Castelhanos,-20.755085000000001,-40.560755000000000,NA,NA,NA,NA,NA,10000.000000000000000,70,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
71,3,71,70,Sudeste,NA,Maimba,-20.707021999999998,-40.514367999999997,NA,NA,NA,NA,NA,10000.000000000000000,71,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
72,3,72,71,Sudeste,NA,Praia do Morro,-20.659787999999999,-40.493842999999998,NA,NA,NA,NA,NA,10000.000000000000000,72,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
73,5,73,72,Sudeste,NA,Ponta de Bororo,-20.614518000000000,-40.415382000000001,NA,NA,NA,NA,NA,10000.000000000000000,73,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
74,6,74,73,Sudeste,NA,Tropical,-20.559543999999999,-40.391810000000000,NA,NA,NA,NA,NA,10000.000000000000000,74,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
75,5,75,74,Sudeste,NA,Dunas de Ule,-20.542100000000001,-40.379860999999998,NA,NA,NA,NA,NA,10000.000000000000000,75,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
76,5,76,75,Sudeste,NA,Guarapari - Ule,-20.541319000000001,-40.378385999999999,NA,NA,NA,NA,NA,10000.000000000000000,76,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
77,6,77,76,Sudeste,NA,Ponta da Fruta,-20.516836999999999,-40.358133000000002,NA,NA,NA,NA,NA,10000.000000000000000,77,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
78,10,78,77,Sudeste,NA,Coral Dois,-20.448948000000001,-40.330300000000001,NA,NA,NA,NA,NA,10000.000000000000000,78,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
79,10,79,78,Sudeste,NA,Ponta da Belina,-20.445827000000001,-40.329245000000000,NA,NA,NA,NA,NA,10000.000000000000000,79,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
80,9,80,79,Sudeste,NA,Coral Um,-20.437659000000000,-40.326006999999997,NA,NA,NA,NA,NA,10000.000000000000000,80,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
81,10,81,80,Sudeste,NA,"Barrao, Brazil",-20.427381000000000,-40.320982000000001,NA,NA,NA,NA,NA,10000.000000000000000,81,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
82,10,82,81,Sudeste,NA,Barrinha,-20.422540999999999,-40.321933999999999,NA,NA,NA,NA,NA,10000.000000000000000,82,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
83,7,83,82,Sudeste,NA,Praia de Camburi,-20.279677000000000,-40.248994000000003,NA,NA,NA,NA,NA,10000.000000000000000,83,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
84,7,84,83,Sudeste,NA,Velzyland,-20.244838999999999,-40.216205000000002,NA,NA,NA,NA,NA,10000.000000000000000,84,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
85,7,85,84,Sudeste,NA,Ponta da Cacao,-20.219573000000000,-40.196268000000003,NA,NA,NA,NA,NA,10000.000000000000000,85,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
86,7,86,85,Sudeste,NA,"Manguinhos, Brazil",-20.199344000000000,-40.190266999999999,NA,NA,NA,NA,NA,10000.000000000000000,86,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
87,9,87,86,Sudeste,NA,Praia da Baleia,-20.171105000000001,-40.184866000000000,NA,NA,NA,NA,NA,10000.000000000000000,87,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
88,7,88,87,Sudeste,NA,Jacaraipe - Solemar,-20.109774999999999,-40.171481000000000,NA,NA,NA,NA,NA,10000.000000000000000,88,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
89,7,89,88,Sudeste,NA,Xa,-20.107229000000000,-40.171174999999998,NA,NA,NA,NA,NA,10000.000000000000000,89,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
90,5,90,89,Sudeste,NA,Nova Almeida,-20.058461999999999,-40.183000999999997,NA,NA,NA,NA,NA,10000.000000000000000,90,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
91,4,91,90,Sudeste,NA,Praia Grande,-20.047100000000000,-40.182743000000002,NA,NA,NA,NA,NA,10000.000000000000000,91,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
92,1,92,91,Sudeste,NA,Regencia,-19.562811000000000,-39.764263999999997,NA,NA,NA,NA,NA,10000.000000000000000,92,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
93,1,93,92,Sudeste,NA,Guriri,-18.910750000000000,-39.738563999999997,NA,NA,NA,NA,NA,10000.000000000000000,93,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
94,6,94,93,Nordeste,NA,Milionarios,-14.847631000000000,-39.022942000000000,NA,NA,NA,NA,NA,10000.000000000000000,94,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
95,6,95,94,Nordeste,NA,Sul,-14.831120000000000,-39.022562999999998,NA,NA,NA,NA,NA,10000.000000000000000,95,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
96,6,96,95,Nordeste,NA,Pedra da Cachorra,-14.821026000000000,-39.023632999999997,NA,NA,NA,NA,NA,10000.000000000000000,96,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
97,6,97,96,Nordeste,NA,Jardim Atlantico,-14.815026000000000,-39.023400000000002,NA,NA,NA,NA,NA,10000.000000000000000,97,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
98,6,98,97,Nordeste,NA,Baduska,-14.809442000000001,-39.023423000000001,NA,NA,NA,NA,NA,10000.000000000000000,98,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
99,1,99,98,Nordeste,NA,Norte,-14.660090000000000,-39.063006999999999,NA,NA,NA,NA,NA,10000.000000000000000,99,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
100,1,100,99,Nordeste,NA,Havaizinho,-14.468062000000000,-39.023161000000002,NA,NA,NA,NA,NA,10000.000000000000000,100,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
101,10,101,100,Nordeste,NA,Sao Jose,-14.316062000000001,-38.990701000000001,NA,NA,NA,NA,NA,10000.000000000000000,101,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
102,9,102,101,Nordeste,NA,Corals,-14.275408000000001,-38.982568999999998,NA,NA,NA,NA,NA,10000.000000000000000,102,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
103,9,103,102,Nordeste,NA,Tony,-13.016731999999999,-38.488781000000003,NA,NA,NA,NA,NA,10000.000000000000000,103,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
104,9,104,103,Nordeste,NA,Meridien,-13.016598000000000,-38.484878999999999,NA,NA,NA,NA,NA,10000.000000000000000,104,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
105,10,105,104,Nordeste,NA,Amaralina,-13.015369000000000,-38.471834000000001,NA,NA,NA,NA,NA,10000.000000000000000,105,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
106,12,106,105,Nordeste,NA,Tubao,-13.010683999999999,-38.461410999999998,NA,NA,NA,NA,NA,10000.000000000000000,106,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
107,12,107,106,Nordeste,NA,Psiu,-12.995919000000001,-38.439390000000003,NA,NA,NA,NA,NA,10000.000000000000000,107,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
108,16,108,107,Nordeste,NA,Alex,-12.973279000000000,-38.406477000000002,NA,NA,NA,NA,NA,10000.000000000000000,108,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
109,16,109,108,Nordeste,NA,Terceira Ponte,-12.963839999999999,-38.396822000000000,NA,NA,NA,NA,NA,10000.000000000000000,109,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
110,17,110,109,Nordeste,NA,SESC,-12.960485000000000,-38.390998000000003,NA,NA,NA,NA,NA,10000.000000000000000,110,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
111,17,111,110,Nordeste,NA,Farol,-12.958147000000000,-38.352812999999998,NA,NA,NA,NA,NA,10000.000000000000000,111,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
112,17,112,111,Nordeste,NA,Pedro do Sal,-12.954224000000000,-38.347234000000000,NA,NA,NA,NA,NA,10000.000000000000000,112,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
113,17,113,112,Nordeste,NA,Itapoa,-12.952339000000000,-38.369608999999997,NA,NA,NA,NA,NA,10000.000000000000000,113,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
114,17,114,113,Nordeste,NA,Seper,-12.952040999999999,-38.343243999999999,NA,NA,NA,NA,NA,10000.000000000000000,114,62831.853071795863798,314159265.358979284763336,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
