OBJECTID,Join_Count,TARGET_FID,Name,Lat,Lon,Zone,Surf_Spot,Surfline_n,Quality__0,Frequency_,Direction,Type,Experience,Latitude,Longitude,BUFF_DIST,ORIG_FID,numerical_,numerical1,numerica_1,numerica_2,Shape_Leng,Shape_Area
1,8,1,Cardoso,-28.585450000000002,-48.798270000000002, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,0,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,62831.853071795863798,314159265.358979284763336
2,5,2,Ravena,-28.454780000000000,-48.751339999999999, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,1,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,62831.853071795863798,314159265.358979284763336
3,5,3,Praia da Vila Imbituba,-28.252472220000001,-48.661850000000001, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,2,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,62831.853071795863798,314159265.358979284763336
4,7,4,Praia do Porto Imbituba,-28.220199000000001,-48.663214000000004, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,3,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,62831.853071795863798,314159265.358979284763336
5,4,5,Ponta da Pinheira,-27.878140999999999,-48.576442000000000, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,4,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,62831.853071795863798,314159265.358979284763336
6,5,6,Mocambique,-27.518350000000002,-48.392183330000002, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,5,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,62831.853071795863798,314159265.358979284763336
7,6,7,Ponta das Canas,-27.394818999999998,-48.435709000000003, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,6,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,62831.853071795863798,314159265.358979284763336
8,7,8,Itagua&ccedil;u,-26.184728000000000,-48.526327999999999, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,7,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,62831.853071795863798,314159265.358979284763336
9,2,9,Ilha Comprida,-24.783999999999999,-47.594999999999999, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,8,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,62831.853071795863798,314159265.358979284763336
10,2,10,Iguape,-24.753211000000000,-47.542059000000002, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,9,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,62831.853071795863798,314159265.358979284763336
11,2,11,Peruibe,-24.324427000000000,-46.978886000000003, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,10,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,62831.853071795863798,314159265.358979284763336
12,2,12,Praia dos Pescadores,-24.194862000000001,-46.798881999999999, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,11,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,62831.853071795863798,314159265.358979284763336
13,1,13,Itanhaem,-24.151427000000002,-46.707858000000002, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,12,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,62831.853071795863798,314159265.358979284763336
14,4,14,Praia Grande,-24.028497000000002,-46.438310000000001, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,13,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,62831.853071795863798,314159265.358979284763336
15,13,15,Praia do Forte dos Andradas,-24.028369000000001,-46.288159000000000, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,14,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,62831.853071795863798,314159265.358979284763336
16,13,16,Praia do Forte dos Andradas,-24.025659999999998,-46.285460000000000, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,15,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,62831.853071795863798,314159265.358979284763336
17,15,17,Praia da Ponta Grossa,-24.024816000000001,-46.314497000000003, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,16,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,62831.853071795863798,314159265.358979284763336
18,9,18,Itaipu,-24.019545000000001,-46.386795999999997, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,17,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,62831.853071795863798,314159265.358979284763336
19,14,19,Guaiuba,-24.017081999999998,-46.295202000000003, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,18,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,62831.853071795863798,314159265.358979284763336
20,14,20,Santos,-24.015000000000001,-46.353999999999999, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,19,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,62831.853071795863798,314159265.358979284763336
