OID_,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,numerical_direction,numerical_frequency,numerical_experience,numerical_quality,state,sci_10km,sci_5km,sci_1km,sci_wo_climate,nm_regiao,sum_10km,hab_10km,normalized_carbon,normalized_cp,climate_added,climate_index
214,213,Sul,Rio Grande Do Sul,Cal,-29.349421,-49.72985,3.5,3,Right and left,Beach-break,All surfers,2,3,1,3.5,Rio Grande do Sul,0.4669613056,0.5240149089,0.3364841957,0.4815968419,Sul,0,0.26773893859,0,0.3805635726,0.3805635726,0.2403425707
215,214,Sul,Rio Grande Do Sul,Ilha dos Lobos,-29.346877,-49.704412,5,2,Left,Reef-rocky,Pros or kamikaze only...,1,2,0,5,Rio Grande do Sul,0.3695577859,0.4108275026,0.3688982856,0.3715369083,Sul,0,0.236845984137,0,0.3366523911,0.3366523911,0.2126107356
216,215,Sul,Rio Grande Do Sul,Prainha,-29.342435,-49.724497,3.5,3,Right and left,Beach-break,Experienced surfers,2,3,0,3.5,Rio Grande do Sul,0.3864849939,0.4384493041,0.2577482479,0.3871492197,Sul,0,0.251346758676,0,0.357263762,0.357263762,0.2256277194
217,216,Sul,Rio Grande Do Sul,Saraiva,-29.340396,-49.723241,3.5,3,Right and left,Beach-break,Experienced surfers,2,3,0,3.5,Rio Grande do Sul,0.3832698183,0.4344434798,0.2640793206,0.3876403304,Sul,0,0.239610723251,0,0.3405821856,0.3405821856,0.215092573
218,217,Sul,Rio Grande Do Sul,Molhes,-29.327311,-49.712008,3.5,3,Right and left,Beach-break,All surfers,2,3,1,3.5,Rio Grande do Sul,0.4401389278,0.495072807,0.4202725758,0.4827568118,Sul,0,0.177463849786,0,0.2522467484,0.2522467484,0.1593048739
219,218,Sul,Rio Grande Do Sul,Passo de Torres,-29.324159,-49.712416,3.5,2,Right and left,Rivermouth,Experienced surfers,2,2,0,3.5,Santa Catarina,0.346746381,0.4155576138,0.3135635675,0.3656323677,Sul,0,0.177976751086,0,0.2529757852,0.2529757852,0.1597652926
220,219,Sul,Santa Catarina South,Gaivota,-29.164828,-49.582157,3,2,Right and left,Beach-break,Experienced surfers,2,2,0,3,Santa Catarina,0.2113138923,0.2337816327,0.1570397041,0.26337192,Sul,0,0.00309777174515,0,0.0044031663,0.0044031663,0.0027807924
221,220,Sul,Santa Catarina South,Arroio do Silva,-28.943866,-49.385605,3.5,2,Right and left,Beach-break,Experienced surfers,2,2,0,3.5,Santa Catarina,0.2762603014,0.2912973889,0.2018635419,0.3093909312,Sul,0,0.0948075840529,0,0.1347593035,0.1347593035,0.0851064047
222,221,Sul,Santa Catarina South,Morro dos Conventos,-28.937256,-49.329643,3.5,3,Right and left,Beach-break,All surfers,2,3,1,3.5,Santa Catarina,0.3856635457,0.4340190592,0.4556766105,0.4014873758,Sul,0,0.211416907958,0,0.3005075549,0.3005075549,0.1897836878
223,222,Sul,Santa Catarina South,Rincão,-28.833847,-49.216003,3.5,4,Right and left,Beach-break,Experienced surfers,2,4,0,3.5,Santa Catarina,0.2116138663,0.2495524007,0.3305012952,0.2649396327,Sul,0,0,0,0,0,0
224,223,Sul,Santa Catarina South,Jaguaruna,-28.635157,-48.948212,3.5,3,Right and left,Beach-break,All surfers,2,3,1,3.5,Santa Catarina,0.297086094,0.3538158527,0.4044047552,0.3719504871,Sul,0,0,0,0,0,0
225,224,Sul,Santa Catarina South,Camacho,-28.615946,-48.859506,3,2,NA,Beach-break,All surfers,1,2,1,3,Santa Catarina,0.2753906466,0.2981878596,0.2985104017,0.344787882,Sul,0,0,0,0,0,0
226,225,Sul,Santa Catarina South,Cigana,-28.613535,-48.845387,3,3,Right and left,Beach-break,Experienced surfers,2,3,0,3,Santa Catarina,0.2684573943,0.330703188,0.2721393011,0.3361074806,Sul,0,0,0,0,0,0
227,226,Sul,Santa Catarina South,Cardozo,-28.607516,-48.822995,3.5,4,Right and left,Beach-break,All surfers,2,4,1,3.5,Santa Catarina,0.3782005508,0.4427115183,0.332539395,0.4683201067,Sul,0,0.0134739738546,0,0.0191518785,0.0191518785,0.0120952504
228,227,Sul,Santa Catarina South,Cemiterio,-28.604342,-48.811998,5,1,Right,Point-break,Pros or kamikaze only...,1,1,0,5,Santa Catarina,0.2925713518,0.3233988714,0.2797575043,0.352129192,Sul,0,0.0368175241772,0,0.0523323526,0.0523323526,0.0330501736
229,228,Sul,Santa Catarina South,Prainha do Farol,-28.600442,-48.816655,3,1,Right,Beach-break,All surfers,1,1,1,3,Santa Catarina,0.2927332328,0.3360628959,0.2527562207,0.3520912869,Sul,0,0.0374426652509,0,0.0532209268,0.0532209268,0.0336113472
1,0,Sul,NA,Cardoso,-28.58545,-48.79827,NA,NA,NA,NA,NA,1,1,1,1,Santa Catarina,0.22600278,0.2343296563,0.2472544794,0.2620271643,Sul,0,0.0543792820385,0,0.0772945988,0.0772945988,0.0488149258
230,229,Sul,Santa Catarina South,Ipoa,-28.536689,-48.765521,3,4,Right and left,Beach-break,All surfers,2,4,1,3,Santa Catarina,0.3959933557,0.40177662,0.4074426553,0.459768237,Sul,0,0.0935809786689,0,0.1330158092,0.1330158092,0.0840053117
231,230,Sul,Santa Catarina South,Teresa,-28.524982,-48.762453,3,3,Right and left,Beach-break,All surfers,2,3,1,3,Santa Catarina,0.3855201898,0.4318648881,0.4125919089,0.4462407095,Sul,0,0.0946597897718,0,0.1345492291,0.1345492291,0.0849737335
232,231,Sul,Santa Catarina South,Praia de Cima,-28.49735,-48.748752,3.5,2,Right and left,Beach-break,All surfers,2,2,1,3.5,Santa Catarina,0.4131729006,0.4626066425,0.4503005094,0.4643128454,Sul,0,0.137661907085,0,0.1956723495,0.1956723495,0.1235756622
