FID,Name,Surf_Spot,Quality,Frequency,Direction,Type,Experience
124,Costa do Sauipe, ,0.000000000000000,0, , , 
125,Marlin, ,0.000000000000000,0, , , 
126,Conde, ,0.000000000000000,0, , , 
127,Mangue Seco, ,0.000000000000000,0, , , 
128,Mosqueiro, ,0.000000000000000,0, , , 
129,Aruana, ,0.000000000000000,0, , , 
130,Hawaiizinho, ,0.000000000000000,0, , , 
131,Praia do Meio, ,0.000000000000000,0, , , 
132,Pirambu, ,0.000000000000000,0, , , 
133,Ponta do Mangue, ,0.000000000000000,0, , , 
134,Pontal de Peba, ,0.000000000000000,0, , , 
135,Mihai, ,0.000000000000000,0, , , 
136,Pontal do Coruripe, ,0.000000000000000,0, , , 
137,Forjos, ,0.000000000000000,0, , , 
138,Poxim, ,0.000000000000000,0, , , 
139,Jacarecica, ,0.000000000000000,0, , , 
140,Praia do Meio, ,0.000000000000000,0, , , 
141,Praia do Pontal, ,0.000000000000000,0, , , 
142,Salgema, ,0.000000000000000,0, , , 
143,Pier do Emissario, ,0.000000000000000,0, , , 
144,Praia do Sobral, ,0.000000000000000,0, , , 
145,"Pico da Barra, Brazil", ,0.000000000000000,0, , , 
146,Pedra Virada, ,0.000000000000000,0, , , 
147,Praia de Jatiuca, ,0.000000000000000,0, , , 
148,Garca Torta, ,0.000000000000000,0, , , 
149,Mirante da Sirena, ,0.000000000000000,0, , , 
150,Japaratinga, ,0.000000000000000,0, , , 
151,Impossivel, ,0.000000000000000,0, , , 
152,Serrambi, ,0.000000000000000,0, , , 
153,Porto de Galinhas, ,0.000000000000000,0, , , 
154,Cupe, ,0.000000000000000,0, , , 
155,Gaibu, ,0.000000000000000,0, , , 
156,Bessa, ,0.000000000000000,0, , , 
157,Saji, ,0.000000000000000,0, , , 
158,Farol, ,0.000000000000000,0, , , 
159,Xilauzinho, ,0.000000000000000,0, , , 
160,Mar Aberto, ,0.000000000000000,0, , , 
161,Pontal, ,0.000000000000000,0, , , 
162,Mar da Frente, ,0.000000000000000,0, , , 
163,Lajinha, ,0.000000000000000,0, , , 
164,Afogados, ,0.000000000000000,0, , , 
165,Sororoca, ,0.000000000000000,0, , , 
166,Abacateiro, ,0.000000000000000,0, , , 
167,Tibau do Sul, ,0.000000000000000,0, , , 
168,Tabatinga, ,0.000000000000000,0, , , 
169,Xoxoline, ,0.000000000000000,0, , , 
170,Pirangi Reef, ,0.000000000000000,0, , , 
171,Cotovelo, ,0.000000000000000,0, , , 
172,Miami, ,0.000000000000000,0, , , 
173,Areia Preta, ,0.000000000000000,0, , , 
174,Praia dos Artistas, ,0.000000000000000,0, , , 
175,Genipabu, ,0.000000000000000,0, , , 
176,Touros Area, ,0.000000000000000,0, , , 
177,Urca da Concei&ccedil;&atilde;o, ,0.000000000000000,0, , , 
178,Cocoa das Lavadeiras, ,0.000000000000000,0, , , 
179,Baia das Ratas, ,0.000000000000000,0, , , 
180,Volta da Jurema, ,0.000000000000000,0, , , 
181,Portao, ,0.000000000000000,0, , , 
182,Barra do Ceara, ,0.000000000000000,0, , , 
183,Praia do Pecem, ,0.000000000000000,0, , , 
184,Tabinha, ,0.000000000000000,0, , , 
185,Pedra do Meio, ,0.000000000000000,0, , , 
186,Havaizinho, ,0.000000000000000,0, , , 
187,Curral, ,0.000000000000000,0, , , 
188,Outside, ,0.000000000000000,0, , , 
189,Atins, ,0.000000000000000,0, , , 
190,Ponta d'Areia, ,0.000000000000000,0, , , 
191,S&atilde;o Marcos, ,0.000000000000000,0, , , 
192,Calhau, ,0.000000000000000,0, , , 
193,Olho D'Agu, ,0.000000000000000,0, , , 
194,Ponta do Farol, ,0.000000000000000,0, , , 
195, ,Hermenegildo,3.000000000000000,3,Right and left,Beach-break,All surfers
196, ,Navio,3.000000000000000,2,Right and left,Beach-break,All surfers
197, ,Tres Marias,5.000000000000000,2,Right and left,Sand-bar,Pros or kamikaze only...
198, ,Praia do Cassino,3.000000000000000,2,Right and left,Sand-bar,All surfers
199, ,Sao Jose do Norte,3.000000000000000,0,Right and left,Beach-break,All surfers
200, ,Quintão,3.500000000000000,3,Right and left,Sand-bar,Experienced surfers
201, ,Nova Tramandaí,3.000000000000000,3,Right and left,Beach-break,All surfers
202, ,Oasis Sul,3.000000000000000,3,Right and left,Beach-break,All surfers
203, ,Tramandai - Malvina,3.500000000000000,3,Right and left,Beach-break,All surfers
204, ,Tramandai,3.000000000000000,3,Right and left,Beach-break,All surfers
205, ,Rainha do Mar,3.500000000000000,5,Right and left,Beach-break,All surfers
206, ,Xangri-lá,3.000000000000000,3,Right and left,Beach-break,All surfers
207, ,Atlântida - Pier,3.000000000000000,3,Right and left,Sand-bar,All surfers
208, ,Capao da Canoa,3.000000000000000,3,Right and left,Sand-bar,All surfers
209, ,Capao Novo,3.000000000000000,3,Right and left,Beach-break,All surfers
210, ,Curumim,3.000000000000000,4,Right and left,Beach-break,Experienced surfers
211, ,Itapeva,3.000000000000000,3,Right and left,Beach-break,All surfers
212, ,Guarita,3.000000000000000,2,Right and left,Beach-break,All surfers
213, ,Cal,3.500000000000000,3,Right and left,Beach-break,All surfers
214, ,Ilha dos Lobos,5.000000000000000,2,Left,Reef-rocky,Pros or kamikaze only...
215, ,Prainha,3.500000000000000,3,Right and left,Beach-break,Experienced surfers
216, ,Saraiva,3.500000000000000,3,Right and left,Beach-break,Experienced surfers
217, ,Molhes,3.500000000000000,3,Right and left,Beach-break,All surfers
218, ,Passo de Torres,3.500000000000000,2,Right and left,Rivermouth,Experienced surfers
219, ,Gaivota,3.000000000000000,2,Right and left,Beach-break,Experienced surfers
220, ,Arroio do Silva,3.500000000000000,2,Right and left,Beach-break,Experienced surfers
221, ,Morro dos Conventos,3.500000000000000,3,Right and left,Beach-break,All surfers
222, ,Rincão,3.500000000000000,4,Right and left,Beach-break,Experienced surfers
223, ,Jaguaruna,3.500000000000000,3,Right and left,Beach-break,All surfers
224, ,Camacho,3.000000000000000,2, ,Beach-break,All surfers
225, ,Cigana,3.000000000000000,3,Right and left,Beach-break,Experienced surfers
226, ,Cardozo,3.500000000000000,4,Right and left,Beach-break,All surfers
227, ,Cemiterio,5.000000000000000,1,Right,Point-break,Pros or kamikaze only...
228, ,Prainha do Farol,3.000000000000000,1,Right,Beach-break,All surfers
