OID_,Join_Count,TARGET_FID,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,numerical_direction,numerical_frequency,numerical_experience,numerical_quality,BUFF_DIST,ORIG_FID,ogc_fid,idi_tuaria,idseq,cdi_tuaria,nome,tipo,cdbigrama,cdtrigrama,cdterminal,situacao,gestao,modalidade,companhia,cnpj,legislacao,pro_didade,endereco,com_emento,numero,bairro,cep,idcidade,cidade,idestado,estado,idr_rafica,reg_rafica,loc_izacao,latitude,longitude,observacao,fonte,cdc_troide,Shape_Length,Shape_Area
1,0,1,0,Sul,NA,Cardoso,-28.585450000000002,-48.798270000000002,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31415.926535897931899,78539816.339744821190834
2,0,2,1,Sul,NA,Ravena,-28.454780000000000,-48.751339999999999,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31415.926535897931899,78539816.339744821190834
3,2,3,2,Sul,NA,Praia da Vila Imbituba,-28.252472220000001,-48.661850000000001,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,3,137,204.000000000000000,0.000000000000000,BRSC014,Terminal Privativo de Imbituba,Terminal for private use,BR,BRS,BRSC014,Unknown,Privada,Terminal de uso privado,IMBITUBA EMPREENDIMENTOS E PARTICIPAOUES S.A,27276211000108,CA 013/2017-ANTAQ,0.000000000000000,RUA ITAGIBA, ,1500.000000000000000,AGUADA,88780000,4207304, , , ,0.000000000000000, , ,-28.2264,-48.657,"CA 013/2017-ANTAQ: adaptaE o do TA 362/2007-ANTAQ, de 06/06/2007",Antaq, ,31415.926535897931899,78539816.339744821190834
4,2,4,3,Sul,NA,Praia do Porto Imbituba,-28.220199000000001,-48.663214000000004,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,4,137,204.000000000000000,0.000000000000000,BRSC014,Terminal Privativo de Imbituba,Terminal for private use,BR,BRS,BRSC014,Unknown,Privada,Terminal de uso privado,IMBITUBA EMPREENDIMENTOS E PARTICIPAOUES S.A,27276211000108,CA 013/2017-ANTAQ,0.000000000000000,RUA ITAGIBA, ,1500.000000000000000,AGUADA,88780000,4207304, , , ,0.000000000000000, , ,-28.2264,-48.657,"CA 013/2017-ANTAQ: adaptaE o do TA 362/2007-ANTAQ, de 06/06/2007",Antaq, ,31415.926535897931899,78539816.339744821190834
5,0,5,4,Sul,NA,Ponta da Pinheira,-27.878140999999999,-48.576442000000000,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31415.926535897931899,78539816.339744821190834
6,0,6,5,Sul,NA,Mocambique,-27.518350000000002,-48.392183330000002,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31415.926535897931899,78539816.339744821190834
7,0,7,6,Sul,NA,Ponta das Canas,-27.394818999999998,-48.435709000000003,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31415.926535897931899,78539816.339744821190834
8,2,8,7,Sul,NA,Itagua&ccedil;u,-26.184728000000000,-48.526327999999999,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,8,81,145.000000000000000,0.000000000000000,BRSC007,Terminal Aquavi rio de S2o Francisco do Sul,Terminal for private use,BR,BRS,BRSC007,In operation,Privada,Terminal de uso privado,PETROBRAS TRANSPORTE S.A - TRANSPETRO,02709449002011,CA 79/2015-ANTAQ,0.000000000000000,Avenida Felipe Musse, ,803.000000000000000,Ubatuba,89240000,4216206, , , ,0.000000000000000, , ,-26.2279,-48.5299,Atualiza,Antaq, ,31415.926535897931899,78539816.339744821190834
9,0,9,8,Sul,NA,Caioba,-25.838000000000001,-48.534999999999997,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31415.926535897931899,78539816.339744821190834
10,0,10,9,Sudeste,NA,Ilha Comprida,-24.783999999999999,-47.594999999999999,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31415.926535897931899,78539816.339744821190834
11,0,11,10,Sudeste,NA,Iguape,-24.753211000000000,-47.542059000000002,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31415.926535897931899,78539816.339744821190834
12,0,12,11,Sudeste,NA,Peruibe,-24.324427000000000,-46.978886000000003,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31415.926535897931899,78539816.339744821190834
13,0,13,12,Sudeste,NA,Praia dos Pescadores,-24.194862000000001,-46.798881999999999,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31415.926535897931899,78539816.339744821190834
14,0,14,13,Sudeste,NA,Itanhaem,-24.151427000000002,-46.707858000000002,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31415.926535897931899,78539816.339744821190834
15,0,15,14,Sudeste,NA,Praia Grande,-24.028497000000002,-46.438310000000001,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31415.926535897931899,78539816.339744821190834
16,4,16,15,Sudeste,NA,Praia do Forte dos Andradas,-24.028369000000001,-46.288159000000000,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,16,585,300044.000000000000000,0.000000000000000,BRSP009,Base Logpstica de Dutos,Terminal for private use,BR,BRS,BRSP009,In operation,Privada,Terminal de uso privado,SAIPEM DO BRASIL SERVIoOS DE PETROLEO LTDA,05101651000604,CA 004/2013-SEP/PR,0.000000000000000,Avenida Maria de Oliveira Chere, ,2.000000000000000,CING,11420710,3518701, , , ,0.000000000000000, , ,-23.995,-46.297,Atualizado pela GAP em 08/02/2019 - Processo 50300.001934/2012-0,Antaq, ,31415.926535897931899,78539816.339744821190834
17,4,17,16,Sudeste,NA,Praia do Forte dos Andradas,-24.025659999999998,-46.285460000000000,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,17,585,300044.000000000000000,0.000000000000000,BRSP009,Base Logpstica de Dutos,Terminal for private use,BR,BRS,BRSP009,In operation,Privada,Terminal de uso privado,SAIPEM DO BRASIL SERVIoOS DE PETROLEO LTDA,05101651000604,CA 004/2013-SEP/PR,0.000000000000000,Avenida Maria de Oliveira Chere, ,2.000000000000000,CING,11420710,3518701, , , ,0.000000000000000, , ,-23.995,-46.297,Atualizado pela GAP em 08/02/2019 - Processo 50300.001934/2012-0,Antaq, ,31415.926535897931899,78539816.339744821190834
18,4,18,17,Sudeste,NA,Praia da Ponta Grossa,-24.024816000000001,-46.314497000000003,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,18,585,300044.000000000000000,0.000000000000000,BRSP009,Base Logpstica de Dutos,Terminal for private use,BR,BRS,BRSP009,In operation,Privada,Terminal de uso privado,SAIPEM DO BRASIL SERVIoOS DE PETROLEO LTDA,05101651000604,CA 004/2013-SEP/PR,0.000000000000000,Avenida Maria de Oliveira Chere, ,2.000000000000000,CING,11420710,3518701, , , ,0.000000000000000, , ,-23.995,-46.297,Atualizado pela GAP em 08/02/2019 - Processo 50300.001934/2012-0,Antaq, ,31415.926535897931899,78539816.339744821190834
19,0,19,18,Sudeste,NA,Itaipu,-24.019545000000001,-46.386795999999997,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31415.926535897931899,78539816.339744821190834
20,6,20,19,Sudeste,NA,Guaiuba,-24.017081999999998,-46.295202000000003,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,20,57,121.000000000000000,0.000000000000000,BRSP004,Sucoc0trico Cutrale,Terminal for private use,BR,BRS,BRSP004,In operation,Privada,Terminal de uso privado,SUCOCITRICO CUTRALE LTDA,61649810001806,CA 042/2014-ANTAQ,0.000000000000000,VIA SANTOS DUMONT,MARGEM ESQUERDA DO PORTO DE SANTOS,4364.000000000000000,CONCEI EOZINHA,11460006,3518701, , , ,0.000000000000000, , ,-23.9797,-46.2864,"Atualizado pela GAP em 05/11/2020, por Maria Luiza Tanizaki
Atu",Antaq, ,31415.926535897931899,78539816.339744821190834
21,0,21,20,Sudeste,NA,Santos,-24.015000000000001,-46.353999999999999,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31415.926535897931899,78539816.339744821190834
22,4,22,21,Sudeste,NA,Morro do Maluf,-23.997560000000000,-46.251593999999997,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,22,57,121.000000000000000,0.000000000000000,BRSP004,Sucoc0trico Cutrale,Terminal for private use,BR,BRS,BRSP004,In operation,Privada,Terminal de uso privado,SUCOCITRICO CUTRALE LTDA,61649810001806,CA 042/2014-ANTAQ,0.000000000000000,VIA SANTOS DUMONT,MARGEM ESQUERDA DO PORTO DE SANTOS,4364.000000000000000,CONCEI EOZINHA,11460006,3518701, , , ,0.000000000000000, , ,-23.9797,-46.2864,"Atualizado pela GAP em 05/11/2020, por Maria Luiza Tanizaki
Atu",Antaq, ,31415.926535897931899,78539816.339744821190834
23,0,23,22,Sudeste,NA,Praia da Enseada,-23.990651000000000,-46.209406000000001,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31415.926535897931899,78539816.339744821190834
24,8,24,23,Sudeste,NA,Embare,-23.980865999999999,-46.317684000000000,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,24,57,121.000000000000000,0.000000000000000,BRSP004,Sucoc0trico Cutrale,Terminal for private use,BR,BRS,BRSP004,In operation,Privada,Terminal de uso privado,SUCOCITRICO CUTRALE LTDA,61649810001806,CA 042/2014-ANTAQ,0.000000000000000,VIA SANTOS DUMONT,MARGEM ESQUERDA DO PORTO DE SANTOS,4364.000000000000000,CONCEI EOZINHA,11460006,3518701, , , ,0.000000000000000, , ,-23.9797,-46.2864,"Atualizado pela GAP em 05/11/2020, por Maria Luiza Tanizaki
Atu",Antaq, ,31415.926535897931899,78539816.339744821190834
25,8,25,24,Sudeste,NA,Gonzaga,-23.974027000000000,-46.330098000000000,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,25,57,121.000000000000000,0.000000000000000,BRSP004,Sucoc0trico Cutrale,Terminal for private use,BR,BRS,BRSP004,In operation,Privada,Terminal de uso privado,SUCOCITRICO CUTRALE LTDA,61649810001806,CA 042/2014-ANTAQ,0.000000000000000,VIA SANTOS DUMONT,MARGEM ESQUERDA DO PORTO DE SANTOS,4364.000000000000000,CONCEI EOZINHA,11460006,3518701, , , ,0.000000000000000, , ,-23.9797,-46.2864,"Atualizado pela GAP em 05/11/2020, por Maria Luiza Tanizaki
Atu",Antaq, ,31415.926535897931899,78539816.339744821190834
26,0,26,25,Sudeste,NA,Pereque,-23.927582999999998,-46.178826000000001,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31415.926535897931899,78539816.339744821190834
27,0,27,26,Sudeste,NA,Praia Preta,-23.874700000000001,-46.138959000000000,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31415.926535897931899,78539816.339744821190834
28,0,28,27,Sudeste,NA,Praia da Bertioga,-23.846986000000001,-46.126967999999998,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31415.926535897931899,78539816.339744821190834
29,0,29,28,Sudeste,NA,Maresias,-23.793693260000001,-45.559764340000001,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31415.926535897931899,78539816.339744821190834
30,0,30,29,Sudeste,NA,Canto de Moreira,-23.793056000000000,-45.587394000000003,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31415.926535897931899,78539816.339744821190834
